repurposing_id,canonical_smiles,dock_score,docking_status,pdb_id,docking_engine,pose_file,log_file
REP_00677,COc1cc(O)c(C(=O)Nc2nc(C(=O)NCCN(C(C)C)C(C)C)cs2)cc1OC,-5.308,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_00677_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_00677_out.log
REP_07155,Cc1cc(N2CCc3c(c(C)nn3CC34CCC(NC(=O)[C@@H]5COCCN5)(CC3)CC4)C2)c2cnn(C)c2n1,-6.931,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_07155_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_07155_out.log
REP_05902,Cc1onc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN(C)C(=O)CC(C)(C)C)c1C,-6.94,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05902_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05902_out.log
REP_05907,CCN(CC)CCn1nc2c3c(c(NCCN)ccc31)Sc1cc(O)ccc1-2,-6.187,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05907_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05907_out.log
REP_05885,CNc1nc(C)nc(N[C@H]2CCC[C@@H](C(=O)NCc3ccc(C#N)cc3C(F)(F)F)C2)n1,-6.512,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05885_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05885_out.log
REP_01521,OC1CCN(c2ccc(-c3ccc(Cl)cc3Cl)nn2)CC1,-6.385,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01521_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01521_out.log
REP_05792,C=C/C=C\[C@H](C)[C@H](OC(N)=O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C\[C@H](C)[C@@H](O)[C@@H](C)/C=C\[C@@H](O)C[C@@H]1OC(=O)[C@H](C)[C@@H](O)[C@H]1C,-7.735,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05792_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05792_out.log
REP_05776,C[C@@H]1C[C@H](C)CN(S(=O)(=O)c2ccc3c(c2)C(=NO)c2cc(S(=O)(=O)N4C[C@H](C)C[C@H](C)C4)ccc2C3=NO)C1,-6.625,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05776_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05776_out.log
REP_05767,CCN1C(=O)CNc2ncc(-c3ccc(-c4nc[nH]n4)nc3C)nc21,-5.867,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05767_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05767_out.log
REP_07259,CC(=O)c1cn(CC(=O)N2[C@H](C(=O)Nc3nc(Br)ccc3C)C[C@@]3(C)C[C@@H]23)c2c(C)cc(-c3cnc(C)nc3)cc12,-7.99,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_07259_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_07259_out.log
REP_06746,CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)C[C@@H](C(=O)N3CC(N(C)C)C3)N(C(C)C)C4)n[nH]c2c1,-6.625,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_06746_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_06746_out.log
REP_06741,Cn1ccc2c([C@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)C)c4c3)c3cn(C45CC(C4)C5)nn3)cccc2c1=O,-7.716,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_06741_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_06741_out.log
REP_01191,Cc1ccc(-c2ncccn2)c(C(=O)N2[C@H]3CC[C@@H](COc4ccc(F)cn4)[C@@H]2CC3)c1,-7.092,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01191_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01191_out.log
REP_01232,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,-7.092,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01232_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01232_out.log
REP_01110,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,-6.717,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01110_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01110_out.log
REP_01115,Cc1cc(F)ccc1-c1cc(N2C[C@H]3COCCN3C[C@H]2CO)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,-7.59,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01115_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01115_out.log
REP_06706,Cc1nc(C)c(C(=O)Nc2ccc(F)c(-c3nc4ncc(-c5ncccc5C)cn4n3)c2)o1,-6.655,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_06706_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_06706_out.log
REP_05075,Nc1[nH]ncc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,-6.57,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05075_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05075_out.log
REP_08134,CC(=O)c1c(C)c2cnc(N[C@@H]3CCOC[C@H]3O)cc2n(C2CCCC2)c1=O,-6.139,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_08134_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_08134_out.log
REP_04978,CNC(=O)COc1cccc(Nc2ncc(F)c(Nc3ccc4c(c3)NC(=O)C(F)(F)O4)n2)c1,-6.971,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_04978_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_04978_out.log
REP_01122,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,-5.154,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01122_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01122_out.log
REP_08051,C=CC(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)c(Cl)c3)ncnc2cc1OCCN1CCOCC1,-5.936,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_08051_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_08051_out.log
REP_01924,CCOC(=O)C(=O)Nc1cc(C)c(Oc2ccc(O)c(C(O)c3ccc(F)cc3)c2)c(C)c1,-6.354,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01924_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01924_out.log
