pair,metric,pre_fix,post_fix,delta,pre_CI,post_CI,interpretation_changed,qual_old,qual_new,n_complete,n_dual,n_A,n_B,n_neither
AChE/BChE,AUROC_D_vs_A_pocketB,0.6503703703703704,0.6524216524216524,0.002051282051282022,,"0.4871082621082621,0.8077279202279201",no,above_0.5,above_0.5; CI_includes_0.5,96,27,26,28,15
AChE/BChE,AUROC_D_vs_B_pocketA,0.6058201058201058,0.6058201058201058,0.0,,"0.4536375661375662,0.7513227513227514",no,above_0.5,above_0.5; CI_includes_0.5,96,27,26,28,15
AChE/BChE,summary_min,0.6058201058201058,0.6058201058201058,0.0,,"0.4536375661375662,0.8077279202279201",no,above_0.5,above_0.5; CI_includes_0.5,96,27,26,28,15
AChE/BChE,fixed_score_delta_pocketA,-0.015696649029982357,-0.015696649029982357,0.0,,"-0.14736772486772487,0.12204805996472667",no,negative; CI_excludes_0,negative; CI_includes_0,96,27,26,28,15
AChE/BChE,AUROC_mean_D_vs_neither,0.6493827160493827,0.6493827160493827,0.0,,,no,above_0.5,above_0.5,96,27,26,28,15
AChE/BChE,AUROC_mean_D_vs_AplusB,0.5593990216631726,0.5558984910836763,-0.003500530579496286,,,no,above_0.5,above_0.5,96,27,26,28,15
AChE/BChE,delta_summary_min_matched_minus_mismatched,0.16137566137566137,0.17704517704517708,0.015669515669515716,,"0.04924450549450551,0.2891788766788767",no,positive; CI_excludes_0,positive; CI_excludes_0,96,27,26,28,15
AChE/BChE,EF_dual_10,1.7592592592592593,1.7777777777777777,0.01851851851851838,,,no,above_1,above_1,96,27,26,28,15
AChE/BChE,Top10_D_A_B_N,5/3/1/1,5/3/1/1,,,,no,top10_has_dual_and_singles,top10_has_dual_and_singles,96,27,26,28,15
