path,present,nbytes,sha256,role
data/jcim_novelty_v0/tables/MASTER_RESULTS_TABLE.csv,1,45613,18bbc5d567e70bbe1486b000ebae254ac1f22e28d599899f2259ef70744bbf77,pre_fix_official
data/jcim_novelty_v0/tables/primary_directional_intervals_review_v1.csv,1,2011,c39c05068d9f47467f101060f88c9b5cba880a4adb1c250af5773953ae41f910,pre_fix_official
audit_outputs/audit_master_metrics.csv,1,30347,7b048e894debfa91320ce743e3395ee184b5617e5d0c11e7a08ab00001d35b7b,pre_fix_official
audit_outputs/canonical_ligand_table.csv,1,526142,f0f2eaca35b2e249be682e1d94b56dd69e79bafa3225b8ac2729397c7c5453e8,pre_fix_official
audit_outputs/candidate_ranking_audit.csv,1,2184,1656043568216343595edfff8dbc438a30512710d442f892a1d3e5729d191845,pre_fix_official
docs/MANUSCRIPT_JCIM_EN.md,1,64065,b2a266acd6ad682329d629d72a2e17bd878800edaf67e3dc00462ae95fee8639,pre_fix_official
docs/MANUSCRIPT_JCIM_ZH.md,1,55541,5c994dbcc9f0f0fb050284a192f84f3f6a33662c30839137b0b5b3c17a8f2a50,pre_fix_official
submission_pack/manuscript/MANUSCRIPT_JCIM_EN.md,1,64065,b2a266acd6ad682329d629d72a2e17bd878800edaf67e3dc00462ae95fee8639,pre_fix_official
submission_pack/manuscript/MANUSCRIPT_JCIM_ZH.md,1,55541,5c994dbcc9f0f0fb050284a192f84f3f6a33662c30839137b0b5b3c17a8f2a50,pre_fix_official
docs/SUPPORTING_INFORMATION_JCIM_EN_V1.md,1,31066,c463e40049b482bf08964cbc360730cbbcabc70de4c3c5a0b3b1b2cca8629712,pre_fix_official
data/egfr_her2_panel40_v0/boxes/3POZ_box.json,1,149,9feb76554224e66e5d8ecfc5e6091c9c17bcaa7bf9f9fda906d79547997045be,pre_fix_official
data/egfr_her2_panel40_v0/boxes/3RCD_box.json,1,149,891043d64aacc3ebbe6445648b94741014347a7441244c2503fd2b2a1bb80f73,pre_fix_official
data/egfr_her2_panel40_v0/boxes/3POZ_box.txt,1,99,113350b4b11cef30b96c9fc26f23a37eeb9643e2446ac589450de2a8f4697ee8,pre_fix_official
data/egfr_her2_panel40_v0/boxes/3RCD_box.txt,1,99,63ad05893d12c0a4c50e617940f57426a707759ba8272844cec87086c6e7f62d,pre_fix_official
data/egfr_her2_panel40_v0/tables/panel_v0_40.csv,1,7080,11e66aac7905b9629b0982a71f489a48ed5234a3fdaec9cfdcf223d60ae5e210,pre_fix_official
data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,1,23636,49bf8a38af97bc74f0a53fd10f5287fea918ec6bddb2ead8800d4e912637202b,pre_fix_official
data/egfr_her2_panel120_v0/tables/scores_vina.csv,1,6495,96bb9f9870d04afd25604a0ab700f43b1210f0949a4b6c0fb5ebbfb1a94a0fad,pre_fix_official
data/ache_bche_panel_v0/tables/panel_v0_strict.csv,1,11736,a3425957db7e9274d58b212aa2abc82234144c521212a3c8dc8ac5058b7eeb95,pre_fix_official
data/ache_bche_panel_v0/scripts/build_strict_panels.py,1,3208,f3216f86676d57f9b403bd76831cc85c81084a2bb690591779368e4f39d9f115,pre_fix_official
figures/jcim_article/scripts/audit_figures_pr32.py,1,8294,04c2986d1f501e211da98b5ae074288717efa74dd8fd00158a6b829ec975616f,pre_fix_official
figures/jcim_article/scripts/plot_jcim_article_figures_v3.py,1,63464,266ee608e212e5ca2efa31a5f6ce8b3041363759dd050d528d2d41b1d524fed2,pre_fix_official
figures/jcim_article/plotted_values.json,1,62642,ddb5985497a0121f2d30e7c9900921a90444bc29e25253ae5aaedb3ad89c0fd0,pre_fix_official
figures/jcim_article/Fig1_C_chEMBL_supply.pdf,1,34005,78b90967ec72db09a7076c5cb4a156c0677ebe49922cfc214cb28e6c25d02365,pre_fix_official
figures/jcim_article/Fig1_C_chEMBL_supply.png,1,52493,987d0329041584445dc0a0b97e7dcf960f67e2da48adcaed0aeb0dae8c8c7f13,pre_fix_official
figures/jcim_article/Fig1_C_chEMBL_supply.tif,1,105084,b816daddfb9a4888e45985e6cd8d0bc7b96d097adf132c6efa987584edcda685,pre_fix_official
figures/jcim_article/Fig1_four_state_and_supply.pdf,1,40144,a8f9b2c77756f39fb01a2282be16a83c638aaafca36b0a5fe586feac15d32d23,pre_fix_official
figures/jcim_article/Fig1_four_state_and_supply.png,1,118398,59c26e72f4f8d38f9289b1d559acfdf63bbd21138e13741fba1a03c98924c921,pre_fix_official
