ligand_id,old_panel,new_panel,class,reason_selected,scaffold_id,source_document,old_panel_id,new_panel_id
CHEMBL206093,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(Nc1ccccc1)Oc1ccc2c(c1)C1CCO[C@H]1O2,,AB_045,AB_045
CHEMBL2064464,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(CCNC1CCCCC1)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1,,AB_015,AB_015
CHEMBL222904,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(CCCCCNCc1ccccc1)N1CCC(C2CCN(C(=O)CCCCCNCc3ccccc3)CC2)CC1,,AB_040,AB_040
CHEMBL224469,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=c1c2ccccc2oc2cc(OCCCCCCCCNCc3ccccc3)ccc12,,AB_060,AB_060
CHEMBL2419687,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(CN2CCC(CCCNc3ccccn3)CC2)cc1,,AB_031,AB_031
CHEMBL254016,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(CCCCCNCc1ccccc1)N1CCC(C2CCN(C(=O)CCCCCNCc3ccccc3)CC2)CC1,,AB_046,AB_046
CHEMBL273051,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(CON=[NH+]N1CCCC1)NCCCNc1c2c(nc3ccccc13)CCCC2,,AB_016,AB_016
CHEMBL3093795,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1cc[n+](CCCCCCCC[n+]2ccc3ccccc3c2)cc1,,AB_050,AB_050
CHEMBL309667,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc2c(c1)NC1NCCC21,,AB_003,AB_003
CHEMBL3099499,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(CC[C@H](NC(=O)CNC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1)NCC(=O)Nc1cccc2c(NCCCNCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc12)CCCC3,,AB_001,AB_001
CHEMBL3216777,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,C1=C[C@@H]2Cc3nc4ccccc4c(NCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3[C@H](C1)C2,,AB_004,AB_004
CHEMBL3326699,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(NCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2ccccc2oc1=O,,AB_005,AB_005
CHEMBL3326708,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2ccccc2oc1=O,,AB_027,AB_027
CHEMBL3335049,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=c1oc2cc(OCCCN3CCN(Cc4ccccc4)CC3)ccc2c2c1CCCC2,,AB_098,AB_098
CHEMBL3337471,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(/C=C/c1ccccc1)c1ccccc1,,AB_085,AB_085
CHEMBL334395,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(-c2nc[nH]n2)cc1,,AB_020,AB_020
CHEMBL3407583,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(CN2CCC(CCCOc3ccc4[nH]ccc4c3)CC2)cc1,,AB_095,AB_095
CHEMBL3407584,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(CN2CCC(CCCOc3ccc4[nH]ccc4c3)CC2)cc1,,AB_099,AB_099
CHEMBL3425895,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,C(=C/c1ccc2ccccc2[nH+]1)\c1ccc2[nH]c3ccccc3c2c1,,AB_030,AB_030
CHEMBL344593,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,C1CC[C@@H]2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2C1,,AB_087,AB_087
CHEMBL3642049,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(NCCCCCCCCNc1c2c(nc3ccccc13)CCCC2)Oc1ccc2[nH]ccc2c1,,AB_019,AB_019
CHEMBL374981,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(CCCCCCCCNC(=O)c1ccccc1)NNc1c2c(cc3ccccc13)CCCC2,,AB_007,AB_007
CHEMBL3753850,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2ccccc2o1,,AB_017,AB_017
CHEMBL3754694,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc2oc(CN(CCCCCCNc3c4c(nc5ccccc35)CCC4)Cc3cc4ccccc4o3)cc2c1,,AB_057,AB_057
CHEMBL378404,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(Nc1ccccc1)Oc1ccc2c(c1)C1CO[C@H](C1)O2,,AB_049,AB_049
CHEMBL3818250,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(CCc1ccccc1)NCCC1CCN(Cc2ccccc2)CC1,,AB_065,AB_065
CHEMBL382207,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(Nc1ccccc1)Oc1ccc2c(c1)C1CCO[C@@H]1N2,,AB_061,AB_061
CHEMBL3822670,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(CC1CCN(Cc2ccccc2)CC1)NCCc1c[nH]c2ccccc12,,AB_072,AB_072
CHEMBL3823197,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(CCc1c[nH]c2ccccc12)NC1CCN(Cc2ccccc2)CC1,,AB_081,AB_081
CHEMBL3892118,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(CN2CCC(CCNCc3ccc4ccccc4n3)CC2)cc1,,AB_058,AB_058
CHEMBL3900968,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(C[n+]2ccc(CCNc3nc4ccccc4s3)cc2)cc1,,AB_044,AB_044
CHEMBL3910513,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C1c2ccccc2CC1CC1CCN(Cc2ccccn2)CC1,,AB_042,AB_042
CHEMBL3933395,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,,AB_048,AB_048
CHEMBL3952144,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(C[n+]2ccc(CCNc3nc4ccccc4s3)cc2)cc1,,AB_035,AB_035
