name,chembl_id,max_phase,mw,s_u_percentile,s_n_dock_percentile,s_n_ml_percentile,p_active_nlrp3,canonical_smiles
GSK-3008348 FREE BASE,CHEMBL4241824,1.0,487.65,97.46835443037976,97.53164556962024,3.481012658227848,0.5725967,Cc1cc(C)n(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1
VECABRUTINIB,CHEMBL4297640,2.0,529.93,96.0759493670886,98.95569620253164,91.36075949367088,1.0,NC(=O)[C@H]1CCN(c2ncnc(N)c2F)C[C@@H]1N1CCC[C@@H](Nc2cc(Cl)cc(C(F)(F)F)c2)C1=O
ZELENIRSTAT,CHEMBL3357685,2.0,537.52,98.29113924050633,95.126582278481,49.68354430379747,0.9166667,Cc1c(NS(=O)(=O)c2c(Cl)cc(-c3ccnc(N4CCNCC4)c3)cc2Cl)c(CC(C)C)nn1C
UCB-1184197,CHEMBL4297363,2.0,549.47,93.95569620253164,95.9493670886076,23.73417721518988,0.9166666,CCOC(=O)[C@H](Cc1ccc(Nc2nccc3ccncc23)cc1)NC1=C(Br)C(=O)C12CCCCC2
MLN-0415,CHEMBL5314383,1.0,514.03,94.11392405063292,91.10759493670886,91.36075949367088,1.0,C[C@@H]1CN(C(=O)CN2CC(C)(C)OC[C@H]2C(=O)Nc2cc(Cl)cc3c2[nH]c2cnccc23)C[C@H](C)O1
DEUCRICTIBANT,CHEMBL5095059,2.0,534.94,91.0759493670886,92.53164556962024,49.68354430379747,0.9166667,[2H][C@@](C)(NC(=O)COC(F)F)c1cc(F)cc(Cl)c1COc1cccc2c(-c3ncnn3C)cc(C)nc12
PRALICIGUAT,CHEMBL4297214,2.0,534.37,92.40506329113924,90.85443037974684,91.36075949367088,1.0,OC(CNc1nc(-c2cc(-c3ccon3)n(Cc3ccccc3F)n2)ncc1F)(C(F)(F)F)C(F)(F)F
BI 653048,CHEMBL3358954,1.0,515.53,96.32911392405065,90.3481012658228,49.68354430379747,0.9166667,CCS(=O)(=O)c1cc2cc(C[C@](O)(CC(C)(C)c3ccc(F)cc3C(N)=O)C(F)(F)F)[nH]c2cn1
BAFREKALANT,CHEMBL5095055,2.0,531.06,88.9873417721519,92.78481012658229,23.73417721518988,0.9166666,COc1ccc(Cl)c(C(=O)N2C3CCC2CN(Cc2c(-c4ccc(C(C)C)cc4)nc4ncccn24)C3)n1
TARANABANT,CHEMBL220360,3.0,515.96,91.29746835443038,87.9746835443038,91.36075949367088,1.0,C[C@H](NC(=O)C(C)(C)Oc1ccc(C(F)(F)F)cn1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1
INT131,CHEMBL1236924,2.0,514.22,92.21518987341771,85.63291139240506,23.73417721518988,0.9166666,O=S(=O)(Nc1cc(Cl)c(Oc2cnc3ccccc3c2)c(Cl)c1)c1ccc(Cl)cc1Cl
MK-3577,CHEMBL1933350,2.0,521.03,85.31645569620252,94.17721518987342,49.68354430379747,0.9166667,CCC[C@H](c1ccc(C(=O)NCCC(=O)O)cc1)[C@H](c1ccc(Cl)cc1)c1c[nH]c2c(F)cc(C)cc12
TAK-285,CHEMBL1614725,1.0,547.97,93.76582278481013,84.17721518987342,23.73417721518988,0.9166666,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21
EMPRUMAPIMOD,CHEMBL4802251,2.0,473.52,83.73417721518987,98.41772151898736,49.68354430379747,0.9166667,CN(C)CC[C@H](NC(=O)c1cc2c(cnn2C(C)(C)C)cc1Oc1ccc(F)cc1F)C(N)=O
PF-5190457,CHEMBL3287218,2.0,512.68,88.79746835443038,83.67088607594937,49.68354430379747,0.9166667,Cc1cc(-c2ccc3c(c2)CC[C@H]3N2CC3(CCN(C(=O)Cc4cn5cc(C)sc5n4)CC3)C2)ncn1
AFIMETORAN,CHEMBL4650329,2.0,444.58,83.67088607594937,88.60759493670886,23.73417721518988,0.9166666,Cc1c(-c2[nH]c3ccc(C4CCN(CC(N)=O)CC4)cc3c2C(C)C)cn2ncnc2c1C
EDICOTINIB,CHEMBL3674570,2.0,461.61,86.0126582278481,83.60759493670886,91.36075949367088,1.0,CC1(C)CC=C(c2nc(C3CC(C)(C)OC(C)(C)C3)ccc2NC(=O)c2nc(C#N)c[nH]2)CC1
LUT-014,CHEMBL5095249,2.0,528.5,83.54430379746836,93.00632911392404,91.36075949367088,1.0,Cc1ccc2c(Nc3cccc(OC(F)(F)F)c3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12
FAZAMOREXANT,CHEMBL5314459,3.0,432.5,83.41772151898735,83.48101265822785,91.36075949367088,1.0,Cc1ccc(-c2ncccn2)c(C(=O)N2[C@H]3CC[C@@H](COc4ccc(F)cn4)[C@@H]2CC3)c1
GSK-356278,CHEMBL4297384,1.0,439.55,95.50632911392404,82.78481012658227,91.36075949367088,1.0,CCn1ncc2c(NC3CCOCC3)c(-c3nnc(Cc4sc(C)nc4C)o3)cnc21
TAS-119,CHEMBL3692206,1.0,506.37,96.26582278481013,82.27848101265822,91.36075949367088,1.0,Cc1cc(Nc2nc(CC3(C(=O)O)CCN(C(=O)c4cccc(Cl)c4Cl)CC3)ccc2F)n[nH]1
VOLPRISTIN,CHEMBL2105600,2.0,527.62,97.9113924050633,82.05696202531645,49.68354430379747,0.9166667,CC1=C\[C@@H](O)CC(=O)Cc2nc(co2)C(=O)N2CCC[C@@H]2C(=O)O[C@H](C(C)C)[C@H](C)/C=C/C(=O)NC\C=C\1
ODANACATIB,CHEMBL481611,3.0,525.57,84.08227848101266,81.9620253164557,82.40506329113924,0.94844246,CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1
LY-2874455,CHEMBL3828009,1.0,444.32,86.36075949367088,81.77215189873418,75.31645569620254,0.91666675,C[C@@H](Oc1ccc2[nH]nc(/C=C/c3cnn(CCO)c3)c2c1)c1c(Cl)cncc1Cl
NELUTROCTIV,CHEMBL5314433,2.0,543.51,97.59493670886076,81.70886075949367,23.73417721518988,0.9166666,CS(=O)(=O)c1cncc(C(=O)N2[C@@H](C(=O)N[C@@H](c3cc(F)c(C(F)(F)F)cc3F)C3CC3)C[C@H]3C[C@H]32)c1
MK-5108,CHEMBL3600873,1.0,461.95,81.29746835443038,86.9620253164557,91.36075949367088,1.0,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1
TAMBICICLIB,CHEMBL4291684,2.0,519.12,84.27215189873418,80.4113924050633,91.36075949367088,1.0,COC[C@@H](C)N[C@H]1CC[C@H](Nc2cc(-c3csc(NCC4(C#N)CCOCC4)n3)c(Cl)cn2)CC1
