name,canonical_smiles,max_phase,s_u_percentile,s_n_percentile,pareto_front,nn_tanimoto_urat1_active,nn_tanimoto_nlrp3_active,novel_vs_urat1_tc_lt_0.4,novel_vs_nlrp3_tc_lt_0.4
SLV-334,O=C(O)CN1C(=O)[C@@H](NC(=O)C2(C[C@@H](CCc3cccc4ccccc34)C(=O)O)CCCC2)CCc2ccccc21,2.0,99.93108201240524,92.1433494141971,True,0.244,0.182,True,True
LANPROSTON,O=C(O)CCC/C=C\C[C@@H]1[C@@H](/C=C/C2(COc3cccc(Cl)c3)OCCO2)[C@H](O)C[C@@H]1O,2.0,99.86216402481048,96.82977257064094,True,0.233,0.178,True,True
PF-05150122,CCN1CC(n2nccc2-c2cc(Cl)ccc2Oc2ccc(S(=O)(=O)Nc3cscn3)cc2C#N)C1,1.0,99.79324603721572,62.30186078566506,False,0.525,0.233,False,True
AZD2207,C[C@@H](NC(=O)Cc1c(Cl)ccc(NCC(F)(F)c2cccc[n+]2O)[n+]1O)c1cccc(Cl)c1,2.0,99.72432804962096,84.63128876636802,False,0.259,0.207,True,True
LASALOCID,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C,2.0,99.65541006202618,98.3459682977257,True,0.15,0.148,True,True
RUPITASERTIB,NC(=O)c1cccc2c(N[C@H](CN3CCC3)c3ccc(Cl)c(C(F)(F)F)c3)ncnc12,2.0,99.58649207443143,15.230875258442452,False,0.234,0.232,True,True
GEMILUKAST,Cc1c(F)cccc1CCCCOc1ccc(C#Cc2ccc(F)c3c(CCCC(=O)O)c(C)n(CCCC(=O)O)c23)cc1,2.0,99.51757408683667,81.46106133700896,False,0.233,0.193,True,True
IMMH-010,CC1=C(OCc2cccc(-c3ccccc3)c2Br)C=C(OCc2cccnc2)C(CN[C@@H](CO)C(=O)OC(C)C)C1,1.0,99.4486560992419,81.32322536181944,False,0.21,0.229,True,True
VERCIRNON,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,3.0,99.37973811164714,82.70158511371469,False,0.294,0.231,True,True
SAMIXOGREL,O=C(O)CCC/C=C(\c1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1)c1cccnc1,2.0,99.31082012405238,69.95175740868366,False,0.25,0.211,True,True
