repurposing_id,chembl_id,name,canonical_smiles,max_phase,s_u_percentile,s_n_percentile,pareto_front,parse_ok,pains_any,pains_families,brenk,nih,aggregation_risk_heuristic,alert_descriptions
REP_06358,CHEMBL4297432,SLV-334,O=C(O)CN1C(=O)[C@@H](NC(=O)C2(C[C@@H](CCc3cccc4ccccc34)C(=O)O)CCCC2)CCc2ccccc21,2.0,99.93108201240524,92.1433494141971,True,True,False,,False,False,False,
REP_03282,CHEMBL2105063,LANPROSTON,O=C(O)CCC/C=C\C[C@@H]1[C@@H](/C=C/C2(COc3cccc(Cl)c3)OCCO2)[C@H](O)C[C@@H]1O,2.0,99.86216402481048,96.82977257064094,True,True,False,,True,False,False,BRENK:Aliphatic_long_chain
REP_01801,CHEMBL145347,LASALOCID,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C,2.0,99.65541006202618,98.3459682977257,True,True,False,,False,False,False,
REP_00794,CHEMBL297453,EPIGALOCATECHIN GALLATE,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,3.0,99.17298414886284,99.72432804962096,True,True,True,PAINS_B,True,True,False,PAINS_B:catechol_A(92) | BRENK:catechol | NIH:gte_5_phenolic_OH
REP_07139,CHEMBL5315045,FOSIGOTIFATOR,O=C(COc1ccc(Cl)c(F)c1)NC12CCC(NC(=O)COc3ccc(Cl)c(F)c3)(CC1)[C@@H](OCOP(=O)(O)O)C2,2.0,98.69055823569953,99.79324603721572,True,True,False,,True,True,False,BRENK:het-C-het_not_in_ring | NIH:non_ring_CH2O_acetal
REP_05610,CHEMBL333325,FOSRAVUCONAZOLE,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@@](Cn1cncn1)(OCOP(=O)(O)O)c1ccc(F)cc1F,2.0,96.8986905582357,99.93108201240524,True,True,False,,True,True,False,BRENK:het-C-het_not_in_ring | NIH:non_ring_CH2O_acetal
