set,pc1,pc2,name
urat1_active,-0.697,-1.5468,
urat1_active,0.3165,-0.525,
urat1_active,-0.0714,-1.4056,
urat1_active,-0.3974,-0.6996,
urat1_active,-1.3608,-1.1775,
urat1_active,-1.2122,-0.5205,
urat1_active,-1.0216,-0.6475,
urat1_active,-1.2133,-0.5014,
urat1_active,-1.2755,-0.6163,
urat1_active,-1.2375,-0.4106,
urat1_active,-1.3492,-0.9857,
urat1_active,-1.154,-0.6945,
urat1_active,-1.113,-0.9142,
urat1_active,-1.2922,-1.2306,
urat1_active,-1.246,-0.8105,
urat1_active,-1.2347,-0.7455,
urat1_active,-1.2343,-0.7089,
urat1_active,-1.3084,-1.115,
urat1_active,0.669,-1.178,
urat1_active,0.1086,-0.7839,
urat1_active,-1.1281,-0.0529,
urat1_active,0.0556,0.1051,
urat1_active,-0.4799,-0.0656,
urat1_active,-0.6828,0.1947,
urat1_active,0.2577,-1.1485,
urat1_active,0.5014,-1.2232,
urat1_active,0.0877,-0.8513,
urat1_active,-0.7687,-0.8495,
urat1_active,0.4574,-1.261,
urat1_active,0.0736,-0.7771,
urat1_active,0.547,-1.4668,
urat1_active,0.1333,-1.0948,
urat1_active,4.9555,0.7143,
urat1_active,-0.2567,-0.4176,
urat1_active,0.7832,-1.1647,
urat1_active,0.5313,-0.8999,
urat1_active,-1.0455,-0.9126,
urat1_active,0.2335,-1.3646,
urat1_active,1.0166,-1.3574,
urat1_active,0.3853,-1.333,
urat1_active,0.949,-1.1137,
urat1_active,0.4943,-0.5685,
urat1_active,1.2519,-1.1407,
urat1_active,0.6842,-1.416,
urat1_active,0.2704,-1.0441,
urat1_active,0.4941,-1.1288,
urat1_active,0.5748,-0.8307,
urat1_active,0.519,-1.3379,
urat1_active,0.602,-1.3436,
urat1_active,0.9918,-0.7629,
urat1_active,-0.5456,-0.491,
urat1_active,-0.4257,-0.7619,
urat1_active,-0.4743,-0.5046,
urat1_active,0.1673,-1.0785,
urat1_active,0.0883,-0.9221,
urat1_active,0.1821,-0.8385,
urat1_active,0.8502,-1.2076,
urat1_active,0.9017,-1.1995,
urat1_active,0.7792,-1.2107,
urat1_active,0.7085,-1.6493,
urat1_active,0.9491,-1.4806,
urat1_active,0.6046,-1.2261,
urat1_active,-0.5233,-0.4507,
urat1_active,-0.4473,-0.2348,
urat1_active,-0.9657,-0.7143,
urat1_active,-0.8713,-0.4308,
urat1_active,0.5688,-1.6112,
urat1_active,1.597,-1.4639,
urat1_active,-1.0291,-0.705,
urat1_active,-1.104,0.2969,
urat1_active,0.3922,-1.3864,
urat1_active,-0.5025,-0.8244,
urat1_active,0.3673,-1.4208,
urat1_active,-0.0112,-1.2122,
urat1_active,-1.2791,-0.9778,
urat1_active,-0.2697,-1.0037,
urat1_active,-0.3398,-0.7687,
urat1_active,-0.7791,-0.8915,
urat1_active,-0.5181,-0.914,
urat1_active,-0.9883,-1.723,
urat1_active,-1.0683,-1.5745,
urat1_active,-0.8956,-0.712,
urat1_active,-1.255,-0.965,
urat1_active,-0.8297,0.435,
urat1_active,-0.982,1.1729,
urat1_active,-1.5359,-1.3045,
urat1_active,-1.345,-1.3464,
urat1_active,-1.1712,-0.2513,
urat1_active,-1.1712,-0.2513,
urat1_active,0.8837,-0.7737,
urat1_active,1.4698,-1.0102,
urat1_active,-0.9849,-0.3437,
urat1_active,-1.1948,-0.2062,
urat1_active,-0.8637,-0.1661,
urat1_active,-0.5175,-0.1108,
urat1_active,0.1513,-0.4797,
urat1_active,5.3235,0.054,
urat1_active,-1.1813,-1.2917,
urat1_active,-1.1998,-1.5889,
urat1_active,-1.2274,-1.5948,
urat1_active,0.6283,-1.3946,
urat1_active,0.8379,-1.2537,
urat1_active,0.494,-1.6306,
urat1_active,0.6533,-1.3342,
urat1_active,-0.3943,-1.1322,
urat1_active,0.5793,-1.1998,
urat1_active,-1.142,-1.0842,
urat1_active,0.8657,-1.5329,
urat1_active,-0.7882,-0.8021,
urat1_active,-0.6939,-0.5186,
urat1_active,-0.9327,-1.3217,
urat1_active,-1.0191,-1.1725,
urat1_active,-0.7324,-0.3778,
urat1_active,-0.4228,0.1441,
urat1_active,-0.7511,-0.0553,
urat1_active,-0.8136,-0.2411,
urat1_active,0.0387,-1.0596,
urat1_active,-0.1869,-0.1719,
urat1_active,1.5232,-1.0136,
urat1_active,-1.1268,-1.3114,
urat1_active,-1.135,-1.5875,
urat1_active,-1.1585,-1.4396,
urat1_active,-1.1728,-1.6145,
urat1_active,-0.9142,-1.4214,
urat1_active,-1.2451,0.0003,
urat1_active,-1.1689,0.8577,
urat1_active,4.8753,0.0876,
urat1_active,5.0624,-0.0808,
urat1_active,5.2055,-0.0516,
urat1_active,-1.1389,-0.2214,
urat1_active,1.5465,-0.9855,
urat1_active,-0.9078,-0.3342,
urat1_active,4.8928,0.0216,
urat1_active,-0.9444,-0.398,
urat1_active,-0.3245,-0.4673,
urat1_active,-0.9453,-0.2858,
urat1_active,-0.2864,-0.4415,
urat1_active,-0.5339,-0.3338,
urat1_active,-0.902,-0.3867,
urat1_active,-0.491,-0.4498,
urat1_active,-0.9768,-0.2155,
urat1_active,-0.6309,-0.1179,
urat1_active,-0.545,-0.225,
