ligand_id,molecule_chembl_id,primary_class_theta6,canonical_smiles,vina_A_raw,vina_B_raw,score_A,score_B,score_mean,complete_case,source
AB_036,CHEMBL1773489,A_only,CN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc(OCCCCCCN3CCCCC3)cc2)cc1,-10.483,-9.479,10.483,9.479,9.981,1,canonical_reuse
AB_037,CHEMBL597794,A_only,COc1ccc2c(c1)CC/C(=C\c1ccc(CN(C)Cc3ccccc3)cc1)C2=O,-12.441,-10.081,12.441,10.081,11.261,1,canonical_reuse
AB_038,CHEMBL599644,A_only,CN(Cc1ccccc1)Cc1ccc(/C=C2\CCc3cc(OCCCCCN4CCCCC4)ccc3C2=O)cc1,-11.232,-9.505,11.232,9.505,10.368500000000001,1,canonical_reuse
AB_039,CHEMBL597188,A_only,CCN(CC)CCCCCOc1ccc2c(c1)CC/C(=C\c1ccc(CN(C)Cc3ccccc3)cc1)C2=O,-10.369,-7.811,10.369,7.811,9.09,1,canonical_reuse
AB_040,CHEMBL222904,A_only,CCN(CCCCCC(=O)N1CCC(C2CCN(C(=O)CCCCCN(CC)Cc3ccccc3OC)CC2)CC1)Cc1ccccc1OC.O=C(O)C(=O)O,-10.009,-8.669,10.009,8.669,9.339,1,canonical_reuse
AB_041,CHEMBL164,A_only,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,-9.936,-9.213,9.936,9.213,9.5745,1,canonical_reuse
AB_042,CHEMBL3910513,A_only,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccn3)CC1)C2,-11.504,-8.371,11.504,8.371,9.9375,1,canonical_reuse
AB_043,CHEMBL1678,A_only,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,-11.888,-9.691,11.888,9.691,10.7895,1,canonical_reuse
AB_044,CHEMBL3900968,A_only,O=[N+]([O-])c1ccc2nc(NCCc3cc[n+](Cc4ccc(F)cc4)cc3)sc2c1,-11.23,-9.71,11.23,9.71,10.47,1,canonical_reuse
AB_045,CHEMBL206093,A_only,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@@]1(C)CCO[C@H]1O2,-11.381,-10.174,11.381,10.174,10.7775,1,canonical_reuse
AB_046,CHEMBL254016,A_only,CCN(CCCCCC(=O)N1CCC(C2CCN(C(=O)CCCCCN(CC)Cc3ccccc3OC)CC2)CC1)Cc1ccccc1OC,-10.009,-8.669,10.009,8.669,9.339,1,canonical_reuse
AB_047,CHEMBL4292477,A_only,Nc1ccc2oc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)cc(=O)c2c1,-12.196,-9.917,12.196,9.917,11.0565,1,canonical_reuse
AB_048,CHEMBL3933395,A_only,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3Cl)CC1)C2,-12.774,-9.869,12.774,9.869,11.3215,1,canonical_reuse
AB_049,CHEMBL378404,A_only,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@@]1(C)CO[C@H](C1)O2,-11.248,-10.522,11.248,10.522,10.885,1,canonical_reuse
AB_050,CHEMBL3093795,A_only,[Br-].[Br-].c1cc[n+](CCCCCCCC[n+]2ccc3ccccc3c2)cc1,-9.954,-8.68,9.954,8.68,9.317,1,canonical_reuse
AB_051,CHEMBL5280980,A_only,C[n+]1ccc2c3ccccc3n(CCc3ccccc3)c2c1,-10.822,-9.494,10.822,9.494,10.158,1,canonical_reuse
AB_052,CHEMBL5566300,A_only,CCCCOc1cc(-c2nc(C)no2)ccc1N,-8.428,-7.544,8.428,7.544,7.986000000000001,1,canonical_reuse
AB_055,CHEMBL572532,A_only,CCN(CCCCCCNC1=CC(=O)C(NCCCNC(=O)CCCCC2CCSS2)=CC1=O)Cc1ccccc1OC,-8.796,-8.059,8.796,8.059,8.427499999999998,1,canonical_reuse
AB_056,CHEMBL3960861,A_only,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cccc(Cl)c3)CC1)C2,-12.777,-9.05,12.777,9.05,10.913499999999999,1,new_dock
AB_057,CHEMBL3754694,B_only,COc1cccc2cc(CN(CCCCCCNc3c4c(nc5ccccc35)CCC4)Cc3cc4cccc(OC)c4o3)oc12,-11.874,-11.713,11.874,11.713,11.7935,1,canonical_reuse
AB_058,CHEMBL3892118,B_only,C#CCN(CCC1CCN(Cc2ccccc2)CC1)Cc1ccc2cccc(O)c2n1,-11.041,-10.394,11.041,10.394,10.717500000000001,1,canonical_reuse
AB_059,CHEMBL5435599,B_only,CN(CCC1CCCCCC1)Cc1c[nH]c2c(OC(=O)N(C)N(C)C)cccc12,-7.329,-6.578,7.329,6.578,6.9535,1,canonical_reuse
AB_060,CHEMBL224469,B_only,CN(CCCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,-10.865,-9.942,10.865,9.942,10.403500000000001,1,canonical_reuse
AB_061,CHEMBL382207,B_only,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCO[C@@H]2N3C)cc1,-11.078,-9.487,11.078,9.487,10.282499999999999,1,canonical_reuse
AB_062,CHEMBL543711,B_only,Cl.c1ccc(-c2ccc(NCCCCCN3CCc4ccccc4C3)nn2)cc1,-11.035,-10.579,11.035,10.579,10.807,1,canonical_reuse
AB_063,CHEMBL5590844,B_only,Cc1cc2c(cc1C)[n+](Cc1ccccc1C)cn2C(c1ccccc1)c1ccccc1.[Cl-],-9.254,-12.319,9.254,12.319,10.7865,1,canonical_reuse
AB_064,CHEMBL5283238,B_only,COc1ccc2c(c1)c(C=O)cn2CCCCCCCCCCCCN(C)Cc1ccc(O)cc1,-9.749,-8.07,9.749,8.07,8.909500000000001,1,canonical_reuse
AB_065,CHEMBL3818250,B_only,COc1cc(CCC(=O)NCCC2CCN(Cc3ccccc3)CC2)ccc1O,-11.135,-9.995,11.135,9.995,10.565,1,canonical_reuse
AB_066,CHEMBL4640945,B_only,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1ccccc1C,-9.434,-11.168,9.434,11.168,10.300999999999998,1,canonical_reuse
AB_067,CHEMBL5428978,B_only,C#CCN(C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12)C(C)C,-7.805,-6.896,7.805,6.896,7.3505,1,canonical_reuse
AB_068,CHEMBL4085222,B_only,COc1cc(/C=C/C(=O)N2CCC(Cc3ccccc3)CC2)ccc1OCCCCN1CCc2ccccc2C1,-12.07,-10.066,12.07,10.066,11.068000000000001,1,canonical_reuse
AB_069,CHEMBL5411758,B_only,CCN(CC)C(=O)c1ccc2c(c1)nc(Cc1ccccc1)n2CCC(C)C,-9.707,-8.703,9.707,8.703,9.205,1,canonical_reuse
AB_070,CHEMBL5178828,B_only,CCCCN(CCCc1c[nH]c2ccccc12)CCC1CCN(Cc2ccccc2)CC1,-10.477,-9.567,10.477,9.567,10.022,1,canonical_reuse
AB_071,CHEMBL5170719,B_only,CCN(CC)C(=O)c1ccc2c(c1)nc(Cc1ccc(OC(=O)NCCCCCCN3CCc4ccccc4C3)cc1)n2CCC(C)C,-10.845,-10.179,10.845,10.179,10.512,1,canonical_reuse
AB_072,CHEMBL3822670,B_only,Cc1ccc(CN2CCC(CC(=O)NCCc3c[nH]c4ccccc34)CC2)cc1,-11.431,-10.877,11.431,10.877,11.154,1,canonical_reuse
AB_073,CHEMBL5201804,B_only,CCCCCCCNC(=O)Oc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CCN2CCCCC2)cc1,-9.536,-10.291,9.536,10.291,9.913499999999999,1,canonical_reuse
AB_074,CHEMBL5184276,B_only,CCCC[N+](C)(CCCc1c[nH]c2ccccc12)CCC1CCCCCC1.[I-],-8.259,-6.904,8.259,6.904,7.5815,1,canonical_reuse
AB_075,CHEMBL497755,B_only,CN(CCCCCCCOc1ccc(-c2cc3ccccc3o2)cc1)Cc1ccccc1,-10.154,-8.704,10.154,8.704,9.429,1,canonical_reuse
AB_076,CHEMBL4101886,B_only,c1ccc(CNc2c3c(nc4ccccc24)CCCC3)nc1,-10.373,-9.351,10.373,9.351,9.862,1,canonical_reuse
AB_077,CHEMBL5220560,B_only,CCC(C)(C)NCC(O)c1cc(O)cc(OC(=O)N(C)C)c1,-8.4,-7.807,8.4,7.807,8.1035,1,canonical_reuse
AB_078,CHEMBL5421921,B_only,C#CCN(CC)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,-7.662,-6.744,7.662,6.744,7.202999999999999,1,canonical_reuse
AB_079,CHEMBL4277879,B_only,Cc1[nH]c2ccccc2c1CC(=O)NCCC1CCN(Cc2ccccc2)CC1,-11.475,-10.598,11.475,10.598,11.0365,1,canonical_reuse
AB_080,CHEMBL4792208,B_only,CC(C)c1ccc(NC(=O)OCC2CCCN(Cc3ccccc3)C2)cc1,-10.759,-8.793,10.759,8.793,9.776,1,canonical_reuse
AB_081,CHEMBL3823197,B_only,O=C(CCc1c[nH]c2ccccc12)NC1CCN(Cc2ccccc2)CC1,-11.336,-10.148,11.336,10.148,10.742,1,canonical_reuse
AB_082,CHEMBL5189830,B_only,CN(C)C1CCC(CCN(CCCc2c[nH]c3ccccc23)CCC2CCCCCC2)CC1,-7.888,-7.659,7.888,7.659,7.7735,1,canonical_reuse
AB_083,CHEMBL4072478,B_only,COc1ccc2nc3c(c(NCCCCCCCNC(=S)NC45CC6CC(CC(C6)C4)C5)c2c1)CCCC3,-10.999,-9.674,10.999,9.674,10.336500000000001,1,canonical_reuse
AB_084,CHEMBL3972214,B_only,C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CC1CCN(Cc2ccccc2)CC1,-11.785,-10.678,11.785,10.678,11.2315,1,canonical_reuse
AB_085,CHEMBL3337471,neither,CCN(CC)CCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,-9.59,-7.561,9.59,7.561,8.5755,1,canonical_reuse
AB_086,CHEMBL1801815,neither,O=C(c1ccccc1)N1c2ccccc2Sc2ccc(Cl)cc21,-10.419,-9.758,10.419,9.758,10.0885,1,canonical_reuse
AB_087,CHEMBL344593,neither,C/C(=C\C(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1)C(C)C,-11.395,-9.668,11.395,9.668,10.5315,1,canonical_reuse
AB_088,CHEMBL4079345,neither,CCNc1nc(NCc2ccccc2)c2ccccc2n1,-10.266,-8.479,10.266,8.479,9.372499999999999,1,canonical_reuse
AB_089,CHEMBL4792013,neither,COc1cc(/C=C/C(=O)N2CCC(Cc3ccccc3)CC2)ccc1OC(=O)N(C)C,-11.528,-8.907,11.528,8.907,10.217500000000001,1,canonical_reuse
AB_090,CHEMBL5205468,neither,COc1ccc(C(=O)Cc2ncc(C(=O)NCc3cccs3)cn2)cc1,-10.336,-8.445,10.336,8.445,9.3905,1,canonical_reuse
AB_091,CHEMBL4787165,neither,CCN(C)C(=O)Oc1ccc(/C=C/C(=O)N2CCC(Cc3ccccc3)CC2)cc1OC,-10.594,-8.735,10.594,8.735,9.6645,1,canonical_reuse
AB_092,CHEMBL4084714,neither,COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1OCCCCCCCCN(C)C,-9.566,-7.713,9.566,7.713,8.6395,1,canonical_reuse
AB_093,CHEMBL4874487,neither,COc1ccc(CN2CCC(c3oc4ccccc4c3C(=O)c3ccc(OC)c(OC)c3)CC2)cc1OC,-10.324,-10.2,10.324,10.2,10.262,1,canonical_reuse
AB_094,CHEMBL4761179,neither,CCN(CC)C(=O)Oc1ccc(/C=C/C(=O)N2CCC(Cc3ccccc3)CC2)cc1OC,-10.472,-8.896,10.472,8.896,9.684000000000001,1,canonical_reuse
AB_095,CHEMBL3407583,neither,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,-10.85,-9.456,10.85,9.456,10.152999999999999,1,canonical_reuse
AB_096,CHEMBL4101703,neither,COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1OCCN1CCCC1,-10.472,-8.055,10.472,8.055,9.2635,1,canonical_reuse
AB_098,CHEMBL3335049,neither,COc1cccc(CN2CCN(CCCOc3ccc4c5c(c(=O)oc4c3)CCCC5)CC2)c1,-11.784,-11.206,11.784,11.206,11.495000000000001,1,canonical_reuse
AB_099,CHEMBL3407584,neither,C#CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,-10.939,-8.751,10.939,8.751,9.844999999999999,1,canonical_reuse
AB_100,CHEMBL4788885,neither,COc1cccc2cc[n+](-c3cccc(Cl)c3)cc12.[Br-],-9.776,-8.384,9.776,8.384,9.08,1,canonical_reuse
