id,parent_id,parent_source,smiles,inchikey,core_smiles,mw,clogp,rb,sa,reactivity_bucket,pains_flag,n_acrylamide,max_tc_full,max_tc_core,nearest_anchor_full,nearest_anchor_core,erg_max,nearest_erg,murcko,same_scaffold_as,hinge_hits,tc_full_YL5084,tc_core_YL5084,erg_YL5084,tc_full_YL2056,tc_core_YL2056,erg_YL2056,tc_full_JNK-IN-8,tc_core_JNK-IN-8,erg_JNK-IN-8,tc_full_56d,tc_core_56d,erg_56d,track,subtrack,discard_reason,react2,react2_reason
CHEMBL249916_ACR0,CHEMBL249916,chembl,C=CC(=O)N(c1ccnc(Nc2cccc(C(N)=O)c2)n1)c1cc(F)ccc1C,UUQLAZSKPQEQPK-UHFFFAOYSA-N,Cc1ccc(F)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,391.41,3.62,6,2.626,watch,0,1,0.3441,0.3636,JNK-IN-8,JNK-IN-8,0.8622,JNK-IN-8,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,,0,0.1913,0.2128,0.8107,0.193,0.2043,0.8107,0.3441,0.3636,0.8622,0.2211,0.2093,0.7051,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL249916_ACR1,CHEMBL249916,chembl,C=CC(=O)N(c1cccc(C(N)=O)c1)c1nccc(Nc2cc(F)ccc2C)n1,DSZVZOHYMWPDHX-UHFFFAOYSA-N,Cc1ccc(F)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,391.41,3.62,6,2.67,watch,0,1,0.2525,0.3636,JNK-IN-8,JNK-IN-8,0.8028,JNK-IN-8,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,,1,0.1724,0.2128,0.7522,0.1638,0.2043,0.7522,0.2525,0.3636,0.8028,0.1979,0.2093,0.6718,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL3928188_ACR0,CHEMBL3928188,chembl,C=CC(=O)N(c1cc(C)cc(-c2cccc(C(C)=O)c2)c1)c1nccc(C(F)(F)F)n1,QUPCMGXWKJTNQL-UHFFFAOYSA-N,CC(=O)c1cccc(-c2cc(C)cc(Nc3nccc(C(F)(F)F)n3)c2)c1,425.41,5.52,5,2.782,watch,0,1,0.2449,0.3636,JNK-IN-8,JNK-IN-8,0.6636,YL5084,c1ccc(-c2cccc(Nc3ncccn3)c2)cc1,,0,0.1652,0.2,0.6636,0.1565,0.1915,0.6636,0.2449,0.3636,0.5531,0.1895,0.1818,0.512,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL3668873_ACR0,CHEMBL3668873,chembl,C=CC(=O)N(c1cc(C)c2[nH]c(C(=O)NCc3cccnc3)cc2c1)c1nccc(-c2cn(C)cn2)n1,FGKQEYPIZQJXNH-UHFFFAOYSA-N,Cc1cc(Nc2nccc(-c3cn(C)cn3)n2)cc2cc(C(=O)NCc3cccnc3)[nH]c12,492.54,3.84,7,3.196,watch,0,1,0.2778,0.3636,JNK-IN-8,JNK-IN-8,0.8003,JNK-IN-8,O=C(NCc1cccnc1)c1cc2cc(Nc3nccc(-c4c[nH]cn4)n3)ccc2[nH]1,,2,0.1719,0.1835,0.7823,0.1641,0.1759,0.7823,0.2778,0.3636,0.8003,0.1835,0.1667,0.7474,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL1987881_ACR0,CHEMBL1987881,chembl,C=CC(=O)N(c1cccc(F)c1)c1nccc(-c2ccc(C(=O)NCCN(C)C)cc2)n1,BPKPOEZXJZENGG-UHFFFAOYSA-N,CN(C)CCNC(=O)c1ccc(-c2ccnc(Nc3cccc(F)c3)n2)cc1,433.49,3.42,8,2.591,watch,0,1,0.2857,0.3625,JNK-IN-8,JNK-IN-8,0.791,YL5084,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,,0,0.2212,0.2292,0.791,0.2124,0.234,0.791,0.2857,0.3625,0.7712,0.1818,0.1739,0.6317,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL3970026_ACR0,CHEMBL3970026,chembl,C=CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1,XKKVIVFQOBFCKM-UHFFFAOYSA-N,Nc1ccc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1,395.44,2.66,6,2.199,watch,0,1,0.3294,0.3623,JNK-IN-8,JNK-IN-8,0.8314,JNK-IN-8,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,,0,0.25,0.2561,0.7392,0.2525,0.2625,0.7392,0.3294,0.3623,0.8314,0.2235,0.1341,0.7283,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL3134613_ACR0,CHEMBL3134613,chembl,C=CC(=O)N(c1cccc(C)c1)c1nccc(-c2ccc(Br)cc2)n1,IZQSCYYYZSIAJZ-UHFFFAOYSA-N,Cc1cccc(Nc2nccc(-c3ccc(Br)cc3)n2)c1,394.27,5.07,4,2.467,watch,0,1,0.2527,0.3623,JNK-IN-8,JNK-IN-8,0.6147,YL5084,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,,0,0.1776,0.1977,0.6147,0.1682,0.1882,0.6147,0.2527,0.3623,0.5559,0.1667,0.1341,0.4461,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL3134609_ACR0,CHEMBL3134609,chembl,C=CC(=O)N(c1nccc(-c2ccc(C)cc2)n1)c1ccc(Cl)cc1Cl,GITXMQAKQLKPJH-UHFFFAOYSA-N,Cc1ccc(-c2ccnc(Nc3ccc(Cl)cc3Cl)n2)cc1,384.27,5.61,4,2.498,watch,0,1,0.2258,0.3623,JNK-IN-8,JNK-IN-8,0.6147,YL5084,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,,0,0.1667,0.1977,0.6147,0.1574,0.1882,0.6147,0.2258,0.3623,0.5559,0.1413,0.1071,0.4461,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL3970026_ACR1,CHEMBL3970026,chembl,C=CC(=O)N(c1ccc(S(N)(=O)=O)cc1)c1nccc(-c2ccc(N)cc2)n1,XQBSDWGUBVLABU-UHFFFAOYSA-N,Nc1ccc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1,395.44,2.22,5,2.595,watch,0,1,0.1895,0.3623,JNK-IN-8,JNK-IN-8,0.7779,JNK-IN-8,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,,0,0.1574,0.2561,0.7451,0.1589,0.2625,0.7451,0.1895,0.3623,0.7779,0.1304,0.1341,0.6612,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL3823745_ACR0,CHEMBL3823745,chembl,C=CC(=O)N(c1ccc(C(C)=O)cc1)c1cc(C)nc(-c2cccnc2)n1,FRGCDTJOALQWTC-UHFFFAOYSA-N,CC(=O)c1ccc(Nc2cc(C)nc(-c3cccnc3)n2)cc1,358.4,3.9,5,2.598,watch,0,1,0.2889,0.3611,JNK-IN-8,JNK-IN-8,0.7039,YL5084,c1ccc(Nc2ccnc(-c3cccnc3)n2)cc1,,1,0.1636,0.1758,0.7039,0.1651,0.1667,0.7039,0.2889,0.3611,0.6355,0.1758,0.1687,0.5361,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
