repurposing_id,canonical_smiles,status,pdbqt,n_microspecies,selected_smiles,formal_charge,has_carboxylate,all_microspecies,mw
lesinurad,O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,prepared,data/campaigns/c1/01_ligand_prep/forced_recovery/pdbqt/lesinurad.pdbqt,1,O=C([O-])CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,-1,True,O=C([O-])CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,403.2810000000002
benzbromarone,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,prepared,data/campaigns/c1/01_ligand_prep/forced_recovery/pdbqt/benzbromarone.pdbqt,2,CCc1oc2ccccc2c1C(=O)c1cc(Br)c([O-])c(Br)c1,-1,False,CCc1oc2ccccc2c1C(=O)c1cc(Br)c([O-])c(Br)c1|CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,423.08000000000004
dotinurad,O=C(c1cc(Cl)c(O)c(Cl)c1)N1CS(=O)(=O)c2ccccc21,prepared,data/campaigns/c1/01_ligand_prep/forced_recovery/pdbqt/dotinurad.pdbqt,2,O=C(c1cc(Cl)c(O)c(Cl)c1)N1CS(=O)(=O)c2ccccc21,0,False,O=C(c1cc(Cl)c(O)c(Cl)c1)N1CS(=O)(=O)c2ccccc21|O=C(c1cc(Cl)c([O-])c(Cl)c1)N1CS(=O)(=O)c2ccccc21,358.2020000000001
verinurad,CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)O,prepared,data/campaigns/c1/01_ligand_prep/forced_recovery/pdbqt/verinurad.pdbqt,1,CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)[O-],-1,True,CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)[O-],347.4190000000001
probenecid,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,prepared,data/campaigns/c1/01_ligand_prep/forced_recovery/pdbqt/probenecid.pdbqt,2,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1,-1,True,CCC[NH+](CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1|CCCN(CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1,284.35699999999997
puliginurad,CC(C)(Cc1cc2c(-c3ccc(C#N)cc3)cncc2s1)C(=O)O,prepared,data/campaigns/c1/01_ligand_prep/forced_recovery/pdbqt/puliginurad.pdbqt,1,CC(C)(Cc1cc2c(-c3ccc(C#N)cc3)cncc2s1)C(=O)[O-],-1,True,CC(C)(Cc1cc2c(-c3ccc(C#N)cc3)cncc2s1)C(=O)[O-],335.40800000000013
SHR-4640,O=C(O)C1(Sc2ccnc3ccc(Br)cc23)CCC1,prepared,data/campaigns/c1/01_ligand_prep/forced_recovery/pdbqt/SHR-4640.pdbqt,1,O=C([O-])C1(Sc2ccnc3ccc(Br)cc23)CCC1,-1,True,O=C([O-])C1(Sc2ccnc3ccc(Br)cc23)CCC1,337.21800000000013
GSK-3008348,Cc1cc(C)n(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1,prepared,data/campaigns/c1/01_ligand_prep/forced_recovery/pdbqt/GSK-3008348.pdbqt,2,Cc1cc(C)n(-c2cccc([C@H](CC(=O)[O-])C[NH+]3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1,0,True,Cc1cc(C)n(-c2cccc([C@H](CC(=O)[O-])CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1|Cc1cc(C)n(-c2cccc([C@H](CC(=O)[O-])C[NH+]3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1,487.6480000000004
