ligand_id,keep_urat1_acid,acid_arg477_min_A,u_CNNscore,u_CNNaffinity,keep_nlrp3_pose,n_CNNscore,n_CNNaffinity,keep_dual_acid_geometry
REP_00015,False,6.826035232841969,0.715192497,5.3677392,True,0.689725578,5.98758078,False
REP_00077,False,,0.79908371,6.86814737,True,0.589485168,6.1130538,False
REP_00092,False,10.028720057913668,0.872856021,7.25596666,False,0.382178217,6.5029335,False
REP_00142,True,3.2484791826330053,0.661750197,5.64501953,False,0.431991875,5.65687895,False
REP_00153,True,3.121939941766978,0.877343357,7.38770294,False,0.475343734,5.77123022,False
REP_00207,False,14.107409436179271,0.940526247,7.34828377,True,0.939515471,6.63356161,False
REP_00300,False,14.773323458179608,0.881186545,5.63488436,True,0.822667181,5.49476814,False
REP_00308,False,,0.712694943,7.46712446,False,0.326112002,6.28456497,False
REP_00325,False,14.9888413828421,0.896390319,5.77548361,True,0.826880455,5.47009087,False
REP_00476,False,14.150245262892087,0.757336855,7.311728,False,0.394173265,5.48952055,False
REP_00572,False,14.189749434010452,0.871561766,5.6056447,True,0.821804643,5.57700348,False
REP_00600,False,15.12744396783541,0.804019451,7.3722415,False,0.210471913,5.85911512,False
REP_00697,False,13.022234255303495,0.742968202,6.77078199,True,0.70193249,5.98905182,False
REP_00698,False,14.509066131216027,0.431617171,6.60145903,True,0.630557179,5.72430611,False
REP_00729,False,11.55208072167088,0.902928829,7.36211538,True,0.531196773,6.64506483,False
REP_00745,False,12.040265653215462,0.667786121,6.56325531,False,0.362890482,5.60535192,False
REP_00833,False,12.742956014991172,0.729707003,6.97633123,False,0.447399795,6.29353952,False
REP_00853,True,7.350201970014155,0.629134655,6.26409483,False,0.422130853,5.97528505,False
REP_00857,False,12.744239404530973,0.713844836,7.6808629,False,0.39495942,6.70470381,False
REP_00940,True,2.913446412755867,0.816896975,7.38613653,True,0.55553937,6.61936522,True
REP_00944,False,14.33713297699369,0.785558641,6.70516205,True,0.79643327,6.63690042,False
REP_00950,True,4.402491226567064,0.724445939,7.09229898,True,0.649919927,6.98062706,True
REP_00992,True,3.0243510047611752,0.673511803,6.54150391,True,0.933082283,7.05069494,True
REP_01122,False,9.193075818244942,0.33467418,7.45837164,False,0.0490424447,5.48778009,False
REP_01131,True,2.854250339406122,0.781184077,7.045187,False,0.568535566,5.75300837,False
REP_01147,True,3.0838887787986105,0.830628335,7.23662901,True,0.769597828,6.02315283,True
REP_01178,False,14.17126483416353,0.773936212,7.56108427,True,0.688225806,6.69010925,False
REP_01181,False,,0.816890836,7.09077787,True,0.915901303,6.84720612,False
REP_01274,False,13.10143522672229,0.703618824,6.94439459,False,0.422647417,5.83697176,False
REP_01310,False,9.621529088455745,0.432407379,6.50116348,False,0.246821105,6.37850046,False
REP_01345,False,14.709313580177694,0.875237703,6.29987478,True,0.675283968,5.38107824,False
REP_01346,True,5.291926397825277,0.605442286,7.01123476,False,0.340360582,6.22959948,False
REP_01404,False,14.927991760447886,0.648183882,6.93068504,False,0.455151767,5.82585526,False
REP_01458,False,,0.71766746,5.68107271,True,0.549748421,5.69786263,False
REP_01474,False,14.601634703005,0.910014391,7.43329811,True,0.591802955,6.36959457,False
REP_01485,False,5.747114145377657,0.700680494,6.25236082,True,0.645309091,6.3255558,False
REP_01494,False,10.418107793644678,0.460570812,6.31831694,False,0.276867241,5.56399155,False
REP_01593,False,10.655427208704493,0.727396429,7.62769079,True,0.573161423,6.95367861,False
REP_01595,True,2.951533330321713,0.703858018,7.44675016,False,0.386399657,7.05568695,False
REP_01598,False,13.299561045387916,0.56757164,7.00851822,True,0.557345748,6.28156471,False
REP_01601,False,13.778580986444133,0.548860967,6.84525442,False,0.333147109,5.66255808,False
REP_01948,False,14.79069778610866,0.704779625,6.80925894,False,0.456805438,6.2050209,False
REP_02001,False,,0.756268322,7.64485168,False,0.234632626,5.72127914,False
