ligand,class,pref_name,vina_mean,rtm_min_z,rtm_shortfall,consensus_rank_mean,consensus_and_top25,consensus_and_top25_pass,rank_vina_mean,rank_rtm_min_z
EH40_01,dual,TAK-285,10.175,2.3968836405926237,1.9826741781355404,-7.5,-997.6031163594074,0,14,1
EH40_02,dual,LAPATINIB,10.685,2.0667472975797017,1.966324581796298,-4.0,2.0667472975797017,1,5,3
EH40_03,dual,,10.174,-1.2561194318229605,-1.6043330289107405,-26.0,-1001.256119431823,0,15,37
EH40_04,dual,,11.8,-0.2678751432360627,-0.45475722466547447,-8.0,-1000.2678751432361,0,1,15
EH40_05,dual,CP-724714,10.039,0.7786811784244273,0.6127265077599524,-12.0,-999.2213188215756,0,18,6
EH40_06,dual,,9.8985,1.1872974606324127,0.8136671894801536,-13.0,-998.8127025393676,0,21,5
EH40_07,dual,,9.511,-0.2122508086250216,-0.4866820429435366,-19.5,-1000.2122508086251,0,26,13
EH40_08,dual,,9.7945,-0.3800943361257121,-0.5759401564292838,-20.5,-1000.3800943361257,0,23,18
EH40_09,dual,,10.486999999999998,-0.4869672844879391,-0.7330535279981661,-13.5,-1000.486967284488,0,8,19
EH40_10,dual,,8.536999999999999,-0.5817267295266005,-1.2003153271253184,-29.0,-1000.5817267295266,0,33,25
EH40_11,dual,,10.3545,0.2541076678640346,0.1941807727100904,-8.0,0.2541076678640346,1,9,7
EH40_12,dual,,10.0795,-0.0046535916304993,-0.5750777649716172,-13.0,-1000.0046535916305,0,16,10
EH40_13,dual,,9.711,-0.5694558230351261,-0.6774340500605451,-23.5,-1000.5694558230351,0,24,23
EH40_14,dual,,7.339,-1.1391469143604307,-1.253619841427308,-36.5,-1001.1391469143605,0,39,34
EH40_15,dual,,8.2595,0.1962443665237326,0.17464055003055973,-22.0,-999.8037556334763,0,36,8
EH40_16,A_only,,10.268999999999998,-0.9386346773217648,-1.3380425551610815,-21.0,-1000.9386346773217,0,12,30
EH40_17,A_only,,8.850999999999999,-0.718340642386442,-0.7336285575394718,-30.5,-1000.7183406423865,0,32,29
EH40_18,A_only,,11.731,-0.554054301857587,-0.6799348460953268,-12.0,-1000.5540543018576,0,2,22
EH40_19,A_only,,8.310500000000001,-1.1602405727902885,-1.4050733627575631,-35.0,-1001.1602405727903,0,35,35
EH40_20,A_only,,9.9345,-0.5074903750309552,-0.5583699050856902,-20.0,-1000.507490375031,0,20,20
EH40_21,A_only,,9.408,-1.2407386022989986,-1.7303840463781,-32.0,-1001.240738602299,0,28,36
EH40_22,A_only,,10.0695,-0.548322609940024,-0.7705298822973666,-19.0,-1000.54832260994,0,17,21
EH40_23,A_only,,11.028,2.200937275727437,2.189342828638673,-3.0,2.200937275727437,1,4,2
EH40_24,A_only,,6.9915,-1.4500566809994655,-1.4959511163410495,-39.5,-1001.4500566809994,0,40,39
EH40_25,A_only,,8.0,-1.6386770842258835,-2.6743407208015433,-38.5,-1001.6386770842258,0,37,40
EH40_26,A_only,,7.433,-0.5902499939363485,-0.7947312915201666,-32.0,-1000.5902499939364,0,38,26
EH40_27,A_only,ALVOCIDIB,9.028,-0.6601815489065221,-0.6764741617006358,-29.5,-1000.6601815489065,0,31,28
EH40_28,B_only,,11.302499999999998,1.2789029896785855,1.2360944414606774,-3.5,1.2789029896785855,1,3,4
EH40_29,B_only,,9.3145,-0.5783975663202717,-0.8297065197943698,-27.0,-1000.5783975663203,0,30,24
EH40_30,B_only,SOTRASTAURIN,9.5135,-1.099146901527359,-1.1893351228820754,-29.0,-1001.0991469015273,0,25,33
EH40_31,B_only,,9.966,-0.1759344416219331,-0.3295856212574787,-15.5,-1000.175934441622,0,19,12
EH40_32,B_only,,9.448,-0.3453397426147233,-0.48895143936738783,-21.5,-1000.3453397426147,0,27,16
EH40_33,B_only,,10.6445,-0.1531234553003326,-1.1750207873674097,-9.0,-1000.1531234553004,0,7,11
EH40_34,B_only,,9.3995,-0.2467871313394248,-0.7050097436609922,-21.5,-1000.2467871313394,0,29,14
EH40_35,B_only,,10.352,-0.9496811604541034,-1.7948114092324767,-21.0,-1000.9496811604541,0,10,32
EH40_36,B_only,,10.3165,-0.6258048268733206,-0.9033616836042695,-19.0,-1000.6258048268734,0,11,27
EH40_37,B_only,,10.674,0.1613395952300247,-0.12377929582503563,-7.5,0.1613395952300247,1,6,9
EH40_38,neither,,9.796,-1.2670828844732622,-1.5351649449791416,-30.0,-1001.2670828844732,0,22,38
EH40_39,neither,,10.2465,-0.3479044679392052,-0.4460990566601673,-15.0,-1000.3479044679392,0,13,17
EH40_40,neither,,8.4895,-0.9392693942757256,-1.4553673212337923,-32.5,-1000.9392693942757,0,34,31
