ligand,class,pref_name,vina_mean,rtm_min_z,rtm_shortfall,consensus_rank_mean,consensus_and_top25
EH40_01,dual,TAK-285,14,1,2,4,6
EH40_02,dual,LAPATINIB,5,3,3,3,2
EH40_03,dual,,15,37,37,27,37
EH40_04,dual,,1,15,12,6,15
EH40_05,dual,CP-724714,18,6,6,9,8
EH40_06,dual,,21,5,5,11,7
EH40_07,dual,,26,13,13,18,13
EH40_08,dual,,23,18,17,20,18
EH40_09,dual,,8,19,22,13,19
EH40_10,dual,,33,25,30,29,25
EH40_11,dual,,9,7,7,6,4
EH40_12,dual,,16,10,16,11,10
EH40_13,dual,,24,23,19,26,23
EH40_14,dual,,39,34,31,38,34
EH40_15,dual,,36,8,8,25,9
EH40_16,A_only,,12,30,32,21,30
EH40_17,A_only,,32,29,23,33,29
EH40_18,A_only,,2,22,20,9,22
EH40_19,A_only,,35,35,33,37,35
EH40_20,A_only,,20,20,15,19,20
EH40_21,A_only,,28,36,38,34,36
EH40_22,A_only,,17,21,24,16,21
EH40_23,A_only,,4,2,1,1,1
EH40_24,A_only,,40,39,35,40,39
EH40_25,A_only,,37,40,40,39,40
EH40_26,A_only,,38,26,25,34,26
EH40_27,A_only,ALVOCIDIB,31,28,18,31,28
EH40_28,B_only,,3,4,4,2,3
EH40_29,B_only,,30,24,26,28,24
EH40_30,B_only,SOTRASTAURIN,25,33,29,29,33
EH40_31,B_only,,19,12,10,15,12
EH40_32,B_only,,27,16,14,23,16
EH40_33,B_only,,7,11,28,8,11
EH40_34,B_only,,29,14,21,23,14
EH40_35,B_only,,10,32,39,21,32
EH40_36,B_only,,11,27,27,16,27
EH40_37,B_only,,6,9,9,4,5
EH40_38,neither,,22,38,36,32,38
EH40_39,neither,,13,17,11,14,17
EH40_40,neither,,34,31,34,36,31
