arm,auroc,n,n_dual,top10_dual,top10_A_only,top10_B_only,top10_neither,top10_hardneg
vina_mean,0.552,40,15,4,2,4,0,6
rtm_min_z,0.7226666666666667,40,15,7,1,2,0,3
rtm_shortfall,0.712,40,15,6,1,3,0,4
consensus_rank_mean,0.6546666666666666,40,15,5,2,3,0,5
consensus_and_top25,0.7066666666666667,40,15,7,1,2,0,3
