patent_id,activity_raw,ic50_range,ic50_lower_nM,ic50_upper_nM,bound_note,assay,definition_source
WO2022204227,+++,IC50 < 1 μM,,1000.0,upper exclusive (<),THP-1 cell-based NLRP3 activation,patent Table 1 text
WO2022204227,++,IC50 < 10 μM,,10000.0,upper exclusive (<); nested with +++,THP-1 cell-based NLRP3 activation,patent Table 1 text
WO2022204227,+,IC50 < 50 μM,,50000.0,upper exclusive (<); nested with ++/+++,THP-1 cell-based NLRP3 activation,patent Table 1 text
WO2023147468,+++,IC50 < 1 μM,,1000.0,upper exclusive (<),THP-1 cell-based NLRP3 activation,patent Table 4 text
WO2023147468,++,IC50 < 10 μM,,10000.0,upper exclusive (<); nested with +++,THP-1 cell-based NLRP3 activation,patent Table 4 text
WO2023147468,+,IC50 < 50 μM,,50000.0,upper exclusive (<); nested with ++/+++,THP-1 cell-based NLRP3 activation,patent Table 4 text
WO2024064655,+++,IC50 < 1 μM,,1000.0,upper exclusive (<),THP-1 cell-based NLRP3 activation,patent Table 6 text
WO2024064655,++,IC50 < 10 μM,,10000.0,upper exclusive (<); nested with +++,THP-1 cell-based NLRP3 activation,patent Table 6 text
WO2024064655,+,IC50 < 50 μM,,50000.0,upper exclusive (<); nested with ++/+++,THP-1 cell-based NLRP3 activation,patent Table 6 text
WO2025207644,A,IC50 < 100 nM,,100.0,upper exclusive (<),THP-1 cell-based NLRP3 activation inhibition,patent Table 4 text
WO2025207644,B,100 nM to 500 nM,100.0,500.0,between 100 nM and 500 nM,THP-1 cell-based NLRP3 activation inhibition,patent Table 4 text
WO2025207644,C,500 nM to 1 μM,500.0,1000.0,between 500 nM and 1 μM,THP-1 cell-based NLRP3 activation inhibition,patent Table 4 text
WO2025207644,D,1 μM to 15 μM,1000.0,15000.0,between 1 μM and 15 μM,THP-1 cell-based NLRP3 activation inhibition,patent Table 4 text
WO2025207644,E,IC50 > 15 μM,15000.0,,lower exclusive (>),THP-1 cell-based NLRP3 activation inhibition,patent Table 4 text
WO2026054623,A,IC50 < 50 nM,,50.0,upper exclusive (<),THP-1 IL-1β ELISA,CSV activity-table header
WO2026054623,B,50 nM < IC50 < 100 nM,50.0,100.0,exclusive bounds,THP-1 IL-1β ELISA,CSV activity-table header
WO2026054623,C,IC50 > 100 nM,100.0,,header truncated after C; interpreted as IC50 > 100 nM,THP-1 IL-1β ELISA,CSV activity-table header (truncated)
