patent_id,west_left,central_alkoxy_middle,east_right,n_compounds,activity_distribution,n_top_bin,top_bin_label,top_bin_ic50_range,frac_top_bin,mean_activity_score,example_smiles
WO2022204227,3-F-phenyl,O-cyclopropyl,azaindazole,11,+++=8; ++=3; +=0,8,+++,IC50 < 1 μM,0.727,2.727,CN(Cc1cnc(C#N)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)n1
WO2022204227,"3,5-diF-phenyl",OEt,indazole,3,+++=2; ++=0; +=1,2,+++,IC50 < 1 μM,0.667,2.333,CCOc1cc(C(=O)N(C)Cc2ccc(C#N)c3cn[nH]c23)ccc1-c1cc(F)cc(F)c1
WO2022204227,3-F-phenyl,O-oxetanyl,azaindazole,5,+++=3; ++=1; +=1,3,+++,IC50 < 1 μM,0.6,2.4,CN(Cc1cncc2cn[nH]c12)C(=O)c1cnc(-c2cccc(F)c2)c(OC2COC2)c1
WO2022204227,3-F-phenyl,O-cyclopropyl,indazole,14,+++=8; ++=2; +=4,8,+++,IC50 < 1 μM,0.571,2.286,CN(Cc1ccc(F)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)n1
WO2022204227,phenyl,OEt,azaindazole,9,+++=5; ++=3; +=1,5,+++,IC50 < 1 μM,0.556,2.444,CCOc1cc(C(=O)N(C)Cc2cnc(C#N)c3cn[nH]c23)cc(F)c1-c1ccccc1
WO2022204227,2-thienyl,OEt,indazole,4,+++=2; ++=1; +=1,2,+++,IC50 < 1 μM,0.5,2.25,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1csc(C#N)c1
WO2022204227,3-F-phenyl,OEt,azaindazole,34,+++=16; ++=12; +=6,16,+++,IC50 < 1 μM,0.471,2.294,CCOc1cc(C(=O)N(C)Cc2ccnc3cn[nH]c23)ccc1-c1cccc(F)c1
WO2022204227,3-CN-phenyl,OEt,azaindazole,15,+++=7; ++=5; +=3,7,+++,IC50 < 1 μM,0.467,2.267,CCOc1cc(C(=O)N(C)Cc2cnc(OC)c3cn[nH]c23)ccc1-c1cccc(C#N)c1
WO2022204227,3-CN-phenyl,O-cyclopropyl,azaindazole,12,+++=5; ++=4; +=3,5,+++,IC50 < 1 μM,0.417,2.167,CN(Cc1cnc(CF)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(C#N)c2)c(OC2CC2)n1
WO2022204227,3-CN-phenyl,OEt,indazole,15,+++=6; ++=3; +=6,6,+++,IC50 < 1 μM,0.4,2.0,CCOc1cc(C(=O)N(C)Cc2ccc(C#N)c3cn[nH]c23)ccc1-c1ccc(F)c(C(=O)NC)c1
WO2022204227,"3,5-diF-phenyl",OEt,azaindazole,3,+++=1; ++=2; +=0,1,+++,IC50 < 1 μM,0.333,2.333,CCOc1cc(C(=O)N(C)Cc2cnc(C#N)c3cn[nH]c23)ccc1-c1cc(F)cc(F)c1
WO2022204227,3-F-phenyl,no_ortho_alkoxy,azaindazole,3,+++=1; ++=2; +=0,1,+++,IC50 < 1 μM,0.333,2.333,CN(Cc1cncc2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC(C)(F)F)c1
WO2022204227,3-F-phenyl,OEt,indazole,60,+++=19; ++=10; +=31,19,+++,IC50 < 1 μM,0.317,1.8,CCOc1cc(C(=O)N(C)Cc2ccc3nn(C)cc3c2)ccc1-c1cccc(F)c1
WO2022204227,3-CN-phenyl,O-cyclopropyl,indazole,17,+++=5; ++=7; +=5,5,+++,IC50 < 1 μM,0.294,2.0,CN(Cc1ccc(F)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(C#N)c2)c(OC2CC2)n1
WO2022204227,2-thienyl,OEt,azaindazole,4,+++=1; ++=3; +=0,1,+++,IC50 < 1 μM,0.25,2.25,CCOc1cc(C(=O)N(C)Cc2cncc3cn[nH]c23)ccc1-c1cccs1
WO2022204227,"3,5-diF-phenyl",O-cyclopropyl,indazole,4,+++=1; ++=3; +=0,1,+++,IC50 < 1 μM,0.25,2.25,CN(Cc1ccc(F)c2cn[nH]c12)C(=O)c1cnc(-c2cc(F)cc(F)c2)c(OC2CC2)c1
WO2022204227,phenyl,O-cyclopropyl,azaindazole,4,+++=1; ++=2; +=1,1,+++,IC50 < 1 μM,0.25,2.0,CN(Cc1cncc2cn[nH]c12)C(=O)c1ccc(-c2ccccc2)c(OC2CC2)n1
WO2022204227,phenyl,OEt,indazole,68,+++=11; ++=12; +=45,11,+++,IC50 < 1 μM,0.162,1.5,CCOc1cc(C(=O)N(C)Cc2ccc3cn[nH]c3c2)ccc1-n1cccn1
WO2022204227,phenyl,O-nPr,indazole,18,+++=2; ++=3; +=13,2,+++,IC50 < 1 μM,0.111,1.389,CCCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1C1CCC1
WO2022204227,3-F-phenyl,no_ortho_alkoxy,indazole,19,+++=2; ++=5; +=12,2,+++,IC50 < 1 μM,0.105,1.474,CN(Cc1cccc2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC(F)F)c1
WO2022204227,phenyl,no_ortho_alkoxy,indazole,13,+++=0; ++=1; +=12,0,+++,IC50 < 1 μM,0.0,1.077,COCc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccccc1
WO2022204227,2-thienyl,O-cyclopropyl,azaindazole,4,+++=0; ++=3; +=1,0,+++,IC50 < 1 μM,0.0,1.75,CN(Cc1cncc2cn[nH]c12)C(=O)c1ccc(-c2cc(C#N)cs2)c(OC2CC2)c1
WO2022204227,3-CN-phenyl,OMe,indazole,4,+++=0; ++=0; +=4,0,+++,IC50 < 1 μM,0.0,1.0,COc1cc(C(=O)N(C)Cc2cc(C#N)cc3cn[nH]c23)ccc1-c1cc(F)cc(C#N)c1
WO2022204227,2-F-phenyl,OEt,indazole,3,+++=0; ++=1; +=2,0,+++,IC50 < 1 μM,0.0,1.333,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1c(F)cccc1F
WO2022204227,pyridinyl,OEt,indazole,3,+++=0; ++=0; +=3,0,+++,IC50 < 1 μM,0.0,1.0,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cncc(F)c1
