patent_id,compound_number,smiles,activity_raw,activity_score,murcko_scaffold,mw,logp,tpsa,hbd,hba
WO2025207644,285,CCOc1cc(C(=O)N(Cc2ccc(C)c3cn[nH]c23)[C@H]2C[C@H](N(C)C)C2)ccc1-c1cccc(Cl)c1,,,O=C(c1ccc(-c2ccccc2)cc1)N(Cc1cccc2cn[nH]c12)C1CCC1,517.1,6.33,61.5,1,4
WO2025207644,220,CCOc1cc(C(=O)N(C)[C@H](CN(C)C)c2cccc3cn[nH]c23)ccc1-c1cccc(Cl)c1,B,2.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,477.0,5.66,61.5,1,4
WO2025207644,286,CCOc1cc(C(=O)N(Cc2ccc(C)c3cn[nH]c23)[C@H]2C[C@H](NC)C2)ccc1-c1cccc(Cl)c1,,,O=C(c1ccc(-c2ccccc2)cc1)N(Cc1cccc2cn[nH]c12)C1CCC1,503.0,5.98,70.2,2,4
WO2025207644,221,CCOc1cc(C(=O)N(C)[C@@H](CN(C)C)c2cccc3cn[nH]c23)ccc1-c1cccc(Cl)c1,A,3.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,477.0,5.66,61.5,1,4
WO2025207644,292,CCOc1cc(C(=O)N(Cc2cccc3cn[nH]c23)[C@H]2C[C@H](N)C2)ccc1-c1cccc(C#N)c1,A,3.0,O=C(c1ccc(-c2ccccc2)cc1)N(Cc1cccc2cn[nH]c12)C1CCC1,465.6,4.63,108.0,2,5
WO2025207644,222,CCOc1cc(C(=O)N(C)[C@H](CN2CCCC2)c2cccc3cn[nH]c23)ccc1-c1cccc(F)c1,C,1.0,O=C(NC(CN1CCCC1)c1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,486.6,5.68,61.5,1,4
WO2025207644,293,CCOc1cc(C(=O)N(Cc2cccc3cn[nH]c23)[C@H]2C[C@@H](N(C)C)C2)ccc1-c1cccc(C#N)c1,A,3.0,O=C(c1ccc(-c2ccccc2)cc1)N(Cc1cccc2cn[nH]c12)C1CCC1,493.6,5.24,85.2,1,5
WO2025207644,1_intermediate,O=Cc1c(Cl)ccnc1Cl,,,c1ccncc1,176.0,2.2,30.0,0,2
WO2025207644,2_intermediate,OCCO,,,,62.1,-1.03,40.5,2,2
WO2025207644,3_intermediate,Clc1ccnc(Cl)c1C1OCCO1,,,c1cncc(C2OCCO2)c1,220.1,2.43,31.4,0,3
WO2025207644,4_intermediate,CC(C)(C)[S@@](N)=O,,,,121.2,0.41,43.1,1,1
WO2025207644,5_intermediate,CC(C)(C)[S@](N)=O,,,,121.2,0.41,43.1,1,1
WO2025207644,int-26,C[Si](C)(C)CCOCn1ncc2c(Cl)ncc(CBr)c21,,,c1cc2[nH]ncc2cn1,376.8,4.29,39.9,0,3
WO2025207644,int-27,C[Si](C)(C)CCOCn1ncc2c(Cl)ncc(C=O)c21,,,c1cc2[nH]ncc2cn1,311.8,3.21,57.0,0,4
WO2025207644,GP9,CN(C(=O)c1ccc(-c2ccccc2)cc1)[C@H](CO)c1cnc(Cl)c(C2OCCO2)c1Cl,,,O=C(NCc1cncc(C2OCCO2)c1)c1ccc(-c2ccccc2)cc1,473.4,4.91,71.9,1,5
WO2025207644,10_intermediate,COCC(c1cnc(Cl)c(C2OCCO2)c1Cl)N(C)C(=O)c1ccc(-c2ccccc2)cc1,,,O=C(NCc1cncc(C2OCCO2)c1)c1ccc(-c2ccccc2)cc1,487.4,5.56,60.9,0,5
WO2025207644,GP15,CN(C(=O)c1ccc(-c2ccccc2)cc1)[C@H](COCc1ccccc1)c1cnc(CO)c2cnn(COCC[Si](C)(C)C)c12,,,O=C(NC(COCc1ccccc1)c1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,622.8,6.93,89.7,1,6
WO2025207644,int-28,Cc1ncc(C=O)c2c1cnn2COCC[Si](C)(C)C,,,c1cc2[nH]ncc2cn1,291.4,2.86,57.0,0,4
WO2025207644,14,CN[C@H](CO[Si](C)(C)C(C)(C)C)c1cnc(Cl)c(C2OCCO2)c1Cl,,,c1cncc(C2OCCO2)c1,407.4,4.72,52.6,1,5
WO2025207644,15,CCOc1cc(C(=O)O)ccc1-c1cccc(F)c1,,,c1ccc(-c2ccccc2)cc1,260.3,3.59,46.5,1,2
WO2025207644,16,CCOc1cc(C(=O)N(C)[C@H](CO[Si](C)(C)C(C)(C)C)c2cnc(Cl)c(C3OCCO3)c2Cl)ccc1-c1cccc(F)c1,,,O=C(NCc1cncc(C2OCCO2)c1)c1ccc(-c2ccccc2)cc1,649.7,8.47,70.1,0,6
WO2025207644,17,CCOc1cc(C(=O)N(C)[C@H](CO)c2cnc(Cl)c(C=O)c2Cl)ccc1-c1cccc(F)c1,,,O=C(NCc1cccnc1)c1ccc(-c2ccccc2)cc1,491.3,5.21,79.7,1,5
WO2025207644,18,CCOc1cc(C(=O)N(C)[C@H](CO)c2cnc(Cl)c3cn[nH]c23)ccc1-c1cccc(F)c1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,468.9,4.62,91.3,2,5
WO2025207644,19,CCOc1cc(C(=O)O)ccc1-c1cc(F)cc(F)c1,,,c1ccc(-c2ccccc2)cc1,278.3,3.73,46.5,1,2
WO2025207644,20,CCOc1cc(C(=O)N(C)[C@H](CO[Si](C)(C)C(C)(C)C)c2cnc(Cl)c(C3OCCO3)c2Cl)ccc1-c1cc(F)cc(F)c1,,,O=C(NCc1cncc(C2OCCO2)c1)c1ccc(-c2ccccc2)cc1,667.7,8.61,70.1,0,6
WO2025207644,23,CN[C@H](CC(C)O[Si](C)(C)C(C)(C)C)c1cnc(Cl)c(C2OCCO2)c1Cl,,,c1cncc(C2OCCO2)c1,435.5,5.49,52.6,1,5
WO2025207644,24,CCOc1cc(C(=O)O)ccc1-c1cccc(Cl)c1,,,c1ccc(-c2ccccc2)cc1,276.7,4.1,46.5,1,2
WO2025207644,25,CCOc1cc(C(=O)N(C)[C@H](CC(C)O[Si](C)(C)C(C)(C)C)c2cnc(Cl)c(C3OCCO3)c2Cl)ccc1-c1cccc(Cl)c1,,,O=C(NCc1cncc(C2OCCO2)c1)c1ccc(-c2ccccc2)cc1,694.2,9.77,70.1,0,6
WO2025207644,26,CCOc1cc(C(=O)N(C)[C@H](CC(C)O)c2cncc3cn[nH]c23)ccc1-c1cccc(Cl)c1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,479.0,5.26,91.3,2,5
WO2025207644,int-23_intermediate,CC(C)(C)S(=O)N[C@H](COCc1ccccc1)c1cnc(Cl)c(C2OCCO2)c1Cl,,,c1ccc(COCCc2cncc(C3OCCO3)c2)cc1,473.4,4.74,69.7,1,5
WO2025207644,int-23,CCOc1cc(C(=O)N(C)[C@H](COCc2ccccc2)c2cnc(Cl)c3cn[nH]c23)ccc1-c1cccc(F)c1,,,O=C(NC(COCc1ccccc1)c1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,559.0,6.85,80.3,1,5
WO2025207644,025_intermediate,CCOc1cc(C(=O)N(C)[C@@H](CO)c2cnc(C)c3cn[nH]c23)ccc1-c1cccc(F)c1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,448.5,4.28,91.3,2,5
WO2025207644,int-24,CCOc1cc(C(=O)N(C)[C@H](CC=O)c2cncc3cn[nH]c23)ccc1-c1cccc(F)c1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,446.5,4.57,88.2,1,5
