patent_id,compound_number,activity_raw,smiles_fix_tag,parseable,bal_like_substructure,formula,mw,inchikey,image,smiles,notes
WO2022204227,100,+,manual_n_methyl_indazole,True,True,C25H24FN3O2,417.48,IIOJUGOPJUHNJG-UHFFFAOYSA-N,WO2022204227_100.png,CCOc1cc(C(=O)N(C)Cc2ccc3nn(C)cc3c2)ccc1-c1cccc(F)c1,smiles_auto_fixed:manual_n_methyl_indazole
WO2022204227,134,+++,as_is,True,True,C23H20F2N4O2,422.44,RTXVQHMEFMLYAV-UHFFFAOYSA-N,WO2022204227_134.png,CCOc1nc(C(=O)N(C)Cc2ccc(F)c3cn[nH]c23)cc(F)c1-c1ccccc1,
WO2022204227,220,+,as_is,True,True,C26H20N6O2,448.49,RYECSWORDZFMRP-UHFFFAOYSA-N,WO2022204227_220.png,CN(Cc1cnc(C#N)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(C#N)c2)c(OC2CC2)c1,
WO2022204227,269,+++,as_is,True,True,C24H22F2N4O2,436.46,NPFPWBCGACLESC-UHFFFAOYSA-N,WO2022204227_269.png,CCOc1nc(C(=O)N(C)Cc2ccc(CF)c3cn[nH]c23)ccc1-c1cccc(F)c1,
WO2022204227,289,+++,as_is,True,True,C25H20FN5O2,441.47,PCBJFVWQXJJWJP-UHFFFAOYSA-N,WO2022204227_289.png,CN(Cc1cnc(C#N)c2cn[nH]c12)C(=O)c1cc(F)c(-c2ccccc2)c(OC2CC2)c1,
WO2022204227,307,+,as_is,True,True,C25H18FN5O2,439.45,FJJNGGSZNVRICX-UHFFFAOYSA-N,WO2022204227_307.png,COc1cc(C(=O)N(C)Cc2cc(C#N)cc3cn[nH]c23)ccc1-c1cc(F)cc(C#N)c1,
WO2022204227,351,+++,as_is,True,True,C24H20FN5O2,429.46,MGTNLVIJHIFLLD-UHFFFAOYSA-N,WO2022204227_351.png,CCOc1cc(C(=O)N(C)Cc2cc(C#N)cc3cn[nH]c23)cnc1-c1cccc(F)c1,
WO2022204227,37,+,as_is,True,True,C22H21N5O2,387.44,YIVGJWAONXECHR-UHFFFAOYSA-N,WO2022204227_37.png,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccnnc1,
WO2022204227,97,+,as_is,True,True,C19H19N5O2,349.39,GFDKNNNITMMGSZ-UHFFFAOYSA-N,WO2022204227_97.png,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)cc2[nH]ncc12,
WO2023147468,1,+++,n_oxide,True,True,C23H21FN4O3,420.44,CNRMUCJJKUWSNO-UHFFFAOYSA-N,WO2023147468_1.png,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])cc3cn[nH]c23)ccc1-c1cccc(F)c1,smiles_auto_fixed:n_oxide
WO2023147468,11,++,n_oxide,True,True,C25H22FN5O3,459.48,RVKKDDPHWMETMM-UHFFFAOYSA-N,WO2023147468_11.png,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)cc(F)c1-c1cccc(C#N)c1,smiles_auto_fixed:n_oxide
WO2023147468,2,+++,n_oxide,True,True,C24H23FN4O3,434.47,XBPPWWSBGJBCIC-UHFFFAOYSA-N,WO2023147468_2.png,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)ccc1-c1cccc(F)c1,smiles_auto_fixed:n_oxide
WO2023147468,20,++,n_oxide,True,True,C24H22F2N4O3,452.46,XMJCFOJMTDSXLB-UHFFFAOYSA-N,WO2023147468_20.png,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)ccc1-c1cccc(F)c1F,smiles_auto_fixed:n_oxide
WO2023147468,3,+++,n_oxide,True,True,C24H23FN4O3,434.47,YURUTUQQJUQGJK-UHFFFAOYSA-N,WO2023147468_3.png,CCOc1cc(C(=O)N(C)C(C)c2c[n+]([O-])cc3cn[nH]c23)ccc1-c1cccc(F)c1,smiles_auto_fixed:n_oxide
WO2023147468,32,++,n_oxide,True,True,C24H23FN4O3,434.47,KISBAHFUNVHUFS-UHFFFAOYSA-N,WO2023147468_32.png,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)c(F)cc1-c1ccccc1,smiles_auto_fixed:n_oxide;activity_pdf_corrected
WO2023147468,4,+++,n_oxide,True,True,C24H21FN4O3,432.46,WOSKEPGXIPPDCT-UHFFFAOYSA-N,WO2023147468_4.png,CN(Cc1c[n+]([O-])cc2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)c1,smiles_auto_fixed:n_oxide
WO2023147468,43,+++,n_oxide,True,True,C24H23ClN4O3,450.93,UCZZYRKNGXZLQU-OAHLLOKOSA-N,WO2023147468_43.png,CCOc1cc(C(=O)N(C)[C@H](C)c2c[n+]([O-])cc3cn[nH]c23)ccc1-c1cccc(Cl)c1,smiles_auto_fixed:n_oxide
WO2023147468,5,+++,n_oxide,True,True,C25H23FN4O3,446.48,PTUGQARRIIMXNM-UHFFFAOYSA-N,WO2023147468_5.png,Cc1c2cn[nH]c2c(CN(C)C(=O)c2ccc(-c3cccc(F)c3)c(OC3CC3)c2)c[n+]1[O-],smiles_auto_fixed:n_oxide
WO2023147468,54,+++,n_oxide,True,True,C24H23FN4O4,450.47,PLHSIBBEOXMXRG-UHFFFAOYSA-N,WO2023147468_54.png,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(CO)c3cn[nH]c23)ccc1-c1cccc(F)c1,smiles_auto_fixed:n_oxide
WO2023147468,58,++,n_oxide,True,True,C27H27FN4O3,474.54,HQEMEIVLNWQAKW-UHFFFAOYSA-N,WO2023147468_58.png,Cc1c2cn[nH]c2c(CN(C)C(=O)c2ccc(-c3cccc(F)c3)c(OC3CCCC3)c2)c[n+]1[O-],smiles_auto_fixed:n_oxide
WO2023147468,59,+++,n_oxide,True,True,C24H22ClFN4O3,468.92,TUPDMHGXOIODSJ-UHFFFAOYSA-N,WO2023147468_59.png,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(CF)c3cn[nH]c23)ccc1-c1cccc(Cl)c1,smiles_auto_fixed:n_oxide
WO2023147468,67,+++,n_oxide,True,True,C26H25FN4O3,460.51,AOISNPONYCAQIK-UHFFFAOYSA-N,WO2023147468_67.png,Cc1cccc(-c2c(F)cc(C(=O)N(C)Cc3c[n+]([O-])c(C)c4cn[nH]c34)cc2OC2CC2)c1,smiles_auto_fixed:n_oxide
WO2023147468,74,+++,n_oxide,True,True,C25H21F2N5O3,477.47,PEVCTDSDQJADGE-UHFFFAOYSA-N,WO2023147468_74.png,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(CF)c3cn[nH]c23)c(F)cc1-c1cccc(C#N)c1,smiles_auto_fixed:n_oxide
WO2024064655,121,+++,as_is,True,True,C22H20FN3O2S,409.49,SRFZVFNWPPELTJ-UHFFFAOYSA-N,WO2024064655_121.png,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)sc1-c1cccc(F)c1,
WO2024064655,13,+++,as_is,True,True,C22H23FN4O2,394.45,MPRVITOCFQVLIB-UHFFFAOYSA-N,WO2024064655_13.png,CCC#Cc1ccc(C(=O)N(C)Cc2cnc(CF)c3cn[nH]c23)cc1OCC,
WO2024064655,138,+++,as_is,True,True,C25H24F2N4O3,466.49,MQJJPQYBTCDDEH-UHFFFAOYSA-N,WO2024064655_138.png,CCCOc1cc(C(=O)N(C)Cc2cnc(CO)c3cn[nH]c23)cc(F)c1-c1cccc(F)c1,
WO2024064655,151,++,as_is,True,True,C25H23FN4O4,462.48,DJCWWAUSTZRTPH-UHFFFAOYSA-N,WO2024064655_151.png,CN(Cc1cnc(CO)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2COC2)c1,
WO2024064655,183,+++,as_is,True,True,C25H24FN3O3,433.48,TZMPWOXPPXQDEL-HNNXBMFYSA-N,WO2024064655_183.png,CCOc1cc(C(=O)N(C)[C@@H](C)c2c(O)ccc3cn[nH]c23)ccc1-c1cccc(F)c1,
WO2024064655,32,+++,as_is,True,True,C26H24ClFN4O2,478.96,ZQMNAYYUDUNHIN-UHFFFAOYSA-N,WO2024064655_32.png,CCN(Cc1cnc(C)c2cn[nH]c12)C(=O)c1cc(F)c(-c2cccc(Cl)c2)c(OC2CC2)c1,activity_pdf_corrected
WO2024064655,54,+++,as_is,True,True,C24H23FN4O2,418.47,OCYPKAIGGQRZJC-UHFFFAOYSA-N,WO2024064655_54.png,CCOc1cc(C(=O)N(C)Cc2ncc(C)c3cn[nH]c23)ccc1-c1cccc(F)c1,
WO2024064655,55,+++,as_is,True,True,C25H24F2N4O2,450.49,BHWVCLRPWQGCFB-UHFFFAOYSA-N,WO2024064655_55.png,CCOc1cc(C(=O)N(C)C(C)c2cnc(CF)c3cn[nH]c23)ccc1-c1cccc(F)c1,
WO2024064655,92,+++,as_is,True,True,C26H24ClFN4O3,494.95,COZZUHAQWRCZCO-UHFFFAOYSA-N,WO2024064655_92.png,CCN(Cc1cnc(CO)c2cn[nH]c12)C(=O)c1cc(F)c(-c2cccc(Cl)c2)c(OC2CC2)c1,
WO2025207644,101,A,as_is,True,True,C28H28F3N5O2,523.56,DBJCWLHJIAFAIF-XMMPIXPASA-N,WO2025207644_101.png,CCOc1cc(C(=O)N(C)[C@H](CCN2CC(F)(F)C2)c2cncc3cn[nH]c23)ccc1-c1cccc(F)c1,
WO2025207644,139,A,as_is,True,True,C28H31ClFN5O2,524.04,COINFWWALCAOSC-RUZDIDTESA-N,WO2025207644_139.png,CCOc1cc(C(=O)N(C)[C@H](CCNCCCF)c2cncc3cn[nH]c23)ccc1-c1cccc(Cl)c1,
WO2025207644,15,A,as_is,True,True,C26H27FN4O3,462.53,QVWFOQYANVGDCC-HSZRJFAPSA-N,WO2025207644_15.png,CCOc1cc(C(=O)N(C)[C@H](CCOC)c2cncc3cn[nH]c23)ccc1-c1cccc(F)c1,
WO2025207644,157,A,as_is,True,True,C26H35N5O2,449.6,QTGSTWGVPGCDRU-HSZRJFAPSA-N,WO2025207644_157.png,CCOc1cc(C(=O)N(C)[C@H](CCN(C)C)c2cncc3cn[nH]c23)ccc1C1CCCC1,
WO2025207644,193,A,as_is,True,True,C26H29N5O2,443.55,CYMKTFWGFRABQQ-HSZRJFAPSA-N,WO2025207644_193.png,CCOc1cc(C(=O)N(C)[C@H](CCNC)c2cncc3cn[nH]c23)ccc1-c1ccccc1,activity_pdf_corrected
WO2025207644,219,A,as_is,True,True,C28H30F2N4O2,492.57,BUHUWXOZRGTHAK-RUZDIDTESA-N,WO2025207644_219.png,CCOc1cc(C(=O)N(C)[C@H](CCN(C)C)c2cccc3cn[nH]c23)ccc1-c1cc(F)cc(F)c1,
WO2025207644,221,A,as_is,True,True,C27H29ClN4O2,477.01,QPIKWHOKCHGICX-DEOSSOPVSA-N,WO2025207644_221.png,CCOc1cc(C(=O)N(C)[C@@H](CN(C)C)c2cccc3cn[nH]c23)ccc1-c1cccc(Cl)c1,
