arm,auroc_D_vs_A,auroc_D_vs_B,summary_min,n_scored
vina_mean,0.6779336734693877,0.4119897959183674,0.4119897959183674,99
rtm_min_z,0.6505102040816326,0.4387755102040816,0.4387755102040816,100
