ligand,target,vina_mode,vina_score
PAB_009,PIK3CB,7,-7.378
PAB_009,PIK3CB,8,-7.299
PAB_009,PIK3CB,9,-7.269
PAB_010,PIK3CA,1,-8.03
PAB_010,PIK3CA,2,-7.962
PAB_010,PIK3CA,3,-7.898
PAB_010,PIK3CA,4,-7.874
PAB_010,PIK3CA,5,-7.704
PAB_010,PIK3CA,6,-7.68
PAB_010,PIK3CA,7,-7.66
PAB_010,PIK3CA,8,-7.656
PAB_010,PIK3CA,9,-7.654
PAB_010,PIK3CB,1,-8.003
PAB_010,PIK3CB,2,-7.986
PAB_010,PIK3CB,3,-7.966
PAB_010,PIK3CB,4,-7.839
PAB_010,PIK3CB,5,-7.645
PAB_010,PIK3CB,6,-7.619
PAB_010,PIK3CB,7,-7.484
PAB_010,PIK3CB,8,-7.48
PAB_010,PIK3CB,9,-7.423
PAB_011,PIK3CA,1,-7.828
PAB_011,PIK3CA,2,-7.767
PAB_011,PIK3CA,3,-7.753
PAB_011,PIK3CA,4,-7.701
PAB_011,PIK3CA,5,-7.622
PAB_011,PIK3CA,6,-7.621
PAB_011,PIK3CA,7,-7.457
PAB_011,PIK3CA,8,-7.413
PAB_011,PIK3CA,9,-7.369
PAB_011,PIK3CB,1,-9.297
PAB_011,PIK3CB,2,-9.033
PAB_011,PIK3CB,3,-8.85
PAB_011,PIK3CB,4,-8.772
PAB_011,PIK3CB,5,-8.706
PAB_011,PIK3CB,6,-8.644
PAB_011,PIK3CB,7,-8.641
PAB_011,PIK3CB,8,-8.444
PAB_011,PIK3CB,9,-8.393
PAB_012,PIK3CA,1,-9.823
PAB_012,PIK3CA,2,-9.588
PAB_012,PIK3CA,3,-9.312
PAB_012,PIK3CA,4,-9.244
PAB_012,PIK3CA,5,-9.176
PAB_012,PIK3CA,6,-9.119
PAB_012,PIK3CA,7,-9.064
PAB_012,PIK3CA,8,-9.051
PAB_012,PIK3CA,9,-8.773
PAB_012,PIK3CB,1,-10.146
PAB_012,PIK3CB,2,-9.786
PAB_012,PIK3CB,3,-9.203
PAB_012,PIK3CB,4,-8.913
PAB_012,PIK3CB,5,-8.801
