ligand,target,vina_mode,rtmscore
PAB_022,PIK3CA,2,41.6970117061984
PAB_085,PIK3CA,8,41.66701499802412
PAB_048,PIK3CA,1,41.61662790689677
PAB_076,PIK3CA,4,41.60671731594302
PAB_026,PIK3CA,2,41.51368023548692
PAB_090,PIK3CA,4,41.45301568770677
PAB_020,PIK3CA,3,41.40355266758386
PAB_088,PIK3CA,5,41.38811021574376
PAB_062,PIK3CA,5,41.360799061068015
PAB_050,PIK3CA,2,41.15287744968048
PAB_019,PIK3CA,3,41.0683237636982
PAB_015,PIK3CA,8,41.048339044146445
PAB_060,PIK3CA,3,41.03393188147562
PAB_083,PIK3CA,3,40.9731633240906
PAB_006,PIK3CA,2,40.72793385328028
PAB_032,PIK3CA,2,40.63354865217468
PAB_092,PIK3CA,5,40.53694503841112
PAB_041,PIK3CA,4,40.5335034652141
PAB_082,PIK3CA,3,40.393704431039616
PAB_051,PIK3CA,5,40.13677071661048
PAB_073,PIK3CA,8,40.104741506227725
PAB_015,PIK3CA,4,39.89452278474123
PAB_090,PIK3CA,3,39.82620531985627
PAB_079,PIK3CA,7,39.74445829897842
PAB_035,PIK3CA,2,39.72154833366302
PAB_054,PIK3CA,1,39.68677461023439
PAB_072,PIK3CA,5,39.67848967898286
PAB_096,PIK3CA,1,39.67678792956444
PAB_087,PIK3CA,3,39.67655163184055
PAB_062,PIK3CA,8,39.66799741892735
PAB_063,PIK3CA,3,39.634510771654895
PAB_061,PIK3CA,3,39.61571537203915
PAB_041,PIK3CA,5,39.56821619655561
PAB_028,PIK3CA,7,39.55793765516627
PAB_060,PIK3CA,6,39.54294277497124
PAB_035,PIK3CA,1,39.50235236858761
PAB_028,PIK3CA,1,39.47622352817715
PAB_078,PIK3CA,2,39.38136712858448
PAB_047,PIK3CA,7,39.3548541610084
PAB_023,PIK3CA,3,39.329167267665184
PAB_033,PIK3CA,2,39.24362365557276
PAB_041,PIK3CA,1,39.15505386625933
PAB_036,PIK3CA,8,39.11031342423964
PAB_007,PIK3CA,2,39.00878037927488
PAB_083,PIK3CA,2,38.79812210667749
PAB_071,PIK3CA,2,38.78812104040043
PAB_014,PIK3CA,2,38.75463512466367
PAB_065,PIK3CA,1,38.647477768566375
PAB_026,PIK3CA,3,38.63416923332607
PAB_051,PIK3CA,2,38.599085997381465
PAB_056,PIK3CA,8,38.54874680552136
PAB_016,PIK3CA,3,38.45266577026591
PAB_038,PIK3CA,4,38.45100344267066
PAB_035,PIK3CA,6,38.39517392019277
PAB_016,PIK3CA,5,38.33098414586968
PAB_048,PIK3CA,3,38.32745854915191
PAB_051,PIK3CA,8,38.28590724634256
PAB_033,PIK3CA,1,38.216876935603175
PAB_096,PIK3CA,3,38.1667721798956
PAB_093,PIK3CA,3,38.12919561370096
PAB_063,PIK3CA,9,38.11475345269171
PAB_056,PIK3CA,4,38.07724236396819
PAB_012,PIK3CA,2,38.01353793956231
PAB_003,PIK3CA,4,38.00737594610995
PAB_062,PIK3CA,3,38.00195861923867
PAB_019,PIK3CA,4,37.998988258593336
PAB_055,PIK3CA,2,37.9952386036008
PAB_056,PIK3CA,3,37.87209304184886
PAB_048,PIK3CA,2,37.79951936805352
PAB_035,PIK3CA,3,37.76011388981748
PAB_085,PIK3CA,7,37.71880404418514
PAB_095,PIK3CA,5,37.69927130770326
PAB_001,PIK3CA,1,37.6660309799487
PAB_014,PIK3CA,4,37.608743755986765
PAB_097,PIK3CA,7,37.59653790913902
PAB_089,PIK3CA,8,37.47266016820572
PAB_007,PIK3CA,5,37.45614903087174
PAB_006,PIK3CA,1,37.44764660711289
PAB_060,PIK3CA,2,37.26443811726595
PAB_057,PIK3CA,1,37.24423897881204
PAB_054,PIK3CA,5,37.14970138346547
PAB_052,PIK3CA,1,37.14341713967916
PAB_023,PIK3CA,4,37.13480545699854
PAB_086,PIK3CA,3,37.119471077782585
PAB_032,PIK3CA,1,36.98244378172517
PAB_028,PIK3CA,6,36.97951729338413
PAB_028,PIK3CA,4,36.96106107621493
PAB_065,PIK3CA,4,36.95685704738189
PAB_081,PIK3CA,7,36.94849984080859
PAB_090,PIK3CA,2,36.88859501917631
PAB_089,PIK3CA,5,36.8880048826278
PAB_073,PIK3CA,7,36.84976188000444
PAB_095,PIK3CA,6,36.83314297384413
PAB_026,PIK3CA,8,36.77849610718377
PAB_051,PIK3CA,1,36.734368970872495
PAB_081,PIK3CA,9,36.42442649868764
PAB_041,PIK3CA,8,36.38229977293863
PAB_072,PIK3CA,3,36.3571176963661
PAB_081,PIK3CA,3,36.31795302421722
PAB_055,PIK3CA,1,36.18221345437832
PAB_062,PIK3CA,4,36.08111285725044
PAB_011,PIK3CA,9,36.06178396331156
PAB_086,PIK3CA,8,36.040578829969874
PAB_047,PIK3CA,3,35.961489583266605
PAB_080,PIK3CA,6,35.949452894209685
PAB_082,PIK3CA,9,35.92647369320745
PAB_041,PIK3CA,3,35.88591569420277
PAB_035,PIK3CA,5,35.8603142476419
PAB_057,PIK3CA,3,35.82798125355114
PAB_023,PIK3CA,2,35.80663590779635
PAB_009,PIK3CA,2,35.786231352793145
PAB_070,PIK3CA,4,35.72100038409107
PAB_095,PIK3CA,9,35.68819861701085
PAB_058,PIK3CA,8,35.67084518520207
PAB_086,PIK3CA,2,35.615826716199656
PAB_019,PIK3CA,6,35.55871828721986
PAB_083,PIK3CA,7,35.546524176941745
PAB_053,PIK3CA,5,35.52734767501362
PAB_022,PIK3CA,1,35.52530066254293
PAB_028,PIK3CA,5,35.52044246405194
PAB_089,PIK3CA,4,35.47891687467077
PAB_003,PIK3CA,8,35.44427327252768
PAB_071,PIK3CA,6,35.4411595336507
PAB_097,PIK3CA,2,35.411516939297755
PAB_078,PIK3CA,1,35.38841383181555
PAB_017,PIK3CA,9,35.372513517671464
PAB_050,PIK3CA,9,35.30609853895455
PAB_074,PIK3CA,4,35.26328862418189
PAB_087,PIK3CA,6,35.13006364269891
PAB_089,PIK3CA,6,35.082207895418904
PAB_082,PIK3CA,7,35.07628937573134
PAB_095,PIK3CA,4,35.0600795726256
PAB_052,PIK3CA,2,34.96095736303373
PAB_055,PIK3CA,3,34.920933137056146
PAB_072,PIK3CA,1,34.89340665180255
PAB_022,PIK3CA,3,34.88630843374749
PAB_054,PIK3CA,7,34.83360549088384
PAB_060,PIK3CA,5,34.79666551190423
PAB_098,PIK3CA,8,34.774291430927875
PAB_065,PIK3CA,3,34.74151850442828
PAB_087,PIK3CA,7,34.65004982698538
PAB_099,PIK3CA,1,34.63528956845765
PAB_018,PIK3CA,3,34.60507636644332
PAB_078,PIK3CA,4,34.44964189691908
PAB_003,PIK3CA,2,34.40143930509333
PAB_012,PIK3CA,5,34.35782316020637
PAB_008,PIK3CA,3,34.34911740728831
PAB_036,PIK3CA,1,34.30239849222609
PAB_014,PIK3CA,7,34.28010599633333
