"Molecule ChEMBL ID","Molecule Name","Molecule Max Phase","Molecular Weight","#RO5 Violations","AlogP","Compound Key","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","pChEMBL Value","Data Validity Comment","Comment","Uo Units","Ligand Efficiency BEI","Ligand Efficiency LE","Ligand Efficiency LLE","Ligand Efficiency SEI","Potential Duplicate","Assay ChEMBL ID","Assay Description","Assay Type","BAO Format ID","BAO Label","Assay Organism","Assay Tissue ChEMBL ID","Assay Tissue Name","Assay Cell Type","Assay Subcellular Fraction","Assay Parameters","Assay Variant Accession","Assay Variant Mutation","Target ChEMBL ID","Target Name","Target Organism","Target Type","Document ChEMBL ID","Source ID","Source Description","Document Journal","Document Year","Cell ChEMBL ID","Properties","Action Type","Standard Text Value","Value"
"CHEMBL5995971","","None","447.85","0","2.01","BDBM335495","O=C(NCc1ccc(F)cc1Cl)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2","IC50","'='","42.0","nM","7.38","","658617","UO_0000065","16.47","0.32","5.37","7.31","0","CHEMBL5732501","Inhibition Assay: Test compounds were serially diluted in DMSO and then spiked (2 μL) into in 0.4 mL KHB buffer containing wild-type or OCT2-transfected cells and incubated for 10 minutes. Assay was initiated with the addition of 0.1 mL of 100 μM 14C-TEA in KHB buffer (20 μM final concentration after mixing). The concentration of TEA is based on the Km. After 10 minutes of incubation, the assay mixture was quenched with addition of 0.5 mL of ice-cold IX PBS buffer. Samples were then centrifuged at 1000 rpm for 5 min and supernatants were removed. Wash steps were repeated four times with ice-cold PBS.","B","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5726334","37","BindingDB Patent Bioactivity Data","","2017","None","","","","42.0"
"CHEMBL5883252","","None","415.40","0","1.77","BDBM330050","O=C(NCc1ccc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)[C@@H]1C2","IC50","'='","6200.0","nM","5.21","","647115","UO_0000065","12.54","0.24","3.44","5.68","1","CHEMBL5732363","Inhibition Assay: The dose dependent inhibition of OCT2 mediated uptake of a model substrate 14C-Tetraethylammonium (TEA) by test compounds was studied in wild-type and OCT2-transfected MDCKII cells at 7 concentrations from 0.014 μM to 10 μM.MDCKII cells were maintained in minimal essential medium (MEM) with 1% Pen/Strep, 10% fetal bovine serum, and 0.25 mg/mL hygromycin B in an incubator set at 37° C., 90% humidity and 5% CO2. 24 hours prior to assay, media containing 5 mM sodium butyrate were added to MDCKII cells in flasks, and cells were grown to 80-90% confluence. On assay day, cells were trypsinized and resuspended in Krebs-Henseleit Buffer (KHB), pH 7.4 at 5×106 million cells/mL. Cells were preincubated for 15 min in assay plate before addition of test compound or substrate.","B","BAO_0000219","cell-based format","Homo sapiens","None","None","None","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5726266","37","BindingDB Patent Bioactivity Data","","2017","None","","","","6200.0"
"CHEMBL5792941","","None","433.39","0","1.91","BDBM330052","O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)[C@H]1C2","IC50","'='","476.0","nM","6.32","","647117","UO_0000065","14.59","0.28","4.41","6.90","1","CHEMBL5732363","Inhibition Assay: The dose dependent inhibition of OCT2 mediated uptake of a model substrate 14C-Tetraethylammonium (TEA) by test compounds was studied in wild-type and OCT2-transfected MDCKII cells at 7 concentrations from 0.014 μM to 10 μM.MDCKII cells were maintained in minimal essential medium (MEM) with 1% Pen/Strep, 10% fetal bovine serum, and 0.25 mg/mL hygromycin B in an incubator set at 37° C., 90% humidity and 5% CO2. 24 hours prior to assay, media containing 5 mM sodium butyrate were added to MDCKII cells in flasks, and cells were grown to 80-90% confluence. On assay day, cells were trypsinized and resuspended in Krebs-Henseleit Buffer (KHB), pH 7.4 at 5×106 million cells/mL. Cells were preincubated for 15 min in assay plate before addition of test compound or substrate.","B","BAO_0000219","cell-based format","Homo sapiens","None","None","None","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5726266","37","BindingDB Patent Bioactivity Data","","2017","None","","","","476.0"
"CHEMBL5916318","","None","447.41","0","2.15","BDBM330060","C[C@H]1C[C@@H]2C[C@H]1N1C(=O)c3c(O)c(=O)c(C(=O)NCc4c(F)cc(F)cc4F)cn3C[C@@H]21","IC50","'='","1506.0","nM","5.82","","647125","UO_0000065","13.01","0.25","3.67","6.35","1","CHEMBL5732363","Inhibition Assay: The dose dependent inhibition of OCT2 mediated uptake of a model substrate 14C-Tetraethylammonium (TEA) by test compounds was studied in wild-type and OCT2-transfected MDCKII cells at 7 concentrations from 0.014 μM to 10 μM.MDCKII cells were maintained in minimal essential medium (MEM) with 1% Pen/Strep, 10% fetal bovine serum, and 0.25 mg/mL hygromycin B in an incubator set at 37° C., 90% humidity and 5% CO2. 24 hours prior to assay, media containing 5 mM sodium butyrate were added to MDCKII cells in flasks, and cells were grown to 80-90% confluence. On assay day, cells were trypsinized and resuspended in Krebs-Henseleit Buffer (KHB), pH 7.4 at 5×106 million cells/mL. Cells were preincubated for 15 min in assay plate before addition of test compound or substrate.","B","BAO_0000219","cell-based format","Homo sapiens","None","None","None","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5726266","37","BindingDB Patent Bioactivity Data","","2017","None","","","","1506.0"
"CHEMBL5817410","","None","469.37","0","2.15","BDBM330057","O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H](C2)[C@H]2C[C@@H]1C(F)(F)C2","IC50","'='","10000.0","nM","5.00","","647122","UO_0000065","10.65","0.21","2.85","5.46","1","CHEMBL5732363","Inhibition Assay: The dose dependent inhibition of OCT2 mediated uptake of a model substrate 14C-Tetraethylammonium (TEA) by test compounds was studied in wild-type and OCT2-transfected MDCKII cells at 7 concentrations from 0.014 μM to 10 μM.MDCKII cells were maintained in minimal essential medium (MEM) with 1% Pen/Strep, 10% fetal bovine serum, and 0.25 mg/mL hygromycin B in an incubator set at 37° C., 90% humidity and 5% CO2. 24 hours prior to assay, media containing 5 mM sodium butyrate were added to MDCKII cells in flasks, and cells were grown to 80-90% confluence. On assay day, cells were trypsinized and resuspended in Krebs-Henseleit Buffer (KHB), pH 7.4 at 5×106 million cells/mL. Cells were preincubated for 15 min in assay plate before addition of test compound or substrate.","B","BAO_0000219","cell-based format","Homo sapiens","None","None","None","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5726266","37","BindingDB Patent Bioactivity Data","","2017","None","","","","10000.0"
"CHEMBL5758649","","None","469.37","0","2.15","BDBM330059","O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@@H](C2)[C@H]2C[C@@H]1C(F)(F)C2","IC50","'='","3726.0","nM","5.43","","647124","UO_0000065","11.57","0.22","3.28","5.92","0","CHEMBL5732363","Inhibition Assay: The dose dependent inhibition of OCT2 mediated uptake of a model substrate 14C-Tetraethylammonium (TEA) by test compounds was studied in wild-type and OCT2-transfected MDCKII cells at 7 concentrations from 0.014 μM to 10 μM.MDCKII cells were maintained in minimal essential medium (MEM) with 1% Pen/Strep, 10% fetal bovine serum, and 0.25 mg/mL hygromycin B in an incubator set at 37° C., 90% humidity and 5% CO2. 24 hours prior to assay, media containing 5 mM sodium butyrate were added to MDCKII cells in flasks, and cells were grown to 80-90% confluence. On assay day, cells were trypsinized and resuspended in Krebs-Henseleit Buffer (KHB), pH 7.4 at 5×106 million cells/mL. Cells were preincubated for 15 min in assay plate before addition of test compound or substrate.","B","BAO_0000219","cell-based format","Homo sapiens","None","None","None","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5726266","37","BindingDB Patent Bioactivity Data","","2017","None","","","","3726.0"
"CHEMBL5991232","","None","445.42","0","2.06","BDBM330042","C[C@@H](NC(=O)c1cn2c(c(O)c1=O)C(=O)N1[C@@H]3CC[C@@H](C3)O[C@H]1C2)c1ccc(F)cc1F","IC50","'='","10000.0","nM","5.00","","658606","UO_0000065","11.23","0.21","2.94","4.96","1","CHEMBL5732501","Inhibition Assay: Test compounds were serially diluted in DMSO and then spiked (2 μL) into in 0.4 mL KHB buffer containing wild-type or OCT2-transfected cells and incubated for 10 minutes. Assay was initiated with the addition of 0.1 mL of 100 μM 14C-TEA in KHB buffer (20 μM final concentration after mixing). The concentration of TEA is based on the Km. After 10 minutes of incubation, the assay mixture was quenched with addition of 0.5 mL of ice-cold IX PBS buffer. Samples were then centrifuged at 1000 rpm for 5 min and supernatants were removed. Wash steps were repeated four times with ice-cold PBS.","B","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5726334","37","BindingDB Patent Bioactivity Data","","2017","None","","","","10000.0"
"CHEMBL5866580","","None","415.40","0","1.77","BDBM335493","O=C(NCc1ccc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@@H]3CC[C@@H](C3)[C@@H]1C2","IC50","'='","4909.0","nM","5.31","","658615","UO_0000065","12.78","0.24","3.54","5.79","0","CHEMBL5732501","Inhibition Assay: Test compounds were serially diluted in DMSO and then spiked (2 μL) into in 0.4 mL KHB buffer containing wild-type or OCT2-transfected cells and incubated for 10 minutes. Assay was initiated with the addition of 0.1 mL of 100 μM 14C-TEA in KHB buffer (20 μM final concentration after mixing). The concentration of TEA is based on the Km. After 10 minutes of incubation, the assay mixture was quenched with addition of 0.5 mL of ice-cold IX PBS buffer. Samples were then centrifuged at 1000 rpm for 5 min and supernatants were removed. Wash steps were repeated four times with ice-cold PBS.","B","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5726334","37","BindingDB Patent Bioactivity Data","","2017","None","","","","4909.0"
"CHEMBL517","DISOPYRAMIDE","4.0","339.48","0","3.36","disopyramide","CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C","IC50","'='","2900.0","nM","5.54","","","UO_0000065","","","","","0","CHEMBL2154120","Inhibition of human OCT2 expressed in HEK-293-Flp-In cells incubated for 3 mins by ASP+ substrate uptake assay","A","BAO_0000219","cell-based format","Homo sapiens","None","None","None","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL2150997","1","Scientific Literature","J Med Chem","2011","None","","","","2.9"
"CHEMBL5870848","","None","449.39","0","1.63","BDBM330054","O=C(NCc1cc(F)c(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2","IC50","'='","94.0","nM","7.03","","647119","UO_0000065","15.64","0.30","5.40","6.97","0","CHEMBL5732363","Inhibition Assay: The dose dependent inhibition of OCT2 mediated uptake of a model substrate 14C-Tetraethylammonium (TEA) by test compounds was studied in wild-type and OCT2-transfected MDCKII cells at 7 concentrations from 0.014 μM to 10 μM.MDCKII cells were maintained in minimal essential medium (MEM) with 1% Pen/Strep, 10% fetal bovine serum, and 0.25 mg/mL hygromycin B in an incubator set at 37° C., 90% humidity and 5% CO2. 24 hours prior to assay, media containing 5 mM sodium butyrate were added to MDCKII cells in flasks, and cells were grown to 80-90% confluence. On assay day, cells were trypsinized and resuspended in Krebs-Henseleit Buffer (KHB), pH 7.4 at 5×106 million cells/mL. Cells were preincubated for 15 min in assay plate before addition of test compound or substrate.","B","BAO_0000219","cell-based format","Homo sapiens","None","None","None","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5726266","37","BindingDB Patent Bioactivity Data","","2017","None","","","","94.0"
