"Molecule ChEMBL ID","Molecule Name","Molecule Max Phase","Molecular Weight","#RO5 Violations","AlogP","Compound Key","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","pChEMBL Value","Data Validity Comment","Comment","Uo Units","Ligand Efficiency BEI","Ligand Efficiency LE","Ligand Efficiency LLE","Ligand Efficiency SEI","Potential Duplicate","Assay ChEMBL ID","Assay Description","Assay Type","BAO Format ID","BAO Label","Assay Organism","Assay Tissue ChEMBL ID","Assay Tissue Name","Assay Cell Type","Assay Subcellular Fraction","Assay Parameters","Assay Variant Accession","Assay Variant Mutation","Target ChEMBL ID","Target Name","Target Organism","Target Type","Document ChEMBL ID","Source ID","Source Description","Document Journal","Document Year","Cell ChEMBL ID","Properties","Action Type","Standard Text Value","Value"
"CHEMBL3924161","","None","370.27","0","3.92","46","O=S(=O)(Nc1ccc(C(F)(F)F)nc1)c1ccccc1C(F)(F)F","IC50","'='","12300.0","nM","4.91","","","UO_0000065","13.26","0.28","0.99","8.31","0","CHEMBL3853577","Inhibition of OAT1 (unknown origin)","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL3853265","1","Scientific Literature","Medchemcomm","2016","None","","","","12.3"
"CHEMBL139","DICLOFENAC","4.0","296.15","0","4.36","Diclofenac","O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl","IC50","'='","4000.0","nM","5.40","","inhibitor [IC50=4uM]","UO_0000065","","","","","0","CHEMBL2076247","TP_TRANSPORTER: inhibition of Adefovir uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074465","18","TP-search Transporter Database","J Pharmacol Exp Ther","2000","CHEMBL3308072","","INHIBITOR","","4.0"
"CHEMBL154","NAPROXEN","4.0","230.26","0","3.04","Naproxen","COc1ccc2cc([C@H](C)C(=O)O)ccc2c1","IC50","'='","5800.0","nM","5.24","","inhibitor [IC50=5.8uM]","UO_0000065","","","","","0","CHEMBL2076247","TP_TRANSPORTER: inhibition of Adefovir uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074465","18","TP-search Transporter Database","J Pharmacol Exp Ther","2000","CHEMBL3308072","","INHIBITOR","","5.8"
"CHEMBL1231530","BETAMIPRON","2.0","193.20","0","0.89","Betamipron","O=C(O)CCNC(=O)c1ccccc1","IC50","'='","6000.0","nM","5.22","","inhibitor [IC50=6uM]","UO_0000065","","","","","0","CHEMBL2076247","TP_TRANSPORTER: inhibition of Adefovir uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074465","18","TP-search Transporter Database","J Pharmacol Exp Ther","2000","CHEMBL3308072","","INHIBITOR","","6.0"
"CHEMBL1233636","INDOXYL SULFATE","None","213.21","0","1.35","Indoxyl sulfate","O=S(=O)(O)Oc1c[nH]c2ccccc12","IC50","'='","83000.0","nM","4.08","","inhibitor [IC50=83uM]","UO_0000065","","","","","0","CHEMBL2077846","TP_TRANSPORTER: inhibition of PAH uptake in OAT-expressing OK cells","F","BAO_0000219","cell-based format","None","None","None","OK","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074206","18","TP-search Transporter Database","Br J Pharmacol","2002","None","","INHIBITOR","","83.0"
"CHEMBL527","PIROXICAM","4.0","331.35","0","1.58","Piroxicam","CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O","IC50","'='","20500.0","nM","4.69","","inhibitor [IC50=20.5uM]","UO_0000065","","","","","0","CHEMBL2076247","TP_TRANSPORTER: inhibition of Adefovir uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074465","18","TP-search Transporter Database","J Pharmacol Exp Ther","2000","CHEMBL3308072","","INHIBITOR","","20.5"
"CHEMBL67","COMBRETASTATIN A4","-1.0","316.35","0","3.60","Combretastatin A-4","COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O","IC50","'='","41360.0","nM","4.38","","","UO_0000065","13.86","0.26","0.78","7.67","0","CHEMBL4257829","Inhibition of human OAT1 expressed in HEK293 cells assessed as 6-CF uptake after 5 mins by fluorescence assay","B","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL4257448","1","Scientific Literature","Medchemcomm","2017","None","","","","41.36"
"CHEMBL571","KETOPROFEN","4.0","254.29","0","3.11","Ketoprofen","CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1","IC50","'='","1400.0","nM","5.85","","inhibitor [IC50=1.4uM]","UO_0000065","","","","","0","CHEMBL2076041","TP_TRANSPORTER: inhibition of 6-Carboxyfluorescein uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074458","18","TP-search Transporter Database","Anal Biochem","2000","CHEMBL3308072","","INHIBITOR","","1.4"
"CHEMBL563","FLURBIPROFEN","4.0","244.26","0","3.68","Flurbiprofen","CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1","IC50","'='","1500.0","nM","5.82","","inhibitor [IC50=1.5uM]","UO_0000065","","","","","0","CHEMBL2076247","TP_TRANSPORTER: inhibition of Adefovir uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074465","18","TP-search Transporter Database","J Pharmacol Exp Ther","2000","CHEMBL3308072","","INHIBITOR","","1.5"
"CHEMBL392630","CYCLIC CIDOFOVIR","None","261.17","0","-0.62","Cyclic prodrug of Cidofovir","Nc1ccn(C[C@H]2COP(=O)(O)CO2)c(=O)n1","IC50","'='","1100000.0","nM","","Outside typical range","inhibitor [IC50=1100uM]","UO_0000065","","","","","0","CHEMBL2076041","TP_TRANSPORTER: inhibition of 6-Carboxyfluorescein uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074458","18","TP-search Transporter Database","Anal Biochem","2000","CHEMBL3308072","","INHIBITOR","","1100.0"
