"Molecule ChEMBL ID","Molecule Name","Molecule Max Phase","Molecular Weight","#RO5 Violations","AlogP","Compound Key","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","pChEMBL Value","Data Validity Comment","Comment","Uo Units","Ligand Efficiency BEI","Ligand Efficiency LE","Ligand Efficiency LLE","Ligand Efficiency SEI","Potential Duplicate","Assay ChEMBL ID","Assay Description","Assay Type","BAO Format ID","BAO Label","Assay Organism","Assay Tissue ChEMBL ID","Assay Tissue Name","Assay Cell Type","Assay Subcellular Fraction","Assay Parameters","Assay Variant Accession","Assay Variant Mutation","Target ChEMBL ID","Target Name","Target Organism","Target Type","Document ChEMBL ID","Source ID","Source Description","Document Journal","Document Year","Cell ChEMBL ID","Properties","Action Type","Standard Text Value","Value"
"CHEMBL680","CEFACLOR ANHYDROUS","4.0","367.81","0","0.62","Cefaclor","N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1","Inhibition","","","%","","","","UO_0000187","","","","","0","CHEMBL3537398","Inhibition of human OAT3 expressed in CHO cells assessed as inhibition of fluorescein uptake at 500 uM over 20 mins relative to untreated-control","A","BAO_0000219","cell-based format","Homo sapiens","None","None","CHO","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL3525990","1","Scientific Literature","Drug Metab Dispos","2013","CHEMBL3308072","","","Active",""
"CHEMBL897","PROBENECID","4.0","285.37","0","2.20","probenecid","CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1","Inhibition","","","%","","","Dose-dependent effect","UO_0000187","","","","","0","CHEMBL3537390","Inhibition of human OAT3 expressed in CHO cells assessed as inhibition of fluorescein uptake over 20 mins by Michaelis-Menten method","A","BAO_0000219","cell-based format","Homo sapiens","None","None","CHO","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL3525990","1","Scientific Literature","Drug Metab Dispos","2013","CHEMBL3308072","","","",""
"CHEMBL252036","GS-9148","-1.0","331.20","0","0.27","GS-9148","Nc1ncnc2c1ncn2[C@@H]1O[C@H](OCP(=O)(O)O)C=C1F","Vmax","'='","19.5","pmol/min","","","","","","","","","0","CHEMBL1636064","Activity of human OAT3 transfected in BHK-21 cells measured per 10'6 cells","B","BAO_0000219","cell-based format","Homo sapiens","None","None","BHK-21","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL1629582","1","Scientific Literature","Antimicrob Agents Chemother","2009","CHEMBL3308360","","","","19.5"
"CHEMBL3929544","","None","370.27","0","3.92","47","O=S(=O)(Nc1cncc(C(F)(F)F)c1)c1ccccc1C(F)(F)F","IC50","'='","3400.0","nM","5.47","","","UO_0000065","14.77","0.31","1.55","9.26","0","CHEMBL3853578","Inhibition of OAT3 (unknown origin)","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL3853265","1","Scientific Literature","Medchemcomm","2016","None","","","","3.4"
"CHEMBL3688197","","None","433.85","0","3.83","10i","N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(CO)c(Cl)c1","IC50","'='","500.0","nM","6.30","","","UO_0000065","14.52","0.30","2.47","5.61","0","CHEMBL3853460","Inhibition of OAT3 (unknown origin)","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL3853264","1","Scientific Literature","Medchemcomm","2016","None","","","","0.5"
"CHEMBL1162495","GLUTARATE","None","132.11","0","0.33","Glutarate","O=C(O)CCCC(=O)O","Activity","","","","","","","","","","","","0","CHEMBL2076666","TP_TRANSPORTER: inhibition of E1S uptake (E1S: 0.05 uM, Glutarate: 5 uM) in Xenopus laevis oocytes","F","BAO_0000219","cell-based format","Xenopus laevis","None","None","Oocyte","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2074134","18","TP-search Transporter Database","Mol Pharmacol","2001","CHEMBL3308859","","INHIBITOR","inhibitor [(at a rough estimate) 35 % of control]",""
"CHEMBL1294","QUINIDINE","4.0","324.42","0","3.17","Quinidine","C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12","Activity","","","","","","","","","","","","0","CHEMBL2076658","TP_TRANSPORTER: inhibition of E1S uptake (E1S: 0.05 uM, Quinidine: 5 uM) in Xenopus laevis oocytes","F","BAO_0000219","cell-based format","Xenopus laevis","None","None","Oocyte","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2074134","18","TP-search Transporter Database","Mol Pharmacol","2001","CHEMBL3308859","","INHIBITOR","inhibitor [(at a rough estimate) 55 % of control]",""
"CHEMBL316157","CEPHALORIDINE","4.0","415.50","0","-0.32","Cephaloridine","O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12","Activity","","","","","","substrate []","","","","","","0","CHEMBL2075886","TP_TRANSPORTER: cell viability in OAT3-S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2074148","18","TP-search Transporter Database","Eur J Pharmacol","2003","CHEMBL3308861","","","",""
"CHEMBL224867","TAUROCHOLIC ACID","None","515.71","1","2.37","Taurocholate","C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C","Activity","","","","","","substrate [+]","","","","","","0","CHEMBL2076228","TP_TRANSPORTER: uptake in Xenopus laevis oocytes","F","BAO_0000219","cell-based format","Xenopus laevis","None","None","Oocyte","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2074134","18","TP-search Transporter Database","Mol Pharmacol","2001","CHEMBL3308859","","SUBSTRATE","",""
"CHEMBL792","URIC ACID","2.0","168.11","0","-0.53","Urate","Oc1nc(O)c2nc(O)[nH]c2n1","Activity","","","","","","substrate []","","","","","","0","CHEMBL2077090","TP_TRANSPORTER: trans-stimulation in Xenopus laevis oocytes","F","BAO_0000219","cell-based format","Xenopus laevis","None","None","Oocyte","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2074489","18","TP-search Transporter Database","Cell Physiol Biochem","2003","CHEMBL3308859","","","",""
