"Molecule ChEMBL ID","Molecule Name","Molecule Max Phase","Molecular Weight","#RO5 Violations","AlogP","Compound Key","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","pChEMBL Value","Data Validity Comment","Comment","Uo Units","Ligand Efficiency BEI","Ligand Efficiency LE","Ligand Efficiency LLE","Ligand Efficiency SEI","Potential Duplicate","Assay ChEMBL ID","Assay Description","Assay Type","BAO Format ID","BAO Label","Assay Organism","Assay Tissue ChEMBL ID","Assay Tissue Name","Assay Cell Type","Assay Subcellular Fraction","Assay Parameters","Assay Variant Accession","Assay Variant Mutation","Target ChEMBL ID","Target Name","Target Organism","Target Type","Document ChEMBL ID","Source ID","Source Description","Document Journal","Document Year","Cell ChEMBL ID","Properties","Action Type","Standard Text Value","Value"
"CHEMBL2151190","","None","313.27","0","-0.23","1","Cn1nc(-c2ccc3c(c2)OCO3)nc2c(=O)n(C)c(=O)nc1-2","IC50","","","","","","Not Determined","","","","","","0","CHEMBL2155143","Displacement of FITC-JIP peptide from human His-tagged JNK2alpha2 after 30 mins by fluorescence assay","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL2150965","1","Scientific Literature","ACS Med Chem Lett","2012","None","","","",""
"CHEMBL3981598","","None","295.73","0","3.67","Example 196","Clc1cccc(-c2n[nH]c3ccc(-c4ncn[nH]4)cc23)c1","IC50","'<='","1000.0","nM","","","","UO_0000065","","","","","0","CHEMBL3882754","Inhibition of His6-tagged JNK2 (unknown origin) assessed as reduction in c-Jun phosphorylation using GST-c-Jun (1 to 79 residues) and [gamma32P]ATP incubated for 1 hr by scintillation counting assay","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL3882725","38","SureChEMBL Patent Bioactivity Data","","2002","None","","","","1.0"
"CHEMBL3942733","","None","408.47","0","4.51","Example 268","C[C@@H](NC(=O)c1cccc(-c2n[nH]c3ccc(-c4ncn[nH]4)cc23)c1)c1ccccc1","IC50","'<='","500.0","nM","","","","UO_0000065","","","","","0","CHEMBL3882754","Inhibition of His6-tagged JNK2 (unknown origin) assessed as reduction in c-Jun phosphorylation using GST-c-Jun (1 to 79 residues) and [gamma32P]ATP incubated for 1 hr by scintillation counting assay","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL3882725","38","SureChEMBL Patent Bioactivity Data","","2002","None","","","","0.5"
"CHEMBL2151192","","None","389.22","1","1.29","3","N=C1NC2C(/N=N/c3ccc(Br)cc3)C(=N)NN2c2[nH][nH]c(=N)c21","IC50","'='","14000.0","nM","4.85","","","UO_0000065","12.47","0.28","3.56","3.13","0","CHEMBL2155141","Inhibition of human JNK2alpha2 using GST-c-jun (1 to 221) as substrate preincubated for 30 mins before [gamma-32P]-ATP addition measured after 10 mins by liquid scintillation counting","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL2150965","1","Scientific Literature","ACS Med Chem Lett","2012","None","","","","14.0"
"CHEMBL218658","","None","402.48","0","1.90","16c","CC(C)COc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N","IC50","'='","370.0","nM","6.43","","","UO_0000065","","","","","0","CHEMBL853926","Inhibition of JNK2 by ATF2 phosphorylation assay","F","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL1139733","1","Scientific Literature","Bioorg Med Chem Lett","2006","None","","","","0.37"
"CHEMBL220504","","None","388.45","0","1.66","16a","CC(C)Oc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N","IC50","'='","38.0","nM","7.42","","","UO_0000065","","","","","0","CHEMBL853926","Inhibition of JNK2 by ATF2 phosphorylation assay","F","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL1139733","1","Scientific Literature","Bioorg Med Chem Lett","2006","None","","","","0.038"
"CHEMBL221126","","None","370.43","0","1.90","15m","C/C=C/c1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N","IC50","'='","230.0","nM","6.64","","","UO_0000065","","","","","0","CHEMBL853926","Inhibition of JNK2 by ATF2 phosphorylation assay","F","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL1139733","1","Scientific Literature","Bioorg Med Chem Lett","2006","None","","","","0.23"
"CHEMBL370808","","None","434.45","0","4.14","18a","COc1ccc(C#CC(C)(C)N)cc1-c1[nH]nc2nc(Nc3ccc(F)cc3F)ncc12","IC50","'='","8300.0","nM","5.08","","","UO_0000065","11.70","0.22","0.94","4.99","0","CHEMBL863535","Inhibitory activity against JNK2","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL1147752","1","Scientific Literature","Bioorg Med Chem Lett","2006","None","","","","8.3"
"CHEMBL5822558","","None","363.44","0","4.75","BDBM351620","Cc1noc(-c2c(C)csc2NC(=O)Cc2cccc3ccccc23)n1","IC50","'='","5050.0","nM","5.30","","695783","UO_0000065","14.57","0.28","0.55","7.79","0","CHEMBL5732899","HTRF Assay: (1) Assay buffer #1 with 0.0025% Tween and 1 mM DTT was prepared using JNK buffer stock solution.(2) Assay buffer #2 with 0.025% BSA was prepared using the assay buffer #1.(3) Test compound solution preparation: 5× compound solution was prepared using assay buffer #1 with 5% DMSO. The compound solution (10 μl/well) was added to a 384-well plate (Corning, Cat No. 3654).(4) aJNK1, 2 or 3 preparation: aJNK stock (100 μg/ml) at −80° C. was thawed on ice and an aJNK (1.6 ng/ml) solution was prepared using assay buffer #2. The aJNK solution (20 μl/well) was added to the plate and the plate was shaken. The enzyme was incubated with the compound at RT for 10 min.(5) ATP/substrate solution preparation: ATP and substrate stocks were thawed on ice. 2.5×ATP/substrate (e.g., 25 μM or 2.5 mM ATP/50 nM EPIW-1) was prepared using assay buffer #1. The ATP/substrate (20 μl/well) was added to the plate and the plate was shaken. The plate was incubated at RT for 15 min. Note: In an exemplary assay, the final ATP concentration was about 1 mM.(6) EDTA preparation: 30 mM EDTA was prepared using 0.5M EDTA stock and assay buffer #1. The EDTA (10 μl/well) was added to the plate to quench the enzyme reaction and the plate was shaken well.(7) Detection reagent preparation: Eu-63 and SA-XL stocks were thawed on ice. 4× Eu-63/SA-XL (2 nM Eu-63/9.4 nM SA-XL) was prepared using JNK detection buffer. The Eu-63/SA-XL solution (20 μl/well) was added to the plate and the plate was shaken. The plate was incubated at RT for 1 hr before reading the plate on LJL using ratiometric method named HTRF.","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL5726548","37","BindingDB Patent Bioactivity Data","","2017","None","","","","5050.0"
"CHEMBL6029938","","None","327.41","0","3.43","BDBM351627","COc1ccc(CC(=O)Nc2ccsc2-n2cc(C)cn2)cc1","IC50","'>'","10000.0","nM","","","695800","UO_0000065","","","","","0","CHEMBL5732899","HTRF Assay: (1) Assay buffer #1 with 0.0025% Tween and 1 mM DTT was prepared using JNK buffer stock solution.(2) Assay buffer #2 with 0.025% BSA was prepared using the assay buffer #1.(3) Test compound solution preparation: 5× compound solution was prepared using assay buffer #1 with 5% DMSO. The compound solution (10 μl/well) was added to a 384-well plate (Corning, Cat No. 3654).(4) aJNK1, 2 or 3 preparation: aJNK stock (100 μg/ml) at −80° C. was thawed on ice and an aJNK (1.6 ng/ml) solution was prepared using assay buffer #2. The aJNK solution (20 μl/well) was added to the plate and the plate was shaken. The enzyme was incubated with the compound at RT for 10 min.(5) ATP/substrate solution preparation: ATP and substrate stocks were thawed on ice. 2.5×ATP/substrate (e.g., 25 μM or 2.5 mM ATP/50 nM EPIW-1) was prepared using assay buffer #1. The ATP/substrate (20 μl/well) was added to the plate and the plate was shaken. The plate was incubated at RT for 15 min. Note: In an exemplary assay, the final ATP concentration was about 1 mM.(6) EDTA preparation: 30 mM EDTA was prepared using 0.5M EDTA stock and assay buffer #1. The EDTA (10 μl/well) was added to the plate to quench the enzyme reaction and the plate was shaken well.(7) Detection reagent preparation: Eu-63 and SA-XL stocks were thawed on ice. 4× Eu-63/SA-XL (2 nM Eu-63/9.4 nM SA-XL) was prepared using JNK detection buffer. The Eu-63/SA-XL solution (20 μl/well) was added to the plate and the plate was shaken. The plate was incubated at RT for 1 hr before reading the plate on LJL using ratiometric method named HTRF.","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL5726548","37","BindingDB Patent Bioactivity Data","","2017","None","","","","10000.0"
