smiles,pred_pAct_JNK1,pred_pAct_JNK2,pred_pAct_JNK3,p_family,pred_delta_min_computed,sa,qed,final_score
NC(=O)C1Cc2nc(-c3ccc4ccccc4c3)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,7.194665,7.4186406,8.887659,8.887659,-1.6929941,3.7037494411515812,0.4009432103951698,0.7398923710027844
CCOC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,6.7339916,7.442118,8.962933,8.962933,-2.228941,3.75119152162552,0.41088734737554733,0.7386367208695721
CCOC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,6.7339916,7.442118,8.962933,8.962933,-2.228941,3.75119152162552,0.41088734737554733,0.7386367208695721
CS(=O)(=O)C1CCN(c2cccc3c2cnn3-c2ccnc(N[C@H]3CC[C@H](O)CC3)n2)CC1,7.8622217,7.248794,6.5977883,7.8622217,0.61342764,2.925668575762492,0.5849370137629155,0.7380862372433714
CS(=O)(=O)C[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCN(C(=O)CC#N)CC5)cccc43)n2)CC1,8.128748,7.2472653,6.039473,8.128748,0.8814826,3.020975628142997,0.4896815030840201,0.7367389001398174
CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(OCC3CC3)n2)cc1,7.3673553,6.693658,5.734964,7.3673553,0.6736975,2.481566985222104,0.721232458379367,0.7351456960912306
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)cnc32)cs1,6.3600307,6.7802453,8.382714,8.382714,-2.0226836,2.7830840037960627,0.5320600132020054,0.7350309073038259
N#CCC(=O)N1CCN(c2cccc3c2ccn3-c2ccnc(N[C@H]3CC[C@@H](O)CC3)n2)CC1,7.738347,7.200041,6.167845,7.738347,0.53830624,2.850769903611827,0.6035360987009709,0.7338838144510241
N#CCC(=O)N1CCN(c2cccc3c2ccn3-c2ccnc(N[C@H]3CC[C@H](O)CC3)n2)CC1,7.738347,7.200041,6.167845,7.738347,0.53830624,2.850769903611827,0.6035360987009709,0.7338838144510241
N#CCc1cnc(-c2ccc3c(c2)CCO3)n1-c1ccnc(N[C@H]2CCCN(C(=O)C3CC3)C2)n1,7.044801,7.166935,8.080799,8.080799,-1.0359979,3.474065097509591,0.5906427909842216,0.7335038764028092
N#CCC(=O)N1CCN(c2cccc3c2ccn3-c2ccnc(NC3CCCCC3)n2)CC1,7.584871,6.9078774,5.8422,7.584871,0.67699337,2.723273717880275,0.6462933179188945,0.7329668834743732
C/C=C\c1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,7.05536,6.309659,5.6062136,7.05536,0.74570084,2.6762736931473015,0.827666336184374,0.7326457191329164
C/C=C/c1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,7.05536,6.309659,5.6062136,7.05536,0.74570084,2.6762736931473015,0.827666336184374,0.7326457191329164
CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NC3CC3)n2)cc1,7.416103,6.4249473,5.7638392,7.416103,0.9911556,2.4693752341872948,0.6837664464852122,0.7311867389891661
N#Cc1csc(NC(=O)CN2C(=O)CCc3ncccc32)c1-c1nccs1,5.3913393,6.774742,7.8835173,7.8835173,-2.492178,2.9774780328439387,0.7319089131642609,0.731070541427948
CNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,6.351749,6.7205567,8.367825,8.367825,-2.0160756,2.664411676123734,0.5074270413350219,0.7303478761500847
COC(=O)c1c(CNC(=O)c2ccc(N3CCOCC3)nc2)c(=O)c2ccc(F)cc2n1-c1ccccc1,8.23323,6.774742,6.380806,8.23323,1.4584875,2.601330462299668,0.3931184318586308,0.7289364563489492
N#CCc1cnc(-c2ccc3ccccc3c2)n1-c1ccnc(N[C@@H]2CCCN(C(=O)C3CC3)C2)n1,7.230197,6.938327,8.442732,8.442732,-1.2125349,3.314532268294749,0.44291624408375946,0.7282411325775912
N#CCc1cnc(-c2ccc3ccccc3c2)n1-c1ccnc(N[C@H]2CCCN(C(=O)C3CC3)C2)n1,7.230197,6.938327,8.442732,8.442732,-1.2125349,3.314532268294749,0.44291624408375946,0.7282411325775912
O=C(CN1C(=O)CCc2ccccc21)Nc1scc(Cl)c1-c1ncn[nH]1,5.3319917,7.076126,7.830303,7.830303,-2.4983115,2.7577353356175056,0.719172292097642,0.7269036557187183
