pair,seed,n_complete,n_dual,n_A_only,n_B_only,n_neither,auroc_dual_vs_A_only,auroc_dual_vs_B_only,summary_min,auroc_dual_vs_neither_vina_mean,formulation_gap_neither_minus_summary_min,label_set,box
EGFR/HER2,20260727,109,28,37,32,12,0.6564,0.3237,0.3237,0.7589,0.4353,activity_eligible_theta6,corrected_heavy_atom
EGFR/HER2,20260811,109,28,37,32,12,0.6680,0.3304,0.3304,0.7649,0.4345,activity_eligible_theta6,corrected_heavy_atom
EGFR/HER2,20260812,109,28,37,32,12,0.6747,0.3482,0.3482,0.7738,0.4256,activity_eligible_theta6,corrected_heavy_atom
EGFR/HER2,20260813,109,28,37,32,12,0.6641,0.3248,0.3248,0.7649,0.4401,activity_eligible_theta6,corrected_heavy_atom
EGFR/HER2,20260814,109,28,37,32,12,0.6631,0.3504,0.3504,0.7649,0.4144,activity_eligible_theta6,corrected_heavy_atom
