pair,ligand,class,status,reason
AChE/BChE,AB_052,A_only,ok,exists
AChE/BChE,AB_053,A_only,ok,exists
AChE/BChE,AB_054,A_only,ok,exists
AChE/BChE,AB_055,A_only,ok,exists
AChE/BChE,AB_056,A_only,ok,exists
AChE/BChE,AB_057,B_only,ok,exists
AChE/BChE,AB_058,B_only,ok,exists
AChE/BChE,AB_059,B_only,ok,exists
AChE/BChE,AB_060,B_only,ok,exists
AChE/BChE,AB_061,B_only,ok,exists
AChE/BChE,AB_062,B_only,ok,exists
AChE/BChE,AB_063,B_only,ok,exists
AChE/BChE,AB_064,B_only,ok,exists
AChE/BChE,AB_065,B_only,ok,exists
AChE/BChE,AB_066,B_only,ok,exists
AChE/BChE,AB_067,B_only,ok,exists
AChE/BChE,AB_068,B_only,ok,exists
AChE/BChE,AB_069,B_only,ok,exists
AChE/BChE,AB_070,B_only,ok,exists
AChE/BChE,AB_071,B_only,ok,exists
AChE/BChE,AB_072,B_only,ok,exists
AChE/BChE,AB_073,B_only,ok,exists
AChE/BChE,AB_074,B_only,ok,exists
AChE/BChE,AB_075,B_only,ok,exists
AChE/BChE,AB_076,B_only,ok,exists
AChE/BChE,AB_077,B_only,ok,exists
AChE/BChE,AB_078,B_only,ok,exists
AChE/BChE,AB_079,B_only,ok,exists
AChE/BChE,AB_080,B_only,ok,exists
AChE/BChE,AB_081,B_only,ok,exists
AChE/BChE,AB_082,B_only,ok,exists
AChE/BChE,AB_083,B_only,ok,exists
AChE/BChE,AB_084,B_only,ok,exists
AChE/BChE,AB_085,neither,ok,exists
AChE/BChE,AB_086,neither,ok,exists
AChE/BChE,AB_087,neither,ok,exists
AChE/BChE,AB_088,neither,ok,exists
AChE/BChE,AB_089,neither,ok,exists
AChE/BChE,AB_090,neither,ok,exists
AChE/BChE,AB_091,neither,ok,exists
AChE/BChE,AB_092,neither,ok,exists
AChE/BChE,AB_093,neither,ok,exists
AChE/BChE,AB_094,neither,ok,exists
AChE/BChE,AB_095,neither,ok,exists
AChE/BChE,AB_096,neither,ok,exists
AChE/BChE,AB_097,neither,ok,exists
AChE/BChE,AB_098,neither,ok,exists
AChE/BChE,AB_099,neither,ok,exists
AChE/BChE,AB_100,neither,ok,exists
PIK3CA/PIK3CB,PAB_001,dual,ok,exists
PIK3CA/PIK3CB,PAB_002,dual,ok,exists
PIK3CA/PIK3CB,PAB_003,dual,ok,exists
PIK3CA/PIK3CB,PAB_004,dual,ok,exists
PIK3CA/PIK3CB,PAB_005,dual,ok,exists
PIK3CA/PIK3CB,PAB_006,dual,ok,exists
PIK3CA/PIK3CB,PAB_007,dual,ok,exists
PIK3CA/PIK3CB,PAB_008,dual,ok,exists
PIK3CA/PIK3CB,PAB_009,dual,ok,exists
PIK3CA/PIK3CB,PAB_010,dual,ok,exists
PIK3CA/PIK3CB,PAB_011,dual,ok,exists
PIK3CA/PIK3CB,PAB_012,dual,ok,exists
PIK3CA/PIK3CB,PAB_013,dual,ok,exists
PIK3CA/PIK3CB,PAB_014,dual,ok,exists
PIK3CA/PIK3CB,PAB_015,dual,ok,exists
PIK3CA/PIK3CB,PAB_016,dual,ok,exists
PIK3CA/PIK3CB,PAB_017,dual,ok,exists
PIK3CA/PIK3CB,PAB_018,dual,ok,exists
PIK3CA/PIK3CB,PAB_019,dual,ok,exists
PIK3CA/PIK3CB,PAB_020,dual,ok,exists
PIK3CA/PIK3CB,PAB_021,dual,ok,exists
PIK3CA/PIK3CB,PAB_022,dual,ok,exists
PIK3CA/PIK3CB,PAB_023,dual,ok,exists
PIK3CA/PIK3CB,PAB_024,dual,ok,exists
PIK3CA/PIK3CB,PAB_025,dual,ok,exists
PIK3CA/PIK3CB,PAB_026,dual,ok,exists
PIK3CA/PIK3CB,PAB_027,dual,ok,exists
PIK3CA/PIK3CB,PAB_028,dual,ok,exists
PIK3CA/PIK3CB,PAB_029,A_only,ok,exists
PIK3CA/PIK3CB,PAB_030,A_only,ok,exists
PIK3CA/PIK3CB,PAB_031,A_only,ok,exists
PIK3CA/PIK3CB,PAB_032,A_only,ok,exists
PIK3CA/PIK3CB,PAB_033,A_only,ok,exists
PIK3CA/PIK3CB,PAB_034,A_only,ok,exists
PIK3CA/PIK3CB,PAB_035,A_only,ok,exists
PIK3CA/PIK3CB,PAB_036,A_only,ok,exists
PIK3CA/PIK3CB,PAB_037,A_only,ok,exists
PIK3CA/PIK3CB,PAB_038,A_only,ok,exists
PIK3CA/PIK3CB,PAB_039,A_only,ok,exists
PIK3CA/PIK3CB,PAB_040,A_only,ok,exists
PIK3CA/PIK3CB,PAB_041,A_only,ok,exists
PIK3CA/PIK3CB,PAB_042,A_only,ok,exists
PIK3CA/PIK3CB,PAB_043,A_only,ok,exists
PIK3CA/PIK3CB,PAB_044,A_only,ok,exists
PIK3CA/PIK3CB,PAB_045,A_only,ok,exists
PIK3CA/PIK3CB,PAB_046,A_only,ok,exists
PIK3CA/PIK3CB,PAB_047,A_only,ok,exists
PIK3CA/PIK3CB,PAB_048,A_only,ok,exists
PIK3CA/PIK3CB,PAB_049,A_only,ok,exists
PIK3CA/PIK3CB,PAB_050,A_only,ok,exists
PIK3CA/PIK3CB,PAB_051,A_only,ok,exists
PIK3CA/PIK3CB,PAB_052,A_only,ok,exists
PIK3CA/PIK3CB,PAB_053,A_only,ok,exists
PIK3CA/PIK3CB,PAB_054,A_only,ok,exists
PIK3CA/PIK3CB,PAB_055,A_only,ok,exists
PIK3CA/PIK3CB,PAB_056,A_only,ok,exists
PIK3CA/PIK3CB,PAB_057,B_only,ok,exists
PIK3CA/PIK3CB,PAB_058,B_only,ok,exists
PIK3CA/PIK3CB,PAB_059,B_only,ok,exists
PIK3CA/PIK3CB,PAB_060,B_only,ok,exists
PIK3CA/PIK3CB,PAB_061,B_only,ok,exists
PIK3CA/PIK3CB,PAB_062,B_only,ok,exists
PIK3CA/PIK3CB,PAB_063,B_only,ok,exists
PIK3CA/PIK3CB,PAB_064,B_only,ok,exists
PIK3CA/PIK3CB,PAB_065,B_only,ok,exists
PIK3CA/PIK3CB,PAB_066,B_only,ok,exists
PIK3CA/PIK3CB,PAB_067,B_only,ok,exists
PIK3CA/PIK3CB,PAB_068,B_only,ok,exists
PIK3CA/PIK3CB,PAB_069,B_only,ok,exists
PIK3CA/PIK3CB,PAB_070,B_only,ok,exists
PIK3CA/PIK3CB,PAB_071,B_only,ok,exists
PIK3CA/PIK3CB,PAB_072,B_only,ok,exists
PIK3CA/PIK3CB,PAB_073,B_only,ok,exists
PIK3CA/PIK3CB,PAB_074,B_only,ok,exists
PIK3CA/PIK3CB,PAB_075,B_only,ok,exists
PIK3CA/PIK3CB,PAB_076,B_only,ok,exists
PIK3CA/PIK3CB,PAB_077,B_only,ok,exists
PIK3CA/PIK3CB,PAB_078,B_only,ok,exists
PIK3CA/PIK3CB,PAB_079,B_only,ok,exists
PIK3CA/PIK3CB,PAB_080,B_only,ok,exists
PIK3CA/PIK3CB,PAB_081,B_only,ok,exists
PIK3CA/PIK3CB,PAB_082,B_only,ok,exists
PIK3CA/PIK3CB,PAB_083,B_only,ok,exists
PIK3CA/PIK3CB,PAB_084,B_only,ok,exists
PIK3CA/PIK3CB,PAB_085,neither,ok,exists
PIK3CA/PIK3CB,PAB_086,neither,ok,exists
PIK3CA/PIK3CB,PAB_087,neither,ok,exists
PIK3CA/PIK3CB,PAB_088,neither,ok,exists
PIK3CA/PIK3CB,PAB_089,neither,ok,exists
PIK3CA/PIK3CB,PAB_090,neither,ok,exists
PIK3CA/PIK3CB,PAB_091,neither,ok,exists
PIK3CA/PIK3CB,PAB_092,neither,ok,exists
PIK3CA/PIK3CB,PAB_093,neither,ok,exists
PIK3CA/PIK3CB,PAB_094,neither,ok,exists
PIK3CA/PIK3CB,PAB_095,neither,ok,exists
PIK3CA/PIK3CB,PAB_096,neither,ok,exists
PIK3CA/PIK3CB,PAB_097,neither,ok,exists
PIK3CA/PIK3CB,PAB_098,neither,ok,exists
PIK3CA/PIK3CB,PAB_099,neither,ok,exists
PIK3CA/PIK3CB,PAB_100,neither,ok,exists
PIK3CA/mTOR,PM48_01,dual,ok,exists
PIK3CA/mTOR,PM48_02,dual,ok,exists
PIK3CA/mTOR,PM48_03,dual,ok,exists
PIK3CA/mTOR,PM48_04,dual,ok,exists
PIK3CA/mTOR,PM48_05,dual,ok,exists
PIK3CA/mTOR,PM48_06,dual,ok,exists
PIK3CA/mTOR,PM48_07,dual,ok,exists
PIK3CA/mTOR,PM48_08,dual,ok,exists
PIK3CA/mTOR,PM48_09,dual,ok,exists
PIK3CA/mTOR,PM48_10,dual,ok,exists
PIK3CA/mTOR,PM48_11,dual,ok,exists
PIK3CA/mTOR,PM48_12,dual,ok,exists
PIK3CA/mTOR,PM48_13,dual,ok,exists
PIK3CA/mTOR,PM48_14,dual,ok,exists
PIK3CA/mTOR,PM48_15,dual,ok,exists
PIK3CA/mTOR,PM48_16,dual,ok,exists
PIK3CA/mTOR,PM48_17,dual,ok,exists
PIK3CA/mTOR,PM48_18,dual,ok,exists
PIK3CA/mTOR,PM48_19,A_only,ok,exists
PIK3CA/mTOR,PM48_20,A_only,ok,exists
PIK3CA/mTOR,PM48_21,A_only,ok,exists
PIK3CA/mTOR,PM48_22,A_only,ok,exists
PIK3CA/mTOR,PM48_23,A_only,ok,exists
PIK3CA/mTOR,PM48_24,A_only,ok,exists
PIK3CA/mTOR,PM48_25,A_only,ok,exists
PIK3CA/mTOR,PM48_26,A_only,ok,exists
PIK3CA/mTOR,PM48_27,A_only,ok,exists
PIK3CA/mTOR,PM48_28,A_only,ok,exists
PIK3CA/mTOR,PM48_29,A_only,ok,exists
PIK3CA/mTOR,PM48_30,A_only,ok,exists
PIK3CA/mTOR,PM48_31,A_only,ok,exists
PIK3CA/mTOR,PM48_32,A_only,ok,exists
PIK3CA/mTOR,PM48_33,B_only,ok,exists
PIK3CA/mTOR,PM48_34,B_only,ok,exists
PIK3CA/mTOR,PM48_35,B_only,ok,exists
PIK3CA/mTOR,PM48_36,B_only,ok,exists
PIK3CA/mTOR,PM48_37,B_only,ok,exists
PIK3CA/mTOR,PM48_38,B_only,ok,exists
PIK3CA/mTOR,PM48_39,B_only,ok,exists
PIK3CA/mTOR,PM48_40,B_only,ok,exists
PIK3CA/mTOR,PM48_41,B_only,ok,exists
PIK3CA/mTOR,PM48_42,B_only,ok,exists
PIK3CA/mTOR,PM48_43,B_only,ok,exists
PIK3CA/mTOR,PM48_44,B_only,ok,exists
PIK3CA/mTOR,PM48_45,neither,ok,exists
PIK3CA/mTOR,PM48_46,neither,ok,exists
PIK3CA/mTOR,PM48_47,neither,ok,exists
PIK3CA/mTOR,PM48_48,neither,ok,exists
