pair,n_seeds,primary_summary_min,primary_formulation_gap,n_seeds_same_gap_sign,n_seeds_same_neither_gt_summary_min_order,summary_min_median,summary_min_range
AChE/BChE,5,0.6058,0.0436,5,5,0.5988,0.0531
EGFR/HER2,5,0.4297,0.3344,5,5,0.3728,0.1083
PIK3CA/PIK3CB,5,0.5,0.0798,5,5,0.4783,0.0338
PIK3CA/mTOR,5,0.6921,-0.1644,5,5,0.7037,0.0503
