pair,seed,ligand,class,pdb,status,vina_mode1
EGFR/HER2,20260727,EH120_080,B_only,3POZ,production_corrected_box,-9.936
EGFR/HER2,20260727,EH120_080,B_only,3RCD,production_corrected_box,-10.21
EGFR/HER2,20260727,EH120_081,B_only,3POZ,production_corrected_box,-10.595
EGFR/HER2,20260727,EH120_081,B_only,3RCD,production_corrected_box,-10.656
EGFR/HER2,20260727,EH120_082,B_only,3POZ,production_corrected_box,-9.023
EGFR/HER2,20260727,EH120_082,B_only,3RCD,production_corrected_box,-9.819
EGFR/HER2,20260727,EH120_083,B_only,3POZ,production_corrected_box,-10.794
EGFR/HER2,20260727,EH120_083,B_only,3RCD,production_corrected_box,-10.889
EGFR/HER2,20260727,EH120_084,B_only,3POZ,production_corrected_box,-10.62
EGFR/HER2,20260727,EH120_084,B_only,3RCD,production_corrected_box,-10.656
EGFR/HER2,20260727,EH120_085,B_only,3POZ,production_corrected_box,-10.852
EGFR/HER2,20260727,EH120_085,B_only,3RCD,production_corrected_box,-11.478
EGFR/HER2,20260727,EH120_086,B_only,3POZ,production_corrected_box,-10.425
EGFR/HER2,20260727,EH120_086,B_only,3RCD,production_corrected_box,-10.742
EGFR/HER2,20260727,EH120_087,B_only,3POZ,production_corrected_box,-10.807
EGFR/HER2,20260727,EH120_087,B_only,3RCD,production_corrected_box,-10.8
EGFR/HER2,20260727,EH120_088,B_only,3POZ,production_corrected_box,-10.948
EGFR/HER2,20260727,EH120_088,B_only,3RCD,production_corrected_box,-12.226
EGFR/HER2,20260727,EH120_089,B_only,3POZ,production_corrected_box,-8.784
EGFR/HER2,20260727,EH120_089,B_only,3RCD,production_corrected_box,-9.382
EGFR/HER2,20260727,EH120_090,B_only,3POZ,production_corrected_box,-9.357
EGFR/HER2,20260727,EH120_090,B_only,3RCD,production_corrected_box,-9.632
EGFR/HER2,20260727,EH120_091,B_only,3POZ,production_corrected_box,-10.168
EGFR/HER2,20260727,EH120_091,B_only,3RCD,production_corrected_box,-10.457
EGFR/HER2,20260727,EH120_092,B_only,3POZ,production_corrected_box,-10.644
EGFR/HER2,20260727,EH120_092,B_only,3RCD,production_corrected_box,-10.866
EGFR/HER2,20260727,EH120_093,B_only,3POZ,production_corrected_box,-10.452
EGFR/HER2,20260727,EH120_093,B_only,3RCD,production_corrected_box,-10.71
EGFR/HER2,20260727,EH120_094,B_only,3POZ,production_corrected_box,-8.489
EGFR/HER2,20260727,EH120_094,B_only,3RCD,production_corrected_box,-8.576
EGFR/HER2,20260727,EH120_095,B_only,3POZ,production_corrected_box,-10.233
EGFR/HER2,20260727,EH120_095,B_only,3RCD,production_corrected_box,-10.532
EGFR/HER2,20260727,EH120_096,B_only,3POZ,production_corrected_box,-10.59
EGFR/HER2,20260727,EH120_096,B_only,3RCD,production_corrected_box,-10.62
EGFR/HER2,20260727,EH120_097,B_only,3POZ,production_corrected_box,-9.965
EGFR/HER2,20260727,EH120_097,B_only,3RCD,production_corrected_box,-10.406
EGFR/HER2,20260727,EH120_098,B_only,3POZ,production_corrected_box,-10.395
EGFR/HER2,20260727,EH120_098,B_only,3RCD,production_corrected_box,-10.696
EGFR/HER2,20260727,EH120_099,B_only,3POZ,production_corrected_box,-10.287
EGFR/HER2,20260727,EH120_099,B_only,3RCD,production_corrected_box,-9.877
EGFR/HER2,20260727,EH120_100,B_only,3POZ,production_corrected_box,-10.092
EGFR/HER2,20260727,EH120_100,B_only,3RCD,production_corrected_box,-10.464
EGFR/HER2,20260727,EH120_101,B_only,3POZ,production_corrected_box,-10.699
EGFR/HER2,20260727,EH120_101,B_only,3RCD,production_corrected_box,-10.642
EGFR/HER2,20260727,EH120_102,neither,3POZ,production_corrected_box,-6.794
EGFR/HER2,20260727,EH120_102,neither,3RCD,production_corrected_box,-6.923
EGFR/HER2,20260727,EH120_103,neither,3POZ,production_corrected_box,-8.688
EGFR/HER2,20260727,EH120_103,neither,3RCD,production_corrected_box,-9.134
EGFR/HER2,20260727,EH120_104,neither,3POZ,production_corrected_box,-10.207
EGFR/HER2,20260727,EH120_104,neither,3RCD,production_corrected_box,-11.154
EGFR/HER2,20260727,EH120_105,neither,3POZ,production_corrected_box,-9.242
EGFR/HER2,20260727,EH120_105,neither,3RCD,production_corrected_box,-9.18
EGFR/HER2,20260727,EH120_106,neither,3POZ,production_corrected_box,-9.05
EGFR/HER2,20260727,EH120_106,neither,3RCD,production_corrected_box,-9.574
EGFR/HER2,20260727,EH120_107,neither,3POZ,production_corrected_box,-7.699
EGFR/HER2,20260727,EH120_107,neither,3RCD,production_corrected_box,-8.04
EGFR/HER2,20260727,EH120_108,neither,3POZ,production_corrected_box,-7.858
EGFR/HER2,20260727,EH120_108,neither,3RCD,production_corrected_box,-7.77
EGFR/HER2,20260727,EH120_109,neither,3POZ,production_corrected_box,-4.447
EGFR/HER2,20260727,EH120_109,neither,3RCD,production_corrected_box,-5.03
EGFR/HER2,20260727,EH120_110,neither,3POZ,production_corrected_box,-6.888
EGFR/HER2,20260727,EH120_110,neither,3RCD,production_corrected_box,-7.083
EGFR/HER2,20260727,EH40_01,dual,3POZ,production_corrected_box,-10.438
EGFR/HER2,20260727,EH40_01,dual,3RCD,production_corrected_box,-9.917
EGFR/HER2,20260727,EH40_02,dual,3POZ,production_corrected_box,-9.907
EGFR/HER2,20260727,EH40_02,dual,3RCD,production_corrected_box,-10.526
EGFR/HER2,20260727,EH40_03,dual,3POZ,production_corrected_box,-10.061
EGFR/HER2,20260727,EH40_03,dual,3RCD,production_corrected_box,-10.316
EGFR/HER2,20260727,EH40_04,dual,3POZ,production_corrected_box,-11.846
EGFR/HER2,20260727,EH40_04,dual,3RCD,production_corrected_box,-11.659
EGFR/HER2,20260727,EH40_05,dual,3POZ,production_corrected_box,-10.077
