pair,n_seeds,primary_summary_min,primary_auroc_dual_vs_neither_vina_mean,primary_formulation_gap,n_seeds_same_gap_sign,n_seeds_positive_gap,n_seeds_same_neither_gt_summary_min_order,summary_min_median,summary_min_min,summary_min_max,summary_min_range
EGFR/HER2,5,0.4297,0.756,0.3263,5,5,5,0.3728,0.3214,0.4297,0.1083
AChE/BChE,5,0.6058,0.6494,0.0436,5,5,5,0.5988,0.5527,0.6058,0.0531
PIK3CA/PIK3CB,5,0.5,0.5592,0.0592,5,5,5,0.4783,0.4681,0.5019,0.0338
PIK3CA/mTOR,5,0.6921,0.5139,-0.1782,5,0,5,0.7037,0.6759,0.7262,0.0503
