pair,seed,ligand,class,pocket,pdb,status,vina_mode1,reason
EGFR/HER2,20260727,EH40_30,B_only,A,3POZ,primary_reused,-9.399,from_production_tables
EGFR/HER2,20260727,EH40_30,B_only,B,3RCD,primary_reused,-9.628,from_production_tables
EGFR/HER2,20260727,EH40_31,B_only,A,3POZ,primary_reused,-10.12,from_production_tables
EGFR/HER2,20260727,EH40_31,B_only,B,3RCD,primary_reused,-9.812,from_production_tables
EGFR/HER2,20260727,EH40_32,B_only,A,3POZ,primary_reused,-9.136,from_production_tables
EGFR/HER2,20260727,EH40_32,B_only,B,3RCD,primary_reused,-9.76,from_production_tables
EGFR/HER2,20260727,EH40_33,B_only,A,3POZ,primary_reused,-10.698,from_production_tables
EGFR/HER2,20260727,EH40_33,B_only,B,3RCD,primary_reused,-10.591,from_production_tables
EGFR/HER2,20260727,EH40_34,B_only,A,3POZ,primary_reused,-9.615,from_production_tables
EGFR/HER2,20260727,EH40_34,B_only,B,3RCD,primary_reused,-9.184,from_production_tables
EGFR/HER2,20260727,EH40_35,B_only,A,3POZ,primary_reused,-10.142,from_production_tables
EGFR/HER2,20260727,EH40_35,B_only,B,3RCD,primary_reused,-10.562,from_production_tables
EGFR/HER2,20260727,EH40_36,B_only,A,3POZ,primary_reused,-9.955,from_production_tables
EGFR/HER2,20260727,EH40_36,B_only,B,3RCD,primary_reused,-10.678,from_production_tables
EGFR/HER2,20260727,EH40_37,B_only,A,3POZ,primary_reused,-10.59,from_production_tables
EGFR/HER2,20260727,EH40_37,B_only,B,3RCD,primary_reused,-10.758,from_production_tables
EGFR/HER2,20260727,EH40_38,neither,A,3POZ,primary_reused,-9.905,from_production_tables
EGFR/HER2,20260727,EH40_38,neither,B,3RCD,primary_reused,-9.687,from_production_tables
EGFR/HER2,20260727,EH40_39,neither,A,3POZ,primary_reused,-10.373,from_production_tables
EGFR/HER2,20260727,EH40_39,neither,B,3RCD,primary_reused,-10.12,from_production_tables
EGFR/HER2,20260727,EH40_40,neither,A,3POZ,primary_reused,-8.367,from_production_tables
EGFR/HER2,20260727,EH40_40,neither,B,3RCD,primary_reused,-8.612,from_production_tables
EGFR/HER2,20260727,EH120_041,dual,A,3POZ,primary_reused,-10.482,from_production_tables
EGFR/HER2,20260727,EH120_041,dual,B,3RCD,primary_reused,-10.975,from_production_tables
EGFR/HER2,20260727,EH120_042,dual,A,3POZ,primary_reused,-9.356,from_production_tables
EGFR/HER2,20260727,EH120_042,dual,B,3RCD,primary_reused,-9.29,from_production_tables
EGFR/HER2,20260727,EH120_043,dual,A,3POZ,primary_reused,-8.541,from_production_tables
EGFR/HER2,20260727,EH120_043,dual,B,3RCD,primary_reused,-8.746,from_production_tables
EGFR/HER2,20260727,EH120_044,dual,A,3POZ,primary_reused,-10.762,from_production_tables
EGFR/HER2,20260727,EH120_044,dual,B,3RCD,primary_reused,-9.618,from_production_tables
EGFR/HER2,20260727,EH120_045,dual,A,3POZ,primary_reused,-10.619,from_production_tables
EGFR/HER2,20260727,EH120_045,dual,B,3RCD,primary_reused,-9.661,from_production_tables
EGFR/HER2,20260727,EH120_046,dual,A,3POZ,primary_reused,-10.106,from_production_tables
EGFR/HER2,20260727,EH120_046,dual,B,3RCD,primary_reused,-9.712,from_production_tables
EGFR/HER2,20260727,EH120_047,dual,A,3POZ,primary_reused,-10.162,from_production_tables
EGFR/HER2,20260727,EH120_047,dual,B,3RCD,primary_reused,-9.106,from_production_tables
EGFR/HER2,20260727,EH120_048,dual,A,3POZ,primary_reused,-9.452,from_production_tables
