path,role,archive
config/campaign_c1.yaml,historical_configuration_retained_for_compatibility,config/archive/campaign_c1.yaml
config/campaign_c2.yaml,historical_configuration_retained_for_compatibility,config/archive/campaign_c2.yaml
config/campaign_c3.yaml,historical_configuration_retained_for_compatibility,config/archive/campaign_c3.yaml
config/campaign_c4.yaml,historical_configuration_retained_for_compatibility,config/archive/campaign_c4.yaml
config/campaign_c5.yaml,historical_configuration_retained_for_compatibility,config/archive/campaign_c5.yaml
config/docking_c1.yaml,historical_configuration_retained_for_compatibility,config/archive/docking_c1.yaml
config/docking_c1_cpu.yaml,historical_configuration_retained_for_compatibility,config/archive/docking_c1_cpu.yaml
config/docking_c5_w1.yaml,historical_configuration_retained_for_compatibility,config/archive/docking_c5_w1.yaml
config/docking_ensemble.yaml,historical_configuration_retained_for_compatibility,config/archive/docking_ensemble.yaml
config/docking_open_source.yaml,historical_configuration_retained_for_compatibility,config/archive/docking_open_source.yaml
config/docking_production_p2.yaml,historical_configuration_retained_for_compatibility,config/archive/docking_production_p2.yaml
config/dual_path.yaml,historical_configuration_retained_for_compatibility,config/archive/dual_path.yaml
config/model_hierarchy.yaml,historical_configuration_retained_for_compatibility,config/archive/model_hierarchy.yaml
config/targets.yaml,historical_configuration_retained_for_compatibility,config/archive/targets.yaml
