set,pc1,pc2,name
urat1_active,-0.6284,-1.6442,
urat1_active,0.3696,-0.6277,
urat1_active,-0.0059,-1.567,
urat1_active,-0.3522,-0.7976,
urat1_active,-1.3135,-1.2645,
urat1_active,-1.185,-0.5526,
urat1_active,-0.9961,-0.6652,
urat1_active,-1.1884,-0.5315,
urat1_active,-1.2438,-0.6686,
urat1_active,-1.2113,-0.4449,
urat1_active,-1.3049,-1.0759,
urat1_active,-1.1171,-0.743,
urat1_active,-1.074,-0.9626,
urat1_active,-1.2488,-1.3091,
urat1_active,-1.2156,-0.8517,
urat1_active,-1.204,-0.7916,
urat1_active,-1.2037,-0.7524,
urat1_active,-1.2651,-1.1989,
urat1_active,0.7536,-1.3923,
urat1_active,0.169,-0.9008,
urat1_active,-1.0676,-0.1192,
urat1_active,0.1122,-0.0005,
urat1_active,-0.4138,-0.1587,
urat1_active,-0.6206,0.1256,
urat1_active,0.3374,-1.345,
urat1_active,0.583,-1.4339,
urat1_active,0.157,-0.9936,
urat1_active,-0.6948,-0.9495,
urat1_active,0.54,-1.4725,
urat1_active,0.1425,-0.9141,
urat1_active,0.6293,-1.6829,
urat1_active,0.2032,-1.2427,
urat1_active,4.974,0.7552,
urat1_active,-0.2144,-0.4544,
urat1_active,0.8436,-1.3193,
urat1_active,0.5957,-1.0246,
urat1_active,-0.9911,-0.9595,
urat1_active,0.3122,-1.5328,
urat1_active,1.1073,-1.5608,
urat1_active,0.4628,-1.5468,
urat1_active,1.0269,-1.2852,
urat1_active,0.5604,-0.7256,
urat1_active,1.3283,-1.305,
urat1_active,0.7738,-1.6518,
urat1_active,0.3478,-1.2116,
urat1_active,0.5752,-1.2886,
urat1_active,0.6569,-0.9801,
urat1_active,0.6073,-1.5577,
urat1_active,0.6874,-1.5493,
urat1_active,1.0637,-0.8868,
urat1_active,-0.4723,-0.5831,
urat1_active,-0.3614,-0.8574,
urat1_active,-0.4181,-0.6082,
urat1_active,0.2464,-1.2318,
urat1_active,0.1588,-1.0394,
urat1_active,0.2517,-0.9696,
urat1_active,0.9147,-1.3582,
urat1_active,0.9781,-1.3599,
urat1_active,0.8511,-1.3693,
urat1_active,0.7997,-1.8993,
urat1_active,1.0337,-1.7112,
urat1_active,0.6829,-1.4131,
urat1_active,-0.4726,-0.564,
urat1_active,-0.3951,-0.355,
urat1_active,-0.9009,-0.825,
urat1_active,-0.8031,-0.5616,
urat1_active,0.6616,-1.8545,
urat1_active,1.6663,-1.6439,
urat1_active,-0.9681,-0.7775,
urat1_active,-1.0356,0.185,
urat1_active,0.4768,-1.5814,
urat1_active,-0.4268,-0.922,
urat1_active,0.4453,-1.6152,
urat1_active,0.0567,-1.3562,
urat1_active,-1.2187,-1.0665,
urat1_active,-0.1969,-1.0802,
urat1_active,-0.2769,-0.8519,
urat1_active,-0.716,-1.0061,
urat1_active,-0.4498,-1.0018,
urat1_active,-0.9025,-1.8927,
urat1_active,-0.982,-1.7164,
urat1_active,-0.8343,-0.7803,
urat1_active,-1.1873,-1.0556,
urat1_active,-0.7506,0.3374,
urat1_active,-0.9355,1.1276,
urat1_active,-1.4651,-1.4046,
urat1_active,-1.2723,-1.4388,
urat1_active,-1.1625,-0.241,
urat1_active,-1.1625,-0.241,
urat1_active,0.923,-0.8488,
urat1_active,1.5297,-1.168,
urat1_active,-0.9549,-0.3455,
urat1_active,-1.1454,-0.2509,
urat1_active,-0.8322,-0.1661,
urat1_active,-0.4777,-0.0911,
urat1_active,0.195,-0.5602,
urat1_active,5.3235,0.1516,
urat1_active,-1.1139,-1.3992,
urat1_active,-1.1371,-1.6936,
urat1_active,-1.1576,-1.7146,
urat1_active,0.6994,-1.5857,
urat1_active,0.9086,-1.4491,
urat1_active,0.5647,-1.8256,
urat1_active,0.7356,-1.5389,
urat1_active,-0.3348,-1.1896,
urat1_active,0.6626,-1.4138,
urat1_active,-1.1005,-1.1026,
urat1_active,0.9359,-1.7121,
urat1_active,-0.7429,-0.854,
urat1_active,-0.6452,-0.5905,
urat1_active,-0.8837,-1.375,
urat1_active,-0.9703,-1.1971,
urat1_active,-0.6991,-0.3471,
urat1_active,-0.3673,0.0963,
urat1_active,-0.6931,-0.1404,
urat1_active,-0.7819,-0.261,
urat1_active,0.0941,-1.1775,
urat1_active,-0.1591,-0.2259,
urat1_active,1.58,-1.1799,
urat1_active,-1.0602,-1.4313,
urat1_active,-1.0741,-1.7034,
urat1_active,-1.0822,-1.5861,
urat1_active,-1.1039,-1.7467,
urat1_active,-0.8513,-1.5357,
urat1_active,-1.2165,0.0157,
urat1_active,-1.1332,0.8411,
urat1_active,4.8736,0.1638,
urat1_active,5.0659,-0.0015,
urat1_active,5.2005,0.0335,
urat1_active,-1.0901,-0.2761,
urat1_active,1.6063,-1.1531,
urat1_active,-0.8787,-0.3436,
urat1_active,4.8896,0.0967,
urat1_active,-0.9071,-0.4404,
urat1_active,-0.3015,-0.4604,
urat1_active,-0.9109,-0.3274,
urat1_active,-0.2668,-0.4325,
urat1_active,-0.5112,-0.34,
urat1_active,-0.8655,-0.4305,
urat1_active,-0.4641,-0.4621,
urat1_active,-0.9438,-0.2477,
urat1_active,-0.6097,-0.1187,
urat1_active,-0.5228,-0.2275,
urat1_active,-0.5543,-0.589,
urat1_active,4.8256,-0.2376,
urat1_active,-1.0515,-1.0504,
urat1_active,-1.0422,-1.1769,
urat1_active,-1.0294,-1.2985,
urat1_active,-0.5706,-1.1879,
urat1_active,-0.4335,-1.4713,
urat1_active,-0.1486,-1.3105,
urat1_active,-0.7998,-1.5021,
urat1_active,-0.8297,-1.5734,
urat1_active,-0.5407,-1.385,
urat1_active,-0.8169,-1.6951,
urat1_active,-0.8468,-1.7682,
urat1_active,-0.4553,-0.4337,
urat1_active,-0.4362,-0.2924,
urat1_active,-0.9342,-0.2825,
urat1_active,-0.9128,-0.3225,
urat1_active,-0.854,-0.2742,
urat1_active,-0.4972,-0.4542,
urat1_active,-0.4626,-0.4263,
urat1_active,-0.9043,-0.2787,
urat1_active,-0.8454,-0.2304,
urat1_active,-0.4816,-0.4131,
urat1_active,-0.4469,-0.3851,
urat1_active,-0.958,-0.9086,
urat1_active,-1.0466,-0.6439,
urat1_active,-0.8624,0.2981,
urat1_active,-1.0028,0.246,
urat1_active,5.338,0.1937,
urat1_active,1.0293,-1.6653,
urat1_active,0.8351,-1.8492,
urat1_active,0.8596,-2.035,
urat1_active,0.8524,-2.0421,
urat1_active,0.8524,-2.0421,
urat1_active,0.7748,-2.1999,
urat1_active,0.8308,-2.1094,
urat1_active,0.9024,-2.0703,
urat1_active,0.8796,-2.0585,
urat1_active,-0.8291,0.8499,
urat1_active,5.3265,0.2067,
urat1_active,-0.7578,-0.7129,
urat1_active,-0.5559,-0.7868,
urat1_active,-0.3172,-0.4007,
urat1_active,0.6832,-1.4316,
urat1_active,-0.414,-0.6132,
urat1_active,-0.5389,-0.7026,
urat1_active,5.1082,0.3111,
urat1_active,5.2792,0.1668,
urat1_active,-0.5079,-0.1108,
urat1_active,5.1053,0.2793,
urat1_active,0.4437,-0.6843,
urat1_active,-0.4536,0.7817,
urat1_active,-0.2864,-0.2473,
urat1_active,-0.1753,-0.4979,
urat1_active,1.3258,-2.046,
urat1_active,1.4269,-1.8544,
urat1_active,1.7175,-2.0674,
urat1_active,-0.1985,-0.5219,
urat1_active,-0.2188,-0.6035,
urat1_active,5.1347,0.3911,
urat1_active,5.3266,0.3321,
urat1_active,5.267,0.1439,
urat1_active,3.9137,-0.2863,
urat1_active,5.1204,0.3065,
urat1_active,5.1703,0.4005,
urat1_active,5.2556,0.3255,
urat1_active,5.4592,0.1859,
urat1_active,-0.6188,-1.0321,
urat1_active,-0.3908,-0.9188,
urat1_active,0.0123,-1.4381,
urat1_active,1.2348,-0.0359,
urat1_active,-0.0888,-0.7394,
urat1_active,-0.2586,0.2194,
urat1_active,-0.5629,-0.009,
urat1_active,5.1793,0.5467,
urat1_active,5.0653,0.3083,
urat1_active,0.181,-0.7137,
urat1_active,5.4118,0.1949,
urat1_active,5.2615,0.3261,
urat1_active,1.2907,0.2204,
urat1_active,0.0195,-0.3458,
urat1_active,5.1576,0.5323,
urat1_active,5.4347,0.1652,
urat1_active,5.1999,0.3469,
urat1_active,5.2553,0.3009,
urat1_active,5.4852,0.1561,
urat1_active,5.3013,0.3254,
urat1_active,5.1802,0.3332,
urat1_active,1.5909,-1.6423,
urat1_active,2.0493,-1.8134,
urat1_active,0.9035,-1.4822,
urat1_active,-0.1077,-0.4487,
urat1_active,-0.4587,-1.006,
urat1_active,-0.4398,0.511,
urat1_active,0.9224,-0.2247,
urat1_active,4.9341,0.2456,
urat1_active,5.1487,-0.125,
urat1_active,4.9971,0.0455,
urat1_active,-0.3509,-1.1408,
urat1_active,-0.195,-0.919,
urat1_active,1.3925,-0.3625,
urat1_active,1.1154,-0.3755,
urat1_active,5.0268,-0.0274,
urat1_active,2.6245,-0.1133,
urat1_active,4.2003,-0.116,
urat1_active,1.3641,0.2975,
urat1_active,5.3745,0.1622,
urat1_active,0.2288,-1.1066,
urat1_active,0.9932,0.1709,
urat1_active,-0.9732,-0.2465,
urat1_active,0.4795,0.0396,
urat1_active,1.7485,-0.999,
urat1_active,1.3555,-0.4287,
urat1_active,0.6071,0.0989,
urat1_active,0.9632,-0.3141,
urat1_active,0.6574,-0.2608,
urat1_active,1.2127,-0.4455,
urat1_active,0.282,-0.7106,
urat1_active,-0.617,-0.4732,
urat1_active,4.9617,-0.1825,
urat1_active,-0.4256,0.2506,
urat1_active,-0.3669,-0.0815,
urat1_active,0.4173,-0.3163,
urat1_active,-0.4201,-0.0406,
urat1_active,-0.448,-0.109,
urat1_active,-0.8116,-0.1517,
urat1_active,-0.3579,0.0747,
urat1_active,0.7461,-1.5563,
urat1_active,0.6994,-1.5857,
urat1_active,0.293,-1.1313,
urat1_active,0.4528,-1.6135,
urat1_active,0.4846,-1.1684,
urat1_active,0.7461,-1.5563,
urat1_active,0.6994,-1.5857,
urat1_active,0.293,-1.1313,
urat1_active,0.4528,-1.6135,
urat1_active,0.4846,-1.1684,
urat1_active,-0.7316,0.3382,
urat1_active,0.3009,-1.0054,
urat1_active,5.0926,0.2986,
urat1_active,5.2279,0.1659,
urat1_active,-1.138,-0.3298,
urat1_active,-0.7449,-0.7479,
urat1_active,-1.0861,0.1725,
urat1_active,-0.3664,-0.6051,
urat1_active,-0.3367,-0.7716,
urat1_active,-0.5823,-0.7783,
urat1_active,-0.8867,-1.0066,
urat1_active,-0.6274,-0.3904,
urat1_active,-0.6554,-0.3985,
urat1_active,-0.9357,-1.0508,
urat1_active,5.1128,0.3039,
urat1_active,5.202,0.2622,
urat1_active,5.2771,0.2425,
urat1_active,5.1754,0.3562,
urat1_active,5.1928,0.3437,
urat1_active,5.0119,0.4984,
urat1_active,3.5222,0.5421,
urat1_active,5.0949,0.3509,
urat1_active,5.2185,0.3535,
urat1_active,5.1128,0.5086,
urat1_active,5.2393,0.5852,
urat1_active,5.328,0.3482,
urat1_active,5.1924,0.5101,
urat1_active,5.3945,0.3743,
urat1_active,5.2612,0.4981,
urat1_active,0.0028,-0.8329,
urat1_active,0.7204,-0.8854,
urat1_active,-0.0105,-0.7513,
urat1_active,-0.7896,-0.9261,
urat1_active,-0.7142,0.7915,
urat1_active,-0.865,-0.8314,
urat1_active,-0.1914,-0.6072,
urat1_active,5.0469,0.5138,
urat1_active,-0.2011,-0.876,
urat1_active,0.087,-0.7482,
urat1_active,5.1569,0.3774,
urat1_active,5.2575,0.1741,
urat1_active,5.2172,0.3605,
urat1_active,5.1072,0.3053,
urat1_active,5.1652,0.369,
urat1_active,5.0372,0.5036,
urat1_active,5.0275,0.5016,
urat1_active,4.6965,0.1629,
urat1_active,1.0058,0.2288,
