repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type
REP_04962,CHEMBL2146132,CLOBENZTROPINE,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccc(Cl)cc1)C2,OCAXFDULERPAJM-LUQWZTMUSA-N,341.88,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04963,CHEMBL2146145,ATROPINE OXIDE,C[N+]1([O-])[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,HGWPFSBHDACWNL-LZYIFBDPSA-N,305.37,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04964,CHEMBL214796,NGD-8243,FC(F)(F)c1ccc(Nc2ncnc3cc(-c4ncccc4C(F)(F)F)ccc23)cc1,VTANGSDRFFLTSQ-UHFFFAOYSA-N,434.34,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04965,CHEMBL214920,TIOCARLIDE,CC(C)CCOc1ccc(NC(=S)Nc2ccc(OCCC(C)C)cc2)cc1,BWBONKHPVHMQHE-UHFFFAOYSA-N,400.59,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04966,CHEMBL2151197,PF-03654746,CCNC(=O)[C@H]1C[C@@](F)(c2ccc(CN3CCCC3)c(F)c2)C1,SXMBKHYDZOCBMT-PPUGGXLSSA-N,322.4,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04967,CHEMBL2151437,AZD0328,c1cnc2c(c1)C[C@@]1(CN3CCC1CC3)O2,OCKIPDMKGPYYJS-ZDUSSCGKSA-N,216.28,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04968,CHEMBL2151439,FACINICLINE,O=C(N[C@@H]1CN2CCC1CC2)c1n[nH]c2ccccc12,TXCYUSKWBHUVEP-CYBMUJFWSA-N,270.34,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04969,CHEMBL215152,DEFOSBARASERTIB,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,QYZOGCMHVIGURT-UHFFFAOYSA-N,507.57,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04970,CHEMBL2151591,GAMMA-TOCOPHEROL,Cc1c(O)cc2c(c1C)O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,QUEDXNHFTDJVIY-DQCZWYHMSA-N,416.69,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04971,CHEMBL2153191,AZD-4017,CCCSc1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,NCDZABJPWMBMIQ-INIZCTEOSA-N,419.59,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04972,CHEMBL2158685,ABC-294640,O=C(NCc1ccncc1)C12CC3CC(C1)CC(c1ccc(Cl)cc1)(C3)C2,CAOTVXGYTWCKQE-UHFFFAOYSA-N,380.92,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04973,CHEMBL2159227,CEMDOMESPIB,CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2ccc(CCNC(C)=O)c(-c3cccc(F)c3)c2)OC1(C)C,PDBWOHBMJQOBHL-WBADGQHESA-N,447.5,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04974,CHEMBL2160007,PSI-352938,CCOc1nc(N)nc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(OC(C)C)O[C@H]2[C@@]1(C)F,PVRFQJIRERYGTQ-UYISCHNFSA-N,431.36,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04975,CHEMBL2165191,AZD-6482,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,IRTDIKMSKMREGO-OAHLLOKOSA-N,408.46,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04976,CHEMBL2165615,NERIGLIATIN,Cc1cnc(NC(=O)c2cc(Oc3cnc(C(=O)N(C)C)nc3)c3cc(C)oc3c2)cn1,MASKQITXHVYVFL-UHFFFAOYSA-N,432.44,2.0,,True,False,False,phase_only,,Small molecule,MOL
