name,chembl_ids_queried,id_source,in_p6_active_set,matching_chembl_id
lesinurad,CHEMBL2105720;CHEMBL3301572,library,False,
benzbromarone,CHEMBL388590;CHEMBL892,library,False,
dotinurad,CHEMBL4594446;CHEMBL4594374,library,False,
probenecid,CHEMBL897,library,False,
verinurad,CHEMBL3707347;CHEMBL3989871,library,True,CHEMBL3707347
puliginurad,CHEMBL5314438,library,True,CHEMBL5314438
SHR-4640,CHEMBL3746329,library,True,CHEMBL3746329
isobavachin,CHEMBL5618175,raw_chembl,True,CHEMBL5618175
