pair,directional_summary_min,conventional_D_vs_neither_mean,conventional_D_vs_neither_mean_n_neg,conventional_D_vs_neither_mean_underpowered,conventional_D_vs_neither_worst,single_target_pocketA,single_target_pocketB,delta_neither_mean_minus_summary_min
EGFR/HER2,0.4297,0.756,12,0,0.744,0.4254,0.7593,0.3263
AChE/BChE,0.6058,0.6494,15,0,0.6765,0.6395,0.6368,0.0436
PIK3CA/PIK3CB,0.5,0.5592,16,0,0.6384,0.4804,0.6551,0.0592
PIK3CA/mTOR,0.6921,0.5139,4,1,0.4028,0.5244,0.6519,-0.1782
