pair,bindingdb_monomerid,inchikey,frozen_class_theta6_mixed,pA_mixed,pB_mixed,in_scored_panel_structure,in_chembl_map_structure,panel_pmid_overlap,unichem_status,n_pmids,independent_structure_and_literature,affinity_types
PIK3CA/mTOR,50072963,YAXRRKMRIXNADF-AWEZNQCLSA-N,B_only,5.49,8.2366,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50072964,WSQASKQHPDRTHP-INIZCTEOSA-N,B_only,5.1,6.1198,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50073143,UOHWQHOZKOEFII-LSHDLFTRSA-N,B_only,5.6289,6.7959,0,0,0,unichem_skipped_bulk,2,0,IC50
PIK3CA/mTOR,50073145,CPXRENALRHARRA-LSHDLFTRSA-N,neither,5.7423,5.4802,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50073146,NEKYVQFQSXZGOO-UXHLAJHPSA-N,neither,5.8153,4.7794,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50073148,AXAQWRBRCXUTNW-UFFVCSGVSA-N,B_only,5.8153,6.0362,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50089299,IHWMYZQUTPMTII-UHFFFAOYSA-N,dual,8.6778,6.6615,0,0,0,unichem_skipped_bulk,2,0,IC50
PIK3CA/mTOR,50089300,PFQPMMYPDZXCFP-UHFFFAOYSA-N,dual,8.4437,6.4401,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50089301,PVRCMSRKSNSFMD-UHFFFAOYSA-N,dual,8.8861,7.1675,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50089302,NPEDBEHZJZSTMK-UHFFFAOYSA-N,dual,8.7696,6.4622,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50089303,OGUIPHCQISNMKY-UHFFFAOYSA-N,dual,9.6383,7.2676,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50089304,ALNQLISVOLPLER-UHFFFAOYSA-N,dual,9.5229,7.3565,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50089305,MGPZMIFXUOWABF-UHFFFAOYSA-N,dual,9.8239,7.585,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50089317,SHGMGWMEOHFIAT-UHFFFAOYSA-N,dual,7.284,7.2076,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50089318,SXCSSRFIAVDRJT-UHFFFAOYSA-N,dual,10.0223,9.699,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50089319,FLGKHYKWJIFRIX-UHFFFAOYSA-N,dual,9.0,8.5229,0,0,0,unichem_skipped_bulk,1,0,IC50
