document_chembl_id,field,old_value,corrected_value,evidence,action
CHEMBL1141539,doi,10.1016/j.bmcl.2008.02.035,10.1016/j.bmcl.2007.08.073,"PDF first page and embedded DOI; title matches Neutral 5-substituted 4-indazolylaminoquinazolines",regenerate_cached_bibliography
CHEMBL5532641,title,,"MNK, mTOR or eIF4E-selecting the best anti-tumor target for blocking translation initiation","PDF title page; DOI 10.1016/j.ejmech.2023.115781",resolve_unresolved_source
CHEMBL5532641,doi,,10.1016/j.ejmech.2023.115781,"PDF title page and embedded DOI",resolve_unresolved_source
CHEMBL5584230,title,,"Exploring fluorine-substituted piperidines as potential therapeutics for diabetes mellitus and Alzheimer's diseases","PDF title page; DOI 10.1016/j.ejmech.2024.116523",resolve_unresolved_source
CHEMBL5584230,doi,,10.1016/j.ejmech.2024.116523,"PDF title page and embedded DOI",resolve_unresolved_source
