pair,ligand,molecule_chembl_id,frozen_class,high_conf_class_theta6,high_conf_max_A,high_conf_max_B,n_high_conf_A,n_high_conf_B,complete_high_conf,class_matches_frozen,vina_A,vina_B
EGFR/HER2,EH120_057,CHEMBL53753,A_only,A_only,7.89,4.28,3,1,1,1,8.062,7.557
EGFR/HER2,EH120_058,CHEMBL3357643,A_only,A_only,9.28,5.81,2,1,1,1,10.178,9.275
EGFR/HER2,EH120_059,CHEMBL305194,A_only,A_only,7.54,4.31,1,1,1,1,9.575,8.645
EGFR/HER2,EH120_060,CHEMBL24828,A_only,A_only,8.32,5.58,28,1,1,1,9.015,9.173
EGFR/HER2,EH120_061,CHEMBL4280835,A_only,A_only,7.33,4.72,1,1,1,1,10.876,10.937
EGFR/HER2,EH120_062,CHEMBL4286733,A_only,A_only,6.95,4.43,1,1,1,1,11.415,11.098
EGFR/HER2,EH120_063,CHEMBL3929002,A_only,A_only,7.3,4.98,1,1,1,1,9.575,9.815
EGFR/HER2,EH120_064,CHEMBL5270270,A_only,A_only,7.36,5.06,1,1,1,1,7.819,8.147
EGFR/HER2,EH120_065,CHEMBL281300,A_only,A_only,8.01,5.79,3,1,1,1,8.773,8.591
EGFR/HER2,EH120_066,CHEMBL288441,A_only,A_only,7.75,5.6,14,2,1,1,8.648,8.522
EGFR/HER2,EH120_067,CHEMBL56543,A_only,A_only,7.0,4.87,5,1,1,1,8.423,8.877
EGFR/HER2,EH120_068,CHEMBL4061382,A_only,A_only,7.58,5.5,1,1,1,1,9.352,8.977
EGFR/HER2,EH120_069,CHEMBL30973,A_only,A_only,7.43,5.38,3,1,1,1,9.013,8.872
EGFR/HER2,EH120_070,CHEMBL55979,A_only,A_only,6.4,4.43,4,1,1,1,8.852,9.136
EGFR/HER2,EH120_071,CHEMBL3647967,A_only,A_only,7.69,5.81,2,1,1,1,9.8,10.075
EGFR/HER2,EH120_072,CHEMBL4278886,A_only,A_only,7.67,5.82,1,1,1,1,11.068,10.933
EGFR/HER2,EH120_073,CHEMBL3114689,A_only,A_only,7.8,5.96,2,1,1,1,9.858,9.943
EGFR/HER2,EH120_074,CHEMBL205652,A_only,A_only,6.5,4.68,2,2,1,1,8.486,8.505
EGFR/HER2,EH120_075,CHEMBL372112,A_only,A_only,7.3,5.48,1,1,1,1,8.702,8.296
EGFR/HER2,EH120_076,CHEMBL56731,A_only,A_only,6.16,4.38,2,1,1,1,8.786,8.776
EGFR/HER2,EH120_077,CHEMBL10,A_only,A_only,6.47,4.72,14,1,1,1,8.672,9.532
EGFR/HER2,EH120_078,CHEMBL179633,A_only,A_only,7.14,5.41,1,1,1,1,10.03,9.471
EGFR/HER2,EH120_079,CHEMBL370934,A_only,A_only,7.22,5.52,1,1,1,1,7.872,7.811
EGFR/HER2,EH120_080,CHEMBL1080506,B_only,B_only,5.3,8.4,2,1,1,1,9.988,10.185
EGFR/HER2,EH120_081,CHEMBL6150652,B_only,B_only,4.92,8.02,1,1,1,1,10.624,10.857
EGFR/HER2,EH120_082,CHEMBL257478,B_only,B_only,5.7,8.7,1,2,1,1,9.68,9.54
EGFR/HER2,EH120_083,CHEMBL6006814,B_only,B_only,5.29,7.99,1,1,1,1,10.534,10.925
EGFR/HER2,EH120_084,CHEMBL6133515,B_only,B_only,5.66,8.24,1,1,1,1,10.632,10.589
EGFR/HER2,EH120_085,CHEMBL1257998,B_only,B_only,5.64,8.12,1,2,1,1,10.883,11.507
EGFR/HER2,EH120_086,CHEMBL5890920,B_only,B_only,5.74,8.16,1,1,1,1,10.441,10.535
EGFR/HER2,EH120_087,CHEMBL5797736,B_only,B_only,5.54,7.94,1,1,1,1,10.823,10.917
EGFR/HER2,EH120_088,CHEMBL1256432,B_only,B_only,5.54,7.8,1,2,1,1,10.927,12.208
EGFR/HER2,EH120_089,CHEMBL1087368,B_only,B_only,5.94,8.15,2,2,1,1,9.003,9.349
EGFR/HER2,EH120_090,CHEMBL403785,B_only,B_only,5.59,7.72,1,2,1,1,9.271,9.72
EGFR/HER2,EH120_091,CHEMBL193578,B_only,B_only,5.62,7.62,1,1,1,1,10.058,10.33
EGFR/HER2,EH120_092,CHEMBL5555280,B_only,B_only,5.34,7.31,1,1,1,1,10.576,10.96
EGFR/HER2,EH120_093,CHEMBL5977568,B_only,B_only,5.86,7.71,1,1,1,1,10.409,10.482
EGFR/HER2,EH120_094,CHEMBL118109,B_only,B_only,4.73,6.46,3,1,1,1,8.631,8.571
EGFR/HER2,EH120_095,CHEMBL256362,B_only,B_only,5.96,7.64,1,1,1,1,10.316,10.471
EGFR/HER2,EH120_096,CHEMBL5561933,B_only,B_only,5.67,7.28,1,1,1,1,10.579,10.736
EGFR/HER2,EH120_097,CHEMBL194337,B_only,B_only,5.68,7.16,1,1,1,1,10.095,10.427
EGFR/HER2,EH120_098,CHEMBL5557178,B_only,B_only,5.33,6.8,1,1,1,1,10.411,10.601
EGFR/HER2,EH120_099,CHEMBL1080272,B_only,B_only,4.82,6.21,1,1,1,1,10.246,9.896
EGFR/HER2,EH120_100,CHEMBL5561503,B_only,B_only,5.86,7.23,1,1,1,1,10.09,10.414
EGFR/HER2,EH120_101,CHEMBL5558817,B_only,B_only,5.38,6.67,1,1,1,1,10.597,10.64
EGFR/HER2,EH120_102,CHEMBL104,neither,neither,4.16,4.18,1,1,1,1,6.785,6.806
EGFR/HER2,EH120_103,CHEMBL4087921,neither,neither,4.33,4.28,2,1,1,1,8.747,9.24
EGFR/HER2,EH120_104,CHEMBL4102214,neither,neither,4.35,4.24,2,1,1,1,10.219,11.276
EGFR/HER2,EH120_105,CHEMBL4102942,neither,neither,4.35,4.28,2,1,1,1,9.216,9.25
EGFR/HER2,EH120_106,CHEMBL4074782,neither,neither,4.4,4.33,2,1,1,1,9.051,9.584
EGFR/HER2,EH120_107,CHEMBL1095259,neither,neither,4.35,4.42,1,1,1,1,7.758,8.162
EGFR/HER2,EH120_108,CHEMBL4575427,neither,neither,4.35,4.42,1,1,1,1,7.763,7.881
EGFR/HER2,EH120_109,CHEMBL589165,neither,neither,4.44,4.33,1,1,1,1,4.636,5.037
EGFR/HER2,EH120_110,CHEMBL589503,neither,neither,4.45,4.32,1,1,1,1,6.797,7.056
AChE/BChE,AB_002,CHEMBL4464883,dual,dual,8.0,6.8,1,1,1,1,11.841,10.501
AChE/BChE,AB_003,CHEMBL309667,dual,dual,7.96,8.62,1,1,1,1,8.863,7.984
AChE/BChE,AB_004,CHEMBL3216777,dual,dual,8.88,6.88,1,1,1,1,13.025,11.1
AChE/BChE,AB_005,CHEMBL3326699,dual,dual,7.35,7.53,1,1,1,1,12.595,10.593
AChE/BChE,AB_006,CHEMBL557405,dual,dual,8.17,7.6,1,1,1,1,11.127,10.122
AChE/BChE,AB_007,CHEMBL374981,dual,dual,8.29,8.86,1,1,1,1,11.484,9.76
AChE/BChE,AB_008,CHEMBL189906,dual,dual,7.52,7.23,1,1,1,1,9.327,8.118
