pair,contrast,complete_case_n_pos,complete_case_n_neg,complete_case_auroc,arm_available_n_pos,arm_available_n_neg,arm_available_auroc,full_panel_n_pos,full_panel_n_neg,rank_extreme_lower_bound,rank_extreme_upper_bound,note
AChE/BChE,D_vs_A_pocketB,27,25,0.6504,27,25,0.6504,28,28,0.5599,0.699,bounds assign every missing positive/negative comparison against the claimed direction; not an imputation model
AChE/BChE,D_vs_B_pocketA,27,28,0.6058,27,28,0.6058,28,28,0.5842,0.6199,bounds assign every missing positive/negative comparison against the claimed direction; not an imputation model
