pair,n_usable_pchembl_A,n_usable_pchembl_B,n_both,n_A_only_measured,n_B_only_measured,fraction_union_measured_both,jaccard_usable_pchembl,note
EGFR/HER2,11198,2619,1751,9447,868,0.145119,0.145119,"map overlap; absence means no usable cached pChEMBL, not inactivity"
AChE/BChE,6197,3798,2537,3660,1261,0.340172,0.340172,"map overlap; absence means no usable cached pChEMBL, not inactivity"
PIK3CA/PIK3CB,7732,2786,1990,5742,796,0.233349,0.233349,"map overlap; absence means no usable cached pChEMBL, not inactivity"
PIK3CA/mTOR,7732,5209,2713,5019,2496,0.265252,0.265252,"map overlap; absence means no usable cached pChEMBL, not inactivity"
