pair,n_ranked,top_k,top_dual,top_A_only,top_B_only,top_neither,top_ligand_ids,threshold,n_filter_input,retained_dual,retained_A_only,retained_B_only,dual_recall,dual_precision,filter_rule,tie_rule
EGFR/HER2,110,11,1,5,5,0,EH40_18;EH40_04;EH120_088;EH40_28;EH120_085;EH120_062;EH120_072;EH40_23;EH120_083;EH40_33;EH120_061,9.7070,98,14,9,24,0.5000,0.2979,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID
JAK1/JAK2,110,11,6,5,0,0,J1J2_074;J1J2_081;J1J2_072;J1J2_031;J1J2_075;J1J2_096;J1J2_029;J1J2_026;J1J2_013;J1J2_027;J1J2_088,9.1935,96,16,13,6,0.5000,0.4571,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID
JAK1/TYK2,109,11,1,3,7,0,J1TYK2_006;J1TYK2_064;J1TYK2_042;J1TYK2_056;J1TYK2_058;J1TYK2_046;J1TYK2_069;J1TYK2_060;J1TYK2_023;J1TYK2_063;J1TYK2_009,8.8290,95,16,12,22,0.5161,0.3200,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID
PIK3CA/mTOR,48,5,4,1,0,0,PM48_04;PM48_02;PM48_31;PM48_07;PM48_10,8.2400,44,9,4,4,0.5000,0.5294,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID
AChE/BChE,96,10,5,3,1,1,AB_004;AB_057;AB_030;AB_005;AB_017;AB_026;AB_098;AB_027;AB_048;AB_037,9.7640,81,14,7,11,0.5185,0.4375,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID
F2/F10,107,11,4,1,6,0,F2F10_061;F2F10_096;F2F10_086;F2F10_058;F2F10_046;F2F10_068;F2F10_021;F2F10_053;F2F10_081;F2F10_054;F2F10_055,8.7580,95,16,20,23,0.5161,0.2712,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID
PPARG/PPARA,109,11,7,3,0,1,PGPA_074;PGPA_069;PGPA_102;PGPA_001;PGPA_096;PGPA_011;PGPA_068;PGPA_009;PGPA_087;PGPA_067;PGPA_083,8.8815,95,16,9,6,0.5000,0.5161,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID
PPARA/PPARD,110,11,5,2,3,1,PAPD_104;PAPD_085;PAPD_018;PAPD_033;PAPD_017;PAPD_064;PAPD_082;PAPD_055;PAPD_070;PAPD_075;PAPD_076,8.7145,96,16,22,20,0.5000,0.2759,score_worst >= median_dual_score_worst; neither excluded,descending score_mean then ascending ligand ID
