pair,model,label_scenario,n_scored_total,n_dual,n_A_only,n_B_only,n_neither,n_unresolved,auroc_D_vs_A_pocketB,ci_D_vs_A_lo,ci_D_vs_A_hi,auroc_D_vs_B_pocketA,ci_D_vs_B_lo,ci_D_vs_B_hi,summary_min,summary_min_ci_lo,summary_min_ci_hi,underpowered,delta_summary_min_vs_api_max,delta_summary_min_vs_frozen
EGFR/HER2,vina,frozen_cached,110,28,38,32,12,0,0.6664,0.5291,0.798,0.4297,0.2902,0.5815,0.4297,0.2902,0.5815,0,,
EGFR/HER2,vina,api_max_all_sources,110,28,38,32,12,0,0.6664,0.5338,0.7979,0.4297,0.2846,0.5771,0.4297,0.2846,0.5759,0,,
EGFR/HER2,vina,adjudicated_primary_only,110,28,37,32,12,1,0.6622,0.5299,0.7886,0.4297,0.2824,0.5815,0.4297,0.2824,0.5815,0,0.0,0.0
EGFR/HER2,rtmscore,frozen_cached,110,28,38,32,12,0,0.5291,0.391,0.672,0.3527,0.2098,0.4933,0.3527,0.2098,0.4933,0,,
EGFR/HER2,rtmscore,api_max_all_sources,110,28,38,32,12,0,0.5291,0.3966,0.6654,0.3527,0.2154,0.4978,0.3527,0.2154,0.4955,0,,
EGFR/HER2,rtmscore,adjudicated_primary_only,110,28,37,32,12,1,0.5164,0.3716,0.6583,0.3527,0.2109,0.5011,0.3527,0.2109,0.5011,0,0.0,0.0
AChE/BChE,vina,frozen_cached,95,27,25,28,15,0,0.6504,0.4933,0.7985,0.6058,0.4563,0.7487,0.6058,0.4484,0.7334,0,,
AChE/BChE,vina,api_max_all_sources,95,27,25,28,15,0,0.6504,0.4903,0.7971,0.6058,0.4457,0.75,0.6058,0.4405,0.7319,0,,
AChE/BChE,vina,adjudicated_primary_only,95,27,25,28,15,0,0.6504,0.4874,0.8,0.6058,0.455,0.7632,0.6058,0.4484,0.7348,0,0.0,0.0
AChE/BChE,rtmscore,frozen_cached,95,27,25,28,15,0,0.5185,0.3541,0.6756,0.545,0.3849,0.6944,0.5185,0.3422,0.6271,0,,
AChE/BChE,rtmscore,api_max_all_sources,95,27,25,28,15,0,0.5185,0.3451,0.68,0.545,0.381,0.7037,0.5185,0.336,0.6257,0,,
AChE/BChE,rtmscore,adjudicated_primary_only,95,27,25,28,15,0,0.5185,0.3614,0.6786,0.545,0.3809,0.705,0.5185,0.3413,0.6296,0,0.0,0.0
PIK3CA/PIK3CB,vina,frozen_cached,99,28,27,28,16,0,0.6905,0.5357,0.84,0.5,0.3469,0.6582,0.5,0.3469,0.6531,0,,
PIK3CA/PIK3CB,vina,api_max_all_sources,99,28,27,28,16,0,0.6905,0.533,0.8426,0.5,0.3444,0.6595,0.5,0.3444,0.6469,0,,
PIK3CA/PIK3CB,vina,adjudicated_primary_only,99,28,27,28,16,0,0.6905,0.5265,0.8281,0.5,0.3495,0.6594,0.5,0.3495,0.6454,0,0.0,0.0
PIK3CA/PIK3CB,rtmscore,frozen_cached,99,28,27,28,16,0,0.705,0.5556,0.8426,0.5421,0.3788,0.6888,0.5421,0.3788,0.6759,0,,
PIK3CA/PIK3CB,rtmscore,api_max_all_sources,99,28,27,28,16,0,0.705,0.5635,0.8413,0.5421,0.3877,0.7028,0.5421,0.3877,0.6913,0,,
PIK3CA/PIK3CB,rtmscore,adjudicated_primary_only,99,28,27,28,16,0,0.705,0.5595,0.8466,0.5421,0.3763,0.7054,0.5421,0.3763,0.6952,0,0.0,0.0
PIK3CA/mTOR,vina,frozen_cached,48,18,14,12,4,0,0.7143,0.504,0.8968,0.6921,0.4837,0.8657,0.6921,0.4537,0.8016,0,,
PIK3CA/mTOR,vina,api_max_all_sources,48,18,14,12,4,0,0.7143,0.5118,0.8929,0.6921,0.4861,0.8657,0.6921,0.4722,0.8135,0,,
PIK3CA/mTOR,vina,adjudicated_primary_only,48,18,14,12,4,0,0.7143,0.504,0.8849,0.6921,0.4954,0.8657,0.6921,0.4721,0.7976,0,0.0,0.0
PIK3CA/mTOR,rtmscore,frozen_cached,48,18,14,12,4,0,0.6151,0.4048,0.8016,0.6574,0.4537,0.8519,0.6151,0.3929,0.7579,0,,
PIK3CA/mTOR,rtmscore,api_max_all_sources,48,18,14,12,4,0,0.6151,0.4087,0.8175,0.6574,0.4491,0.8472,0.6151,0.4007,0.7593,0,,
PIK3CA/mTOR,rtmscore,adjudicated_primary_only,48,18,14,12,4,0,0.6151,0.4047,0.8096,0.6574,0.4444,0.8427,0.6151,0.3889,0.758,0,0.0,0.0
