pair,n_frozen_scored,n_complete_high_conf,coverage_fraction,n_class_matches_frozen,n_dual,n_A_only,n_B_only,n_neither,auroc_D_vs_A,auroc_D_vs_B,summary_min,underpowered
EGFR/HER2,110,110,1.0,110,28,38,32,12,0.6664,0.4297,0.4297,0
AChE/BChE,95,95,1.0,95,27,25,28,15,0.6504,0.6058,0.6058,0
PIK3CA/PIK3CB,99,99,1.0,99,28,27,28,16,0.6905,0.5,0.5,0
PIK3CA/mTOR,48,48,1.0,48,18,14,12,4,0.7143,0.6921,0.6921,0
