pair,n_scored,n_cache_matches_both_max,n_any_end_max_ne_median,n_class_flip_theta6,label_agreement,pct_class_flip,frozen_summary_min,api_max_summary_min,api_median_summary_min,frozen_n_dual_A_B,api_max_n_dual_A_B,api_median_n_dual_A_B,delta_api_median_minus_api_max,delta_api_median_minus_frozen,note
EGFR/HER2,110,109,40,7,0.936364,6.36,0.3237,0.3136,0.3135,28/38/32,29/37/32,26/35/33,-0.0001,-0.0101,AUROC recomputed on current_score_master scores. AChE AB_056 added from current ablation; API not re-fetched for that ligand (panel pChEMBL used as max/median). CIs left blank; point AUROC only.
AChE/BChE,96,96,13,1,0.989583,1.04,0.6058,0.6058,0.6291,27/26/28,27/26/28,26/26/28,0.0233,0.0233,AUROC recomputed on current_score_master scores. AChE AB_056 added from current ablation; API not re-fetched for that ligand (panel pChEMBL used as max/median). CIs left blank; point AUROC only.
PIK3CA/mTOR,48,48,27,0,1.0,0.0,0.6921,0.6921,0.6921,18/14/12,18/14/12,18/14/12,0.0,0.0,AUROC recomputed on current_score_master scores. AChE AB_056 added from current ablation; API not re-fetched for that ligand (panel pChEMBL used as max/median). CIs left blank; point AUROC only.
