pair,class,n_ligands,n_murcko_scaffolds,singleton_scaffold_ligand_fraction,heavy_median,heavy_q1,heavy_q3,mw_median,mw_q1,mw_q3,clogp_median,clogp_q1,clogp_q3,tpsa_median,tpsa_q1,tpsa_q3,formal_charge_median,formal_charge_q1,formal_charge_q3,rotatable_bonds_median,rotatable_bonds_q1,rotatable_bonds_q3,nearest_dual_ecfp4_median,nearest_dual_ecfp4_q1,nearest_dual_ecfp4_q3,nearest_dual_note,interpretation
EGFR/HER2,dual,28,26,0.8571,35.0,31.5,38.25,481.58,439.464,539.3005,4.8823,3.7266,5.7477,95.215,86.1625,106.335,0.0,0.0,0.0,7.0,5.0,9.0,0.4205,0.3271,0.5649,nearest other dual,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
EGFR/HER2,A_only,38,30,0.6579,29.0,24.0,35.0,433.8395,352.8393,508.8103,4.6521,3.4232,5.5432,80.215,65.8525,96.435,0.0,0.0,0.0,5.0,4.0,7.0,0.3921,0.2308,0.4565,nearest member of dual class,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
EGFR/HER2,B_only,32,26,0.6875,38.0,34.75,40.0,512.7685,475.3713,548.678,4.9,4.191,5.4607,97.05,90.96,109.7,0.0,0.0,0.0,7.0,5.0,7.0,0.3672,0.3064,0.4306,nearest member of dual class,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
EGFR/HER2,neither,12,10,0.6667,25.5,22.75,27.25,373.029,323.5345,416.7168,3.7614,2.8157,5.0384,67.6,52.125,99.54,0.0,0.0,0.0,5.0,3.75,7.0,0.1543,0.1483,0.1665,nearest member of dual class,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
AChE/BChE,dual,27,26,0.9259,35.0,27.0,40.0,471.611,366.439,559.8915,5.6395,3.262,6.982,76.02,51.365,95.69,0.0,0.0,0.0,9.0,4.5,12.0,0.4742,0.36,0.6436,nearest other dual,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
AChE/BChE,A_only,25,19,0.56,29.0,26.0,36.0,409.466,380.488,490.388,4.5002,3.8337,5.5397,38.77,32.78,71.94,0.0,0.0,0.0,6.0,5.0,12.0,0.236,0.1918,0.3133,nearest member of dual class,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
AChE/BChE,B_only,28,25,0.8214,31.0,28.75,33.0,425.5945,389.543,459.441,5.1806,4.3582,6.6898,48.13,39.2325,59.1075,0.0,0.0,0.0,8.0,6.75,11.25,0.2527,0.2154,0.4509,nearest member of dual class,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
AChE/BChE,neither,15,12,0.6667,31.0,25.0,32.5,422.525,358.552,443.5655,4.6402,4.0359,5.4661,50.8,30.52,59.08,0.0,0.0,0.0,8.0,5.5,9.0,0.236,0.2196,0.2556,nearest member of dual class,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
PIK3CA/PIK3CB,dual,28,24,0.75,33.5,29.75,38.0,477.7345,408.214,548.905,3.6921,2.6428,4.3225,97.52,78.845,123.35,0.0,0.0,0.0,5.0,4.0,6.0,0.6065,0.2826,0.7273,nearest other dual,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
PIK3CA/PIK3CB,A_only,27,22,0.7037,29.0,26.5,34.5,417.56,395.007,482.0855,3.1443,2.5231,3.8682,105.07,100.24,121.62,0.0,0.0,0.0,4.0,3.0,5.5,0.25,0.2166,0.3203,nearest member of dual class,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
PIK3CA/PIK3CB,B_only,28,20,0.4643,28.5,26.75,32.25,396.169,371.4468,442.746,2.1278,1.6462,2.5529,88.04,76.04,98.065,0.0,0.0,0.0,4.5,4.0,6.25,0.4194,0.3293,0.4732,nearest member of dual class,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
PIK3CA/PIK3CB,neither,16,14,0.75,25.5,24.0,33.0,377.067,320.106,496.961,3.4299,2.6207,4.2783,92.05,81.6425,100.1025,0.0,0.0,0.0,4.5,2.0,6.0,0.1765,0.1543,0.2495,nearest member of dual class,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
PIK3CA/mTOR,dual,18,18,1.0,30.5,28.25,35.0,421.4545,388.4425,491.3468,2.3126,1.6468,3.1649,102.5,82.755,114.7925,0.0,0.0,0.0,3.5,2.25,5.0,0.3666,0.3077,0.4074,nearest other dual,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
PIK3CA/mTOR,A_only,14,14,1.0,30.5,29.0,35.5,427.462,400.3948,512.964,2.5244,1.3051,3.4987,124.175,105.1825,134.5075,0.0,0.0,0.0,5.0,4.25,6.0,0.226,0.2034,0.2606,nearest member of dual class,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
PIK3CA/mTOR,B_only,12,11,0.8333,31.5,29.75,34.0,442.9745,403.4553,467.5303,3.2694,2.6429,3.9652,97.2,93.07,114.6925,0.0,0.0,0.0,5.0,4.0,5.0,0.3061,0.2674,0.3408,nearest member of dual class,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
PIK3CA/mTOR,neither,4,4,1.0,23.5,21.75,26.25,328.5915,292.5913,369.722,2.5999,2.3874,2.9802,103.375,93.815,107.6225,0.0,0.0,0.0,3.0,2.5,3.25,0.3947,0.3279,0.4921,nearest member of dual class,descriptive post-hoc confounding audit; correlated descriptors; no multiplicity-adjusted tests
