chembl_id,smiles
CHEMBL1095618,Nc1ccc(-c2nc(N3CCOCC3)c3cnn(-c4ccccc4)c3n2)cn1
CHEMBL1095623,CNC(=O)Cc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1
CHEMBL1095625,Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1
CHEMBL1096939,CC(C)=CCC/C(C)=C/Cc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)c(O)cc1O
CHEMBL1098242,CC(C)(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1
CHEMBL1098300,COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(-c4ccccc4)c3n2)cc1
CHEMBL1098301,COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1
CHEMBL113902,C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC
CHEMBL114073,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/C(C)N1CCOCC1
CHEMBL114392,C=C(CN1CCOCC1)C(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1
CHEMBL115440,COCCOCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1
CHEMBL115519,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3cc(Cl)ccc3s2)c1O
CHEMBL115895,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2NC(C)=O)c1O
CHEMBL1161236,COc1cc(C=C(C#N)C#N)cc(SCC(=O)O)c1O
CHEMBL116423,Cc1cc(C=C(C#N)C#N)cc(O)c1O
CHEMBL1172803,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Cl)cc1
CHEMBL1172877,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1F
CHEMBL1172878,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1Cl
CHEMBL1172951,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc(F)c1
CHEMBL1172957,NS(=O)(=O)c1ccc(Nc2nc(N3CCOCC3)nc3[nH]cnc23)cc1
CHEMBL1173651,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Br)cc1
CHEMBL1173655,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
CHEMBL1173667,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(O)cc1
CHEMBL1173713,COc1ccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1
CHEMBL118000,N#Cc1cnc2ccc(NC(=O)/C=C/CN3CCOCC3)cc2c1Nc1ccc(F)c(Cl)c1
CHEMBL11805,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC
CHEMBL118109,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O
CHEMBL119156,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccn2)c1O
CHEMBL1202865,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CCC4)CC2)cc1
CHEMBL1202874,Cl.Cl.c1ccc(CN2CCC(CCSc3ccc(-c4ccccc4)nn3)CC2)cc1
CHEMBL1202875,Cl.Cl.O.c1ccc(CN2CCC(CCOc3ccc(-c4ccccc4)nn3)CC2)cc1
CHEMBL1206,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
CHEMBL1213084,Cc1ccccc1-n1c(Cn2nc(-c3cc(O)cc(F)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O
CHEMBL1213116,Cc1ccccc1-n1c(Cn2nc(C#CCO)c3c(N)ncnc32)nc2cccc(C)c2c1=O
CHEMBL1213168,COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(F)cc2)cc(OC)c1
CHEMBL122522,COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2)c1O
