pair,contrast,caliper_sd,n_dual_matched,n_neg_matched,n_dual_full,n_neg_full,auroc_matched,ci_lo,ci_hi,auroc_full,delta_matched_minus_full,underpowered,note
EGFR/HER2,D_vs_A_pocketB,0.5,7,7,28,38,0.6122,0.2857,0.898,0.6664,-0.0541,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
EGFR/HER2,D_vs_A_pocketB,1.0,17,17,28,38,0.6332,0.4324,0.8201,0.6664,-0.0331,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
EGFR/HER2,D_vs_B_pocketA,0.5,7,7,28,32,0.6122,0.2857,0.9184,0.4297,0.1826,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
EGFR/HER2,D_vs_B_pocketA,1.0,16,16,28,32,0.5664,0.3555,0.7812,0.4297,0.1367,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
AChE/BChE,D_vs_A_pocketB,0.5,4,4,27,25,0.375,0.0,0.8125,0.6504,-0.2754,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
AChE/BChE,D_vs_A_pocketB,1.0,12,12,27,25,0.5764,0.3403,0.8056,0.6504,-0.074,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
AChE/BChE,D_vs_B_pocketA,0.5,5,5,27,28,0.56,0.16,0.96,0.6058,-0.0458,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
AChE/BChE,D_vs_B_pocketA,1.0,13,13,27,28,0.4615,0.2426,0.6923,0.6058,-0.1443,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PIK3CA/PIK3CB,D_vs_A_pocketB,0.5,2,2,28,27,0.5,0.0,1.0,0.6905,-0.1905,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PIK3CA/PIK3CB,D_vs_A_pocketB,1.0,14,14,28,27,0.75,0.5459,0.9286,0.6905,0.0595,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PIK3CA/PIK3CB,D_vs_B_pocketA,0.5,4,4,28,28,0.25,0.0,0.75,0.5,-0.25,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PIK3CA/PIK3CB,D_vs_B_pocketA,1.0,9,9,28,28,0.5556,0.284,0.8272,0.5,0.0556,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PIK3CA/mTOR,D_vs_A_pocketB,0.5,2,2,18,14,0.0,0.0,0.0,0.7143,-0.7143,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PIK3CA/mTOR,D_vs_A_pocketB,1.0,8,8,18,14,0.6719,0.3438,1.0,0.7143,-0.0424,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PIK3CA/mTOR,D_vs_B_pocketA,0.5,1,1,18,12,1.0,1.0,1.0,0.6921,0.3079,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PIK3CA/mTOR,D_vs_B_pocketA,1.0,5,5,18,12,0.72,0.32,1.0,0.6921,0.0279,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
