panel_id,molecule_chembl_id,class,pchembl_MCL1,pchembl_BCL2L1,smiles,inchi_key,murcko_scaffold,seed,docked,note
MXD001,CHEMBL2312483,dual,7.82,7.37,O=C1N=C2C(=C1NCCCc1ccccc1)c1ccc(N3CCSCC3)c3cccc2c13,UIMDYSCARYVYQT-UHFFFAOYSA-N,O=C1N=C2C(=C1NCCCc1ccccc1)c1ccc(N3CCSCC3)c3cccc2c13,20260729,0,ChEMBL map freeze; B-only is exhaustive at n=24; no unused-pool holdout
MXD002,CHEMBL5285186,dual,7.6,6.18,CC1=C(C2=C(C)C(=O)C3C(C(C)C)=C(O)C(O)=CC3C2=O)C(=O)c2cc(O)c(O)c(C(C)C)c2C1=O,LPXRVGQCOVEUKF-UHFFFAOYSA-N,O=C1C=C(C2=CC(=O)C3C=CC=CC3C2=O)C(=O)c2ccccc21,20260729,0,ChEMBL map freeze; B-only is exhaustive at n=24; no unused-pool holdout
MXD003,CHEMBL3401800,dual,7.07,6.27,O=C(NS(=O)(=O)c1ccccc1)[C@H](Cc1ccc(Br)cc1)N1C(=O)/C(=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)SC1=S,WVYGCYJTGGCNTL-QWJUGSESSA-N,O=C(NS(=O)(=O)c1ccccc1)C(Cc1ccccc1)N1C(=O)C(=Cc2ccc(-c3ccccc3)cc2)SC1=S,20260729,0,ChEMBL map freeze; B-only is exhaustive at n=24; no unused-pool holdout
MXD004,CHEMBL3401816,dual,7.2,6.31,O=C(NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)[C@H](Cc1ccc(Br)cc1)N1C(=O)/C(=C/c2ccc(-c3ccc(Cl)cc3)cc2)SC1=S,XZEBFHCFALOIHZ-ZNBSHBAVSA-N,O=C(NS(=O)(=O)c1ccccc1)C(Cc1ccccc1)N1C(=O)C(=Cc2ccc(-c3ccccc3)cc2)SC1=S,20260729,0,ChEMBL map freeze; B-only is exhaustive at n=24; no unused-pool holdout
MXD005,CHEMBL3926515,dual,6.1,6.96,COc1cccc(/C=C/C(=O)Nc2ccc(C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c([N+](=O)[O-])c3)cc2)c1,JVHXRIVLIHFPMN-LICLKQGHSA-N,O=C(C=Cc1ccccc1)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)cc2)cc1,20260729,0,ChEMBL map freeze; B-only is exhaustive at n=24; no unused-pool holdout
MXD006,CHEMBL443684,dual,6.3,10.26,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,JLYAXFNOILIKPP-KXQOOQHDSA-N,O=C(NS(=O)(=O)c1ccc(NC(CCN2CCOCC2)CSc2ccccc2)cc1)c1ccc(N2CCN(CC3=C(c4ccccc4)CCCC3)CC2)cc1,20260729,0,ChEMBL map freeze; B-only is exhaustive at n=24; no unused-pool holdout
MXD007,CHEMBL538616,dual,6.7,6.96,Cc1cc2c(C(=O)NCC(C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NCC(C)c3ccccc3)c(O)c(O)cc2c1O,RAYNZUHYMMLQQA-UHFFFAOYSA-N,O=C(NCCc1ccccc1)c1cccc2cc(-c3ccc4c(C(=O)NCCc5ccccc5)cccc4c3)ccc12,20260729,0,ChEMBL map freeze; B-only is exhaustive at n=24; no unused-pool holdout
MXD008,CHEMBL4165406,dual,6.75,6.32,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1cc2cc(C(C)C)c(O)c(O)c2c(C=O)c1O,KCXHDKMLQFEYLA-UHFFFAOYSA-N,c1ccc2cc(-c3ccc4ccccc4c3)ccc2c1,20260729,0,ChEMBL map freeze; B-only is exhaustive at n=24; no unused-pool holdout
MXD009,CHEMBL1269110,dual,6.57,6.96,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3Cc3ccc(Cl)cc3)C2=O)C(=O)c2cc(O)c(O)c(Cc3ccc(Cl)cc3)c2C1=O,GKDOLFRTQJYSLY-UHFFFAOYSA-N,O=C1C(C2=CC(=O)c3c(Cc4ccccc4)cccc3C2=O)=CC(=O)c2c(Cc3ccccc3)cccc21,20260729,0,ChEMBL map freeze; B-only is exhaustive at n=24; no unused-pool holdout
MXD010,CHEMBL1272224,dual,6.51,6.43,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3CC(C)C)C2=O)C(=O)c2cc(O)c(O)c(CC(C)C)c2C1=O,QMQSAWHWCPIWPF-UHFFFAOYSA-N,O=C1C=C(C2=CC(=O)c3ccccc3C2=O)C(=O)c2ccccc21,20260729,0,ChEMBL map freeze; B-only is exhaustive at n=24; no unused-pool holdout
MXD011,CHEMBL3781669,dual,7.1,6.72,O=C(O)c1cc(S(=O)(=O)Nc2ccc(Oc3ccc(Cl)cc3Cl)cc2)c2ccccc2c1O,MHLNOPQXHVWPEC-UHFFFAOYSA-N,O=S(=O)(Nc1ccc(Oc2ccccc2)cc1)c1cccc2ccccc12,20260729,0,ChEMBL map freeze; B-only is exhaustive at n=24; no unused-pool holdout
