pair,ligand,molecule_chembl_id,frozen_class,high_conf_class,pchembl_A,pchembl_B,n_records_A,n_records_B,standard_types_A,standard_types_B,assay_types_A,assay_types_B,organisms_A,organisms_B,n_documents,documents,loo_auroc_delta,priority_flags,machine_incomparability_flag,human_include_exclude,human_reviewed_class,human_rationale,reviewed_by,review_date,note
EGFR/HER2,EH40_01,CHEMBL1614725,dual,dual,9.0,8.52,5,3,IC50;Kd,IC50,B,B,Homo sapiens,Homo sapiens,6,CHEMBL1921673;CHEMBL2321748;CHEMBL2346616;CHEMBL3632549;CHEMBL3991601;CHEMBL4665812,0.013,egfr_directional_priority;mixed_endpoint,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_02,CHEMBL554,dual,dual,10.22,8.8,84,46,EC50;IC50;Kd;Ki,EC50;IC50;Kd;Ki,B;F,B;F,Homo sapiens,Homo sapiens,41,CHEMBL1140899;CHEMBL1144455;CHEMBL1146682;CHEMBL1149340;CHEMBL1150977;CHEMBL1154692;CHEMBL1156213;CHEMBL1157563;CHEMBL1201862;CHEMBL1255185;CHEMBL1629443;CHEMBL1908390;CHEMBL1926681;CHEMBL3098113;CHEMBL3352165;CHEMBL3414443;CHEMBL3745647;CHEMBL3853296;CHEMBL3870325;CHEMBL3881529;CHEMBL3991601;CHEMBL4270595;CHEMBL4321790;CHEMBL4325914;CHEMBL4387720;CHEMBL4393671;CHEMBL4627322;CHEMBL4665812;CHEMBL4715878;CHEMBL4765304;CHEMBL4808203;CHEMBL5030535;CHEMBL5214889;CHEMBL5360595;CHEMBL5444388;CHEMBL5445981;CHEMBL5446079;CHEMBL5465560;CHEMBL5543120;CHEMBL5647683;CHEMBL5727419,0.0165,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_03,CHEMBL5977738,dual,dual,9.85,9.47,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL5729445,0.0075,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_04,CHEMBL2006715,dual,dual,8.7,8.4,1,1,Ki,Ki,F,F,,,1,CHEMBL1201862,0.0211,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_05,CHEMBL483321,dual,dual,8.19,8.0,13,20,IC50;Kd,IC50;Kd,B,B;F,Homo sapiens,Homo sapiens;Mus musculus,8,CHEMBL1150417;CHEMBL1150977;CHEMBL3991601;CHEMBL5444388;CHEMBL5445981;CHEMBL5446079;CHEMBL5465560;CHEMBL5661975,0.0046,egfr_directional_priority;mixed_endpoint;biochem_and_functional;non_human_assay_organism;top_document_series,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_06,CHEMBL3911796,dual,dual,8.38,7.79,1,1,IC50,IC50,B,B,Homo sapiens,Homo sapiens,1,CHEMBL3870325,-0.0067,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_07,CHEMBL257816,dual,dual,7.89,7.57,1,1,IC50,IC50,B,B,,,1,CHEMBL1145585,-0.0101,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_08,CHEMBL193681,dual,dual,7.4,7.52,1,3,IC50,IC50,B,B;F,Homo sapiens,Homo sapiens,1,CHEMBL1140398,-0.0067,egfr_directional_priority;biochem_and_functional,1,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_09,CHEMBL175556,dual,dual,7.7,7.23,1,1,IC50,IC50,F,F,Homo sapiens,Homo sapiens,1,CHEMBL1142663,0.02,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
EGFR/HER2,EH40_10,CHEMBL604094,dual,dual,7.08,7.36,1,2,IC50,IC50,B,B,,Homo sapiens,2,CHEMBL1157563;CHEMBL3881527,-0.0148,egfr_directional_priority,0,,,,,,machine extraction only; frozen label unchanged until human review
