pair,n_ranked,n_dual,n_A_only,n_B_only,n_neither,top_fraction,top_k,top_dual,top_A_only,top_B_only,top_neither,top_dual_fraction,panel_dual_fraction,ef_dual_10pct,top_ligand_ids,ranking_rule,tie_rule,and_threshold,and_n_input,and_n_pass,and_dual,and_A_only,and_B_only,and_dual_recall,and_dual_precision,filter_rule
EGFR/HER2,110,28,38,32,12,0.1,11,1,5,5,0,0.0909,0.2545,0.3571,EH40_18;EH40_04;EH120_088;EH40_28;EH120_085;EH120_062;EH120_072;EH40_23;EH120_083;EH40_33;EH120_061,k=ceil(0.10 n); S_mean=(score_A+score_B)/2; EF=(top_dual/k)/(n_dual/n),descending score_mean then ascending ligand ID,9.7070,98,47,14,9,24,0.5000,0.2979,score_worst >= median_dual_score_worst; neither excluded
JAK1/JAK2,110,32,32,32,14,0.1,11,6,5,0,0,0.5455,0.2909,1.8750,J1J2_074;J1J2_081;J1J2_072;J1J2_031;J1J2_075;J1J2_096;J1J2_029;J1J2_026;J1J2_013;J1J2_027;J1J2_088,k=ceil(0.10 n); S_mean=(score_A+score_B)/2; EF=(top_dual/k)/(n_dual/n),descending score_mean then ascending ligand ID,9.1935,96,35,16,13,6,0.5000,0.4571,score_worst >= median_dual_score_worst; neither excluded
JAK1/TYK2,109,31,32,32,14,0.1,11,1,3,7,0,0.0909,0.2844,0.3196,J1TYK2_006;J1TYK2_064;J1TYK2_042;J1TYK2_056;J1TYK2_058;J1TYK2_046;J1TYK2_069;J1TYK2_060;J1TYK2_023;J1TYK2_063;J1TYK2_009,k=ceil(0.10 n); S_mean=(score_A+score_B)/2; EF=(top_dual/k)/(n_dual/n),descending score_mean then ascending ligand ID,8.8290,95,50,16,12,22,0.5161,0.3200,score_worst >= median_dual_score_worst; neither excluded
PIK3CA/mTOR,48,18,14,12,4,0.1,5,4,1,0,0,0.8000,0.3750,2.1333,PM48_04;PM48_02;PM48_31;PM48_07;PM48_10,k=ceil(0.10 n); S_mean=(score_A+score_B)/2; EF=(top_dual/k)/(n_dual/n),descending score_mean then ascending ligand ID,8.2400,44,17,9,4,4,0.5000,0.5294,score_worst >= median_dual_score_worst; neither excluded
AChE/BChE,96,27,26,28,15,0.1,10,5,3,1,1,0.5000,0.2812,1.7778,AB_004;AB_057;AB_030;AB_005;AB_017;AB_026;AB_098;AB_027;AB_048;AB_037,k=ceil(0.10 n); S_mean=(score_A+score_B)/2; EF=(top_dual/k)/(n_dual/n),descending score_mean then ascending ligand ID,9.7640,81,32,14,7,11,0.5185,0.4375,score_worst >= median_dual_score_worst; neither excluded
F2/F10,107,31,32,32,12,0.1,11,4,1,6,0,0.3636,0.2897,1.2551,F2F10_061;F2F10_096;F2F10_086;F2F10_058;F2F10_046;F2F10_068;F2F10_021;F2F10_053;F2F10_081;F2F10_054;F2F10_055,k=ceil(0.10 n); S_mean=(score_A+score_B)/2; EF=(top_dual/k)/(n_dual/n),descending score_mean then ascending ligand ID,8.7580,95,59,16,20,23,0.5161,0.2712,score_worst >= median_dual_score_worst; neither excluded
PPARG/PPARA,109,32,31,32,14,0.1,11,7,3,0,1,0.6364,0.2936,2.1676,PGPA_074;PGPA_069;PGPA_102;PGPA_001;PGPA_096;PGPA_011;PGPA_068;PGPA_009;PGPA_087;PGPA_067;PGPA_083,k=ceil(0.10 n); S_mean=(score_A+score_B)/2; EF=(top_dual/k)/(n_dual/n),descending score_mean then ascending ligand ID,8.8815,95,31,16,9,6,0.5000,0.5161,score_worst >= median_dual_score_worst; neither excluded
PPARA/PPARD,110,32,32,32,14,0.1,11,5,2,3,1,0.4545,0.2909,1.5625,PAPD_104;PAPD_085;PAPD_018;PAPD_033;PAPD_017;PAPD_064;PAPD_082;PAPD_055;PAPD_070;PAPD_075;PAPD_076,k=ceil(0.10 n); S_mean=(score_A+score_B)/2; EF=(top_dual/k)/(n_dual/n),descending score_mean then ascending ligand ID,8.7145,96,58,16,22,20,0.5000,0.2759,score_worst >= median_dual_score_worst; neither excluded
