pair,contrast,n_pos,n_neg,true_auroc,n_mc,n_boot,p_ci_excludes_0p5,se_binomial,mean_point_auroc
EGFR/HER2,dual_vs_A_only,28,38,0.50,1000,2000,0.056,0.00727076,0.4997
EGFR/HER2,dual_vs_B_only,28,32,0.50,1000,2000,0.051,0.00695694,0.495787
EGFR/HER2,dual_vs_neither,28,12,0.50,1000,2000,0.06,0.00750999,0.500083
EGFR/HER2,summary_min,28,38/32,0.50,1000,2000,0.109,0.0098549,0.458309
EGFR/HER2,dual_vs_A_only,28,38,0.55,1000,2000,0.109,0.0098549,0.552236
EGFR/HER2,dual_vs_B_only,28,32,0.55,1000,2000,0.101,0.00952885,0.548598
EGFR/HER2,dual_vs_neither,28,12,0.55,1000,2000,0.092,0.0091398,0.546009
EGFR/HER2,summary_min,28,38/32,0.55,1000,2000,0.025,0.0049371,0.512225
EGFR/HER2,dual_vs_A_only,28,38,0.60,1000,2000,0.322,0.0147755,0.603647
EGFR/HER2,dual_vs_B_only,28,32,0.60,1000,2000,0.276,0.0141359,0.603664
EGFR/HER2,dual_vs_neither,28,12,0.60,1000,2000,0.188,0.0123554,0.59656
EGFR/HER2,summary_min,28,38/32,0.60,1000,2000,0.065,0.00779583,0.561108
EGFR/HER2,dual_vs_A_only,28,38,0.65,1000,2000,0.549,0.0157353,0.646757
EGFR/HER2,dual_vs_B_only,28,32,0.65,1000,2000,0.508,0.0158094,0.647132
EGFR/HER2,dual_vs_neither,28,12,0.65,1000,2000,0.323,0.0147875,0.647637
EGFR/HER2,summary_min,28,38/32,0.65,1000,2000,0.268,0.0140063,0.609232
EGFR/HER2,dual_vs_A_only,28,38,0.70,1000,2000,0.818,0.0122015,0.697687
EGFR/HER2,dual_vs_B_only,28,32,0.70,1000,2000,0.8,0.0126491,0.701866
EGFR/HER2,dual_vs_neither,28,12,0.70,1000,2000,0.533,0.0157769,0.695107
EGFR/HER2,summary_min,28,38/32,0.70,1000,2000,0.621,0.0153414,0.661021
EGFR/HER2,dual_vs_A_only,28,38,0.75,1000,2000,0.959,0.00627049,0.750194
EGFR/HER2,dual_vs_B_only,28,32,0.75,1000,2000,0.942,0.00739162,0.749315
EGFR/HER2,dual_vs_neither,28,12,0.75,1000,2000,0.748,0.0137294,0.749363
EGFR/HER2,summary_min,28,38/32,0.75,1000,2000,0.907,0.00918428,0.715532
JAK1/JAK2,dual_vs_A_only,32,32,0.50,1000,2000,0.052,0.00702111,0.500563
JAK1/JAK2,dual_vs_B_only,32,32,0.50,1000,2000,0.062,0.00762601,0.499789
JAK1/JAK2,dual_vs_neither,32,14,0.50,1000,2000,0.063,0.00768316,0.501815
JAK1/JAK2,summary_min,32,32/32,0.50,1000,2000,0.113,0.0100115,0.461864
JAK1/JAK2,dual_vs_A_only,32,32,0.55,1000,2000,0.108,0.00981509,0.548798
JAK1/JAK2,dual_vs_B_only,32,32,0.55,1000,2000,0.115,0.0100884,0.549061
JAK1/JAK2,dual_vs_neither,32,14,0.55,1000,2000,0.085,0.00881901,0.551502
JAK1/JAK2,summary_min,32,32/32,0.55,1000,2000,0.018,0.00420428,0.510361
JAK1/JAK2,dual_vs_A_only,32,32,0.60,1000,2000,0.276,0.0141359,0.599769
JAK1/JAK2,dual_vs_B_only,32,32,0.60,1000,2000,0.313,0.0146639,0.602779
JAK1/JAK2,dual_vs_neither,32,14,0.60,1000,2000,0.223,0.0131632,0.600366
JAK1/JAK2,summary_min,32,32/32,0.60,1000,2000,0.066,0.00785137,0.561175
JAK1/JAK2,dual_vs_A_only,32,32,0.65,1000,2000,0.578,0.0156178,0.652127
JAK1/JAK2,dual_vs_B_only,32,32,0.65,1000,2000,0.565,0.0156772,0.649265
JAK1/JAK2,dual_vs_neither,32,14,0.65,1000,2000,0.371,0.0152761,0.651317
JAK1/JAK2,summary_min,32,32/32,0.65,1000,2000,0.285,0.014275,0.613192
JAK1/JAK2,dual_vs_A_only,32,32,0.70,1000,2000,0.814,0.0123046,0.698837
JAK1/JAK2,dual_vs_B_only,32,32,0.70,1000,2000,0.829,0.0119063,0.698689
JAK1/JAK2,dual_vs_neither,32,14,0.70,1000,2000,0.631,0.0152591,0.703339
JAK1/JAK2,summary_min,32,32/32,0.70,1000,2000,0.639,0.0151881,0.661618
JAK1/JAK2,dual_vs_A_only,32,32,0.75,1000,2000,0.966,0.00573097,0.748571
JAK1/JAK2,dual_vs_B_only,32,32,0.75,1000,2000,0.955,0.00655553,0.749493
JAK1/JAK2,dual_vs_neither,32,14,0.75,1000,2000,0.816,0.0122533,0.749281
JAK1/JAK2,summary_min,32,32/32,0.75,1000,2000,0.911,0.00900439,0.71819
JAK1/TYK2,dual_vs_A_only,31,32,0.50,1000,2000,0.048,0.00675988,0.499523
JAK1/TYK2,dual_vs_B_only,31,32,0.50,1000,2000,0.058,0.00739162,0.499248
JAK1/TYK2,dual_vs_neither,31,14,0.50,1000,2000,0.069,0.00801492,0.504894
JAK1/TYK2,summary_min,31,32/32,0.50,1000,2000,0.117,0.0101642,0.458313
JAK1/TYK2,dual_vs_A_only,31,32,0.55,1000,2000,0.1,0.00948683,0.551355
JAK1/TYK2,dual_vs_B_only,31,32,0.55,1000,2000,0.094,0.00922843,0.547969
JAK1/TYK2,dual_vs_neither,31,14,0.55,1000,2000,0.091,0.009095,0.553675
JAK1/TYK2,summary_min,31,32/32,0.55,1000,2000,0.033,0.00564898,0.51068
JAK1/TYK2,dual_vs_A_only,31,32,0.60,1000,2000,0.277,0.0141517,0.602908
JAK1/TYK2,dual_vs_B_only,31,32,0.60,1000,2000,0.27,0.0140392,0.597769
JAK1/TYK2,dual_vs_neither,31,14,0.60,1000,2000,0.201,0.0126728,0.595765
JAK1/TYK2,summary_min,31,32/32,0.60,1000,2000,0.053,0.00708456,0.556363
JAK1/TYK2,dual_vs_A_only,31,32,0.65,1000,2000,0.548,0.0157384,0.651754
JAK1/TYK2,dual_vs_B_only,31,32,0.65,1000,2000,0.542,0.0157555,0.647055
JAK1/TYK2,dual_vs_neither,31,14,0.65,1000,2000,0.373,0.0152928,0.646968
JAK1/TYK2,summary_min,31,32/32,0.65,1000,2000,0.28,0.0141986,0.612713
JAK1/TYK2,dual_vs_A_only,31,32,0.70,1000,2000,0.808,0.0124554,0.700836
JAK1/TYK2,dual_vs_B_only,31,32,0.70,1000,2000,0.796,0.012743,0.698409
JAK1/TYK2,dual_vs_neither,31,14,0.70,1000,2000,0.607,0.0154451,0.698263
JAK1/TYK2,summary_min,31,32/32,0.70,1000,2000,0.623,0.0153255,0.659953
JAK1/TYK2,dual_vs_A_only,31,32,0.75,1000,2000,0.956,0.00648568,0.751325
JAK1/TYK2,dual_vs_B_only,31,32,0.75,1000,2000,0.951,0.00682635,0.750298
JAK1/TYK2,dual_vs_neither,31,14,0.75,1000,2000,0.813,0.0123301,0.748841
JAK1/TYK2,summary_min,31,32/32,0.75,1000,2000,0.904,0.00931579,0.713754
PIK3CA/mTOR,dual_vs_A_only,18,14,0.50,1000,2000,0.052,0.00702111,0.497036
PIK3CA/mTOR,dual_vs_B_only,18,12,0.50,1000,2000,0.051,0.00695694,0.502398
PIK3CA/mTOR,dual_vs_neither,18,4,0.50,1000,2000,0.099,0.00944452,0.495917
PIK3CA/mTOR,summary_min,18,14/12,0.50,1000,2000,0.117,0.0101642,0.441546
PIK3CA/mTOR,dual_vs_A_only,18,14,0.55,1000,2000,0.095,0.00927227,0.54925
PIK3CA/mTOR,dual_vs_B_only,18,12,0.55,1000,2000,0.069,0.00801492,0.546551
PIK3CA/mTOR,dual_vs_neither,18,4,0.55,1000,2000,0.121,0.010313,0.554667
PIK3CA/mTOR,summary_min,18,14/12,0.55,1000,2000,0.037,0.00596917,0.489765
PIK3CA/mTOR,dual_vs_A_only,18,14,0.60,1000,2000,0.164,0.0117091,0.600758
PIK3CA/mTOR,dual_vs_B_only,18,12,0.60,1000,2000,0.168,0.0118227,0.600639
