pair,end,n_ligands,n_repeated,median_max_minus_median,q95_max_minus_median,spearman_log_count_vs_gap,spearman_p_unadjusted,note
EGFR/HER2,A,110,41,0.0,1.591,0.8922,0.0,diagnostic association; includes singletons with zero aggregation gap; not causal
EGFR/HER2,B,110,24,0.0,0.9102,0.8573,0.0,diagnostic association; includes singletons with zero aggregation gap; not causal
AChE/BChE,A,95,15,0.0,0.1115,0.8008,0.0,diagnostic association; includes singletons with zero aggregation gap; not causal
AChE/BChE,B,95,7,0.0,0.013,0.9239,0.0,diagnostic association; includes singletons with zero aggregation gap; not causal
PIK3CA/PIK3CB,A,99,15,0.0,0.335,0.9245,0.0,diagnostic association; includes singletons with zero aggregation gap; not causal
PIK3CA/PIK3CB,B,99,21,0.0,0.4,0.8905,0.0,diagnostic association; includes singletons with zero aggregation gap; not causal
PIK3CA/mTOR,A,48,27,0.0,1.2805,0.7935,0.0,diagnostic association; includes singletons with zero aggregation gap; not causal
PIK3CA/mTOR,B,48,26,0.0,1.8205,0.8756,0.0,diagnostic association; includes singletons with zero aggregation gap; not causal
