pair,ligand,molecule_chembl_id,frozen_class,cached_pA,cached_pB,api_max_A,api_median_A,n_pchembl_A,n_activity_A,cache_matches_api_max_A,api_max_B,api_median_B,n_pchembl_B,n_activity_B,cache_matches_api_max_B,class_max_theta6,class_median_theta6,flip_max_to_median,max_ne_median_A,max_ne_median_B
EGFR/HER2,EH40_01,CHEMBL1614725,dual,9.0,8.52,9.0,7.64,5,5,1,8.52,7.904999999999999,4,4,1,dual,dual,0,1,1
EGFR/HER2,EH40_02,CHEMBL554,dual,10.22,8.8,10.22,7.995,138,209,1,8.8,7.82,68,109,1,dual,dual,0,1,1
EGFR/HER2,EH40_03,CHEMBL5977738,dual,9.85,9.47,9.85,9.85,1,3,1,9.47,9.47,1,3,1,dual,dual,0,0,0
EGFR/HER2,EH40_04,CHEMBL2006715,dual,8.7,8.4,8.7,8.7,1,1,1,8.4,8.4,1,1,1,dual,dual,0,0,0
EGFR/HER2,EH40_05,CHEMBL483321,dual,8.19,8.0,8.19,6.195,16,31,1,8.0,7.37,27,34,1,dual,dual,0,1,1
EGFR/HER2,EH40_06,CHEMBL3911796,dual,8.38,7.79,8.38,8.38,1,1,1,7.79,7.79,1,1,1,dual,dual,0,0,0
EGFR/HER2,EH40_07,CHEMBL257816,dual,7.89,7.57,7.89,7.89,1,1,1,7.57,7.57,1,1,1,dual,dual,0,0,0
EGFR/HER2,EH40_08,CHEMBL193681,dual,7.4,7.52,7.4,7.4,1,1,1,7.52,5.24,3,3,1,dual,A_only,1,0,1
EGFR/HER2,EH40_09,CHEMBL175556,dual,7.7,7.23,7.7,7.7,1,1,1,7.23,7.23,1,1,1,dual,dual,0,0,0
EGFR/HER2,EH40_10,CHEMBL604094,dual,7.08,7.36,7.08,7.08,2,3,1,7.36,7.36,3,3,1,dual,dual,0,0,0
EGFR/HER2,EH40_11,CHEMBL3977326,dual,7.68,6.91,7.68,7.68,1,1,1,6.91,6.91,1,1,1,dual,dual,0,0,0
EGFR/HER2,EH40_12,CHEMBL402011,dual,6.75,8.1,6.75,6.75,1,1,1,8.1,7.574999999999999,2,2,1,dual,dual,0,0,1
EGFR/HER2,EH40_13,CHEMBL3680374,dual,8.01,6.61,8.01,8.01,2,4,1,6.61,6.61,1,1,1,dual,dual,0,0,0
EGFR/HER2,EH40_14,CHEMBL5204650,dual,6.38,6.92,6.38,6.38,1,1,1,6.92,6.92,1,1,1,dual,dual,0,0,0
EGFR/HER2,EH40_15,CHEMBL1645469,dual,6.18,7.7,6.18,6.18,1,1,1,7.7,7.7,1,1,1,dual,dual,0,0,0
EGFR/HER2,EH40_16,CHEMBL2325101,A_only,7.3,5.99,7.3,7.3,1,3,1,5.99,5.99,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH40_17,CHEMBL91925,A_only,7.14,5.93,7.14,7.14,1,1,1,5.93,5.93,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH40_18,CHEMBL2000832,A_only,6.3,5.9,6.3,6.3,1,1,1,5.9,5.9,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH40_19,CHEMBL589560,A_only,6.17,5.85,6.17,6.17,1,1,1,5.85,5.85,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH40_20,CHEMBL3357639,A_only,9.59,5.8,9.59,8.629999999999999,2,2,1,5.8,5.8,1,1,1,A_only,A_only,0,1,0
EGFR/HER2,EH40_21,CHEMBL2112370,A_only,6.88,5.72,6.88,6.88,1,1,1,5.72,5.72,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH40_22,CHEMBL1081849,A_only,6.01,5.65,6.01,6.01,1,2,1,5.65,5.65,1,2,1,A_only,A_only,0,0,0
EGFR/HER2,EH40_23,CHEMBL3633938,A_only,6.35,5.57,6.35,6.35,1,1,1,5.57,5.57,1,1,1,A_only,A_only,0,0,0
EGFR/HER2,EH40_24,CHEMBL602328,A_only,6.01,5.45,6.01,6.01,1,1,1,5.45,5.45,1,1,1,A_only,A_only,0,0,0
