pair,ligand,molecule_chembl_id,frozen_class,api_max_class,adjudicated_primary_only_class,api_max_A,api_max_B,primary_only_max_A,primary_only_max_B,arm_A_status,arm_B_status,flip_vs_api_max,flip_vs_frozen,model_eligible_primary_only
EGFR/HER2,EH40_01,CHEMBL1614725,dual,dual,dual,9.0,8.52,9.0,8.52,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_02,CHEMBL554,dual,dual,dual,10.22,8.8,10.22,8.8,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_03,CHEMBL5977738,dual,dual,dual,9.85,9.47,9.85,9.47,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_04,CHEMBL2006715,dual,dual,dual,8.7,8.4,8.7,8.4,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_05,CHEMBL483321,dual,dual,dual,8.19,8.0,8.19,8.0,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_06,CHEMBL3911796,dual,dual,dual,8.38,7.79,8.38,7.79,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_07,CHEMBL257816,dual,dual,dual,7.89,7.57,7.89,7.57,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_08,CHEMBL193681,dual,dual,dual,7.4,7.52,7.4,7.52,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_09,CHEMBL175556,dual,dual,dual,7.7,7.23,7.7,7.23,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_10,CHEMBL604094,dual,dual,dual,7.08,7.36,7.08,7.36,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_11,CHEMBL3977326,dual,dual,dual,7.68,6.91,7.68,6.91,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_12,CHEMBL402011,dual,dual,dual,6.75,8.1,6.75,8.1,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_13,CHEMBL3680374,dual,dual,dual,8.01,6.61,8.01,6.61,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_14,CHEMBL5204650,dual,dual,dual,6.38,6.92,6.38,6.92,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_15,CHEMBL1645469,dual,dual,dual,6.18,7.7,6.18,7.7,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_16,CHEMBL2325101,A_only,A_only,A_only,7.3,5.99,7.3,5.99,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_17,CHEMBL91925,A_only,A_only,A_only,7.14,5.93,7.14,5.93,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_18,CHEMBL2000832,A_only,A_only,A_only,6.3,5.9,6.3,5.9,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_19,CHEMBL589560,A_only,A_only,A_only,6.17,5.85,6.17,5.85,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_20,CHEMBL3357639,A_only,A_only,A_only,9.59,5.8,9.59,5.8,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_21,CHEMBL2112370,A_only,A_only,A_only,6.88,5.72,6.88,5.72,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
EGFR/HER2,EH40_22,CHEMBL1081849,A_only,A_only,A_only,6.01,5.65,6.01,5.65,unchanged_not_adjudicated,unchanged_not_adjudicated,0,0,1
