pair,ligand,cls,pA,pB,score_A,score_B
AChE/BChE,AB_004,dual,8.88,6.88,13.025,11.1
AChE/BChE,AB_005,dual,7.35,7.53,12.595,10.593
AChE/BChE,AB_006,dual,8.17,7.6,11.127,10.122
AChE/BChE,AB_007,dual,8.29,8.86,11.484,9.76
AChE/BChE,AB_008,dual,7.52,7.23,9.327,8.118
AChE/BChE,AB_009,dual,6.8,7.15,10.631,8.845
AChE/BChE,AB_010,dual,6.84,6.81,9.541,9.224
AChE/BChE,AB_011,dual,6.51,6.67,10.958,10.85
AChE/BChE,AB_012,dual,7.33,7.91,9.742,8.209
AChE/BChE,AB_013,dual,6.79,7.66,9.239,9.171
AChE/BChE,AB_014,dual,8.74,7.5,11.676,10.316
AChE/BChE,AB_015,dual,9.5,7.2,10.839,11.108
AChE/BChE,AB_016,dual,7.45,7.82,10.706,9.764
AChE/BChE,AB_017,dual,7.61,7.99,11.945,11.139
AChE/BChE,AB_018,dual,7.21,7.29,7.006,7.105
AChE/BChE,AB_019,dual,8.34,9.6,12.056,10.448
AChE/BChE,AB_020,dual,6.52,7.0,9.364,7.433
AChE/BChE,AB_021,dual,7.0,7.13,10.721,9.653
AChE/BChE,AB_022,dual,9.0,8.82,11.864,10.181
AChE/BChE,AB_023,dual,8.12,8.63,11.293,10.06
AChE/BChE,AB_024,dual,7.96,7.26,10.283,8.926
AChE/BChE,AB_025,dual,6.85,7.44,10.609,8.952
AChE/BChE,AB_026,dual,8.22,8.22,12.539,10.459
AChE/BChE,AB_027,dual,7.25,7.51,12.257,10.5
AChE/BChE,AB_028,dual,8.05,6.66,7.749,11.346
AChE/BChE,AB_029,A_only,7.39,5.09,12.498,9.843
AChE/BChE,AB_030,A_only,6.52,5.46,13.815,9.57
AChE/BChE,AB_031,A_only,7.27,5.08,11.574,9.353
AChE/BChE,AB_032,A_only,6.52,4.5,10.807,8.264
AChE/BChE,AB_033,A_only,6.77,5.19,11.821,9.536
AChE/BChE,AB_034,A_only,6.84,4.98,10.878,9.64
AChE/BChE,AB_035,A_only,6.57,5.09,11.291,10.082
AChE/BChE,AB_036,A_only,6.68,5.01,10.483,9.479
AChE/BChE,AB_037,A_only,6.96,4.04,12.441,10.081
AChE/BChE,AB_038,A_only,7.28,5.3,11.232,9.505
AChE/BChE,AB_039,A_only,7.25,5.09,10.369,7.811
AChE/BChE,AB_040,A_only,8.48,5.07,10.009,8.669
AChE/BChE,AB_041,A_only,7.92,4.15,9.936,9.213
AChE/BChE,AB_042,A_only,6.83,4.41,11.504,8.371
AChE/BChE,AB_043,A_only,7.94,5.14,11.888,9.691
AChE/BChE,AB_044,A_only,7.02,4.92,11.23,9.71
AChE/BChE,AB_045,A_only,7.44,4.44,11.381,10.174
AChE/BChE,AB_046,A_only,8.48,5.07,10.009,8.669
AChE/BChE,AB_047,A_only,7.39,5.37,12.196,9.917
AChE/BChE,AB_048,A_only,7.01,4.73,12.774,9.869
AChE/BChE,AB_049,A_only,7.42,4.28,11.248,10.522
AChE/BChE,AB_050,A_only,6.85,5.11,9.954,8.68
AChE/BChE,AB_051,A_only,9.3,5.3,10.822,9.494
AChE/BChE,AB_052,A_only,7.8,4.32,8.428,7.544
AChE/BChE,AB_055,A_only,6.82,4.68,8.796,8.059
AChE/BChE,AB_057,B_only,5.12,8.64,11.874,11.713
AChE/BChE,AB_058,B_only,5.39,7.1,11.041,10.394
AChE/BChE,AB_059,B_only,5.25,7.88,7.329,6.578
AChE/BChE,AB_060,B_only,4.99,7.1,10.865,9.942
AChE/BChE,AB_061,B_only,5.41,7.77,11.078,9.487
AChE/BChE,AB_062,B_only,4.33,6.51,11.035,10.579
AChE/BChE,AB_063,B_only,5.38,6.82,9.254,12.319
AChE/BChE,AB_064,B_only,4.22,6.58,9.749,8.07
AChE/BChE,AB_065,B_only,5.27,6.54,11.135,9.995
AChE/BChE,AB_066,B_only,4.26,6.55,9.434,11.168
AChE/BChE,AB_067,B_only,5.27,7.09,7.805,6.896
AChE/BChE,AB_068,B_only,5.42,7.16,12.07,10.066
AChE/BChE,AB_069,B_only,5.42,8.19,9.707,8.703
AChE/BChE,AB_070,B_only,5.11,7.53,10.477,9.567
AChE/BChE,AB_071,B_only,5.02,7.12,10.845,10.179
AChE/BChE,AB_072,B_only,5.31,6.54,11.431,10.877
AChE/BChE,AB_073,B_only,5.0,7.04,9.536,10.291
AChE/BChE,AB_074,B_only,4.63,8.64,8.259,6.904
AChE/BChE,AB_075,B_only,4.49,6.55,10.154,8.704
AChE/BChE,AB_076,B_only,5.17,7.16,10.373,9.351
AChE/BChE,AB_077,B_only,4.7,7.3,8.4,7.807
AChE/BChE,AB_078,B_only,5.12,7.66,7.662,6.744
AChE/BChE,AB_079,B_only,5.14,8.96,11.475,10.598
AChE/BChE,AB_080,B_only,4.82,6.93,10.759,8.793
AChE/BChE,AB_081,B_only,5.08,6.92,11.336,10.148
AChE/BChE,AB_082,B_only,5.07,8.72,7.888,7.659
AChE/BChE,AB_083,B_only,5.46,6.82,10.999,9.674
AChE/BChE,AB_084,B_only,5.48,8.7,11.785,10.678
AChE/BChE,AB_085,neither,5.12,4.5,9.59,7.561
AChE/BChE,AB_086,neither,5.0,5.03,10.419,9.758
AChE/BChE,AB_087,neither,5.19,5.47,11.395,9.668
AChE/BChE,AB_088,neither,5.12,4.82,10.266,8.479
AChE/BChE,AB_089,neither,4.78,5.12,11.528,8.907
AChE/BChE,AB_090,neither,4.51,5.46,10.336,8.445
AChE/BChE,AB_091,neither,4.76,5.19,10.594,8.735
AChE/BChE,AB_092,neither,5.05,4.98,9.566,7.713
AChE/BChE,AB_093,neither,4.17,4.21,10.324,10.2
AChE/BChE,AB_094,neither,4.71,5.29,10.472,8.896
AChE/BChE,AB_095,neither,4.81,5.15,10.85,9.456
AChE/BChE,AB_096,neither,4.45,4.9,10.472,8.055
AChE/BChE,AB_098,neither,5.21,4.74,11.784,11.206
AChE/BChE,AB_099,neither,5.31,5.14,10.939,8.751
AChE/BChE,AB_100,neither,5.03,4.44,9.776,8.384
F2/F10,F2F10_001,A_only,8.64,5.19,8.879,9.624
F2/F10,F2F10_002,A_only,6.8,4.16,8.738,8.783
F2/F10,F2F10_003,A_only,6.84,4.58,8.845,9.169
F2/F10,F2F10_004,A_only,7.37,5.28,9.875,9.818
F2/F10,F2F10_005,A_only,7.32,5.35,9.67,9.823
F2/F10,F2F10_006,A_only,6.52,5.31,9.533,9.633
F2/F10,F2F10_007,A_only,6.54,5.22,9.743,9.08
F2/F10,F2F10_008,A_only,6.9,4.06,7.327,8.402
F2/F10,F2F10_009,A_only,6.58,5.11,10.681,9.91
F2/F10,F2F10_010,A_only,6.7,4.98,9.956,9.308
F2/F10,F2F10_011,A_only,6.72,4.89,8.432,9.468
F2/F10,F2F10_012,A_only,6.71,5.22,9.974,9.585
F2/F10,F2F10_013,A_only,7.05,5.17,8.434,8.942
F2/F10,F2F10_014,A_only,7.8,5.25,8.551,8.837
F2/F10,F2F10_015,A_only,10.25,4.02,9.111,9.834
F2/F10,F2F10_016,A_only,7.57,4.34,9.851,10.171
F2/F10,F2F10_017,A_only,7.5,5.41,7.921,8.23
F2/F10,F2F10_018,A_only,7.96,4.28,8.68,8.802
F2/F10,F2F10_019,A_only,6.52,5.5,8.309,9.135
F2/F10,F2F10_020,A_only,6.58,5.08,8.757,9.028
F2/F10,F2F10_021,A_only,7.02,4.18,10.111,10.836
F2/F10,F2F10_022,A_only,8.34,4.1,10.266,9.801
F2/F10,F2F10_023,A_only,9.09,5.08,9.083,9.751
F2/F10,F2F10_024,A_only,7.29,5.25,8.697,9.93
F2/F10,F2F10_025,A_only,8.92,5.42,9.342,9.402
F2/F10,F2F10_026,A_only,6.96,5.36,9.523,9.568
F2/F10,F2F10_027,A_only,6.62,5.47,9.092,8.964
F2/F10,F2F10_028,A_only,8.15,5.03,8.933,8.255
F2/F10,F2F10_029,A_only,8.4,5.17,9.214,9.282
F2/F10,F2F10_030,A_only,8.3,5.19,9.267,8.922
F2/F10,F2F10_031,A_only,7.54,4.17,8.156,8.653
F2/F10,F2F10_032,A_only,8.22,4.92,9.247,10.334
F2/F10,F2F10_033,B_only,5.2,7.15,8.159,8.77
F2/F10,F2F10_034,B_only,5.1,8.1,9.939,9.741
F2/F10,F2F10_035,B_only,5.48,7.3,9.623,8.54
F2/F10,F2F10_036,B_only,5.5,8.96,9.755,9.062
F2/F10,F2F10_037,B_only,5.4,8.4,9.108,8.962
F2/F10,F2F10_038,B_only,4.7,8.2,9.781,9.49
F2/F10,F2F10_039,B_only,4.75,8.31,8.886,9.122
F2/F10,F2F10_040,B_only,4.62,7.46,9.11,8.203
F2/F10,F2F10_041,B_only,5.49,9.25,10.124,10.367
F2/F10,F2F10_042,B_only,5.3,7.0,9.737,10.095
F2/F10,F2F10_043,B_only,5.05,8.64,10.643,9.945
F2/F10,F2F10_044,B_only,5.11,8.89,8.865,9.579
F2/F10,F2F10_045,B_only,5.41,7.43,9.159,8.794
F2/F10,F2F10_046,B_only,4.89,8.28,11.127,9.881
F2/F10,F2F10_047,B_only,5.4,9.15,9.534,9.738
F2/F10,F2F10_048,B_only,4.32,7.64,9.476,9.083
F2/F10,F2F10_049,B_only,4.82,7.52,9.719,9.547
F2/F10,F2F10_050,B_only,4.89,6.7,8.655,9.001
F2/F10,F2F10_051,B_only,5.3,8.4,8.684,9.196
F2/F10,F2F10_052,B_only,5.48,7.24,8.673,9.281
F2/F10,F2F10_053,B_only,5.42,9.2,10.522,10.273
F2/F10,F2F10_054,B_only,4.89,8.6,10.254,10.385
F2/F10,F2F10_055,B_only,4.45,6.62,9.943,10.657
F2/F10,F2F10_056,B_only,5.4,9.19,8.25,8.298
F2/F10,F2F10_057,B_only,5.12,8.59,9.471,9.782
F2/F10,F2F10_058,B_only,5.42,8.38,10.741,10.427
F2/F10,F2F10_059,B_only,5.4,8.1,7.927,8.692
F2/F10,F2F10_060,B_only,4.82,6.6,9.043,9.454
F2/F10,F2F10_061,B_only,5.41,8.21,11.085,11.04
F2/F10,F2F10_062,B_only,4.42,7.58,9.371,10.028
F2/F10,F2F10_063,B_only,5.2,8.8,9.432,9.862
F2/F10,F2F10_064,B_only,4.85,7.82,7.997,8.766
F2/F10,F2F10_065,dual,9.02,7.03,6.948,7.261
F2/F10,F2F10_066,dual,9.27,7.4,6.918,6.726
F2/F10,F2F10_067,dual,8.77,8.15,9.118,9.797
F2/F10,F2F10_068,dual,10.22,8.92,10.627,10.358
F2/F10,F2F10_069,dual,7.5,6.54,9.152,9.289
F2/F10,F2F10_070,dual,6.75,9.7,10.171,9.995
F2/F10,F2F10_071,dual,8.82,6.78,7.425,8.631
F2/F10,F2F10_072,dual,6.92,9.3,9.407,9.41
F2/F10,F2F10_073,dual,7.14,8.85,9.318,7.925
F2/F10,F2F10_074,dual,6.62,7.11,8.749,8.12
F2/F10,F2F10_075,dual,6.58,8.1,9.319,9.738
F2/F10,F2F10_076,dual,6.52,10.43,10.499,10.072
F2/F10,F2F10_077,dual,9.15,7.69,6.445,6.733
F2/F10,F2F10_078,dual,6.52,8.34,7.389,5.837
F2/F10,F2F10_079,dual,6.7,7.68,8.853,9.208
F2/F10,F2F10_081,dual,6.6,10.0,10.072,10.66
F2/F10,F2F10_082,dual,6.92,9.51,9.383,10.359
F2/F10,F2F10_083,dual,6.8,10.92,9.149,9.29
F2/F10,F2F10_084,dual,6.7,6.89,7.689,7.561
F2/F10,F2F10_085,dual,6.64,10.7,9.674,10.326
F2/F10,F2F10_086,dual,7.32,10.34,10.672,10.548
F2/F10,F2F10_087,dual,7.3,9.19,8.243,8.53
F2/F10,F2F10_088,dual,7.79,9.92,8.938,8.369
F2/F10,F2F10_089,dual,8.7,9.09,8.937,8.059
F2/F10,F2F10_090,dual,8.89,9.09,8.578,7.835
F2/F10,F2F10_091,dual,8.31,9.17,8.404,8.909
F2/F10,F2F10_092,dual,9.72,9.02,8.585,8.216
F2/F10,F2F10_093,dual,8.38,9.3,8.848,8.758
F2/F10,F2F10_094,dual,10.7,6.7,8.517,10.044
F2/F10,F2F10_095,dual,6.57,7.0,9.076,9.168
F2/F10,F2F10_096,dual,7.12,7.54,10.86,10.723
F2/F10,F2F10_097,neither,4.92,4.62,8.688,10.054
F2/F10,F2F10_098,neither,4.7,5.3,8.518,8.924
F2/F10,F2F10_099,neither,4.0,4.52,9.438,9.863
F2/F10,F2F10_100,neither,5.16,4.06,9.743,9.946
F2/F10,F2F10_101,neither,4.22,4.72,8.253,7.835
F2/F10,F2F10_102,neither,4.36,5.46,9.392,8.719
F2/F10,F2F10_103,neither,4.7,4.47,8.737,8.089
F2/F10,F2F10_104,neither,4.64,5.37,8.811,8.023
F2/F10,F2F10_107,neither,4.38,4.32,9.472,9.313
F2/F10,F2F10_108,neither,4.3,4.03,8.342,8.597
F2/F10,F2F10_109,neither,4.64,4.51,8.236,8.065
F2/F10,F2F10_110,neither,4.51,5.35,9.524,9.534
PPARG/PPARA,PGPA_001,A_only,7.05,5.48,9.742,9.737
PPARG/PPARA,PGPA_002,A_only,6.8,4.68,7.901,8.816
PPARG/PPARA,PGPA_003,A_only,6.52,5.3,7.933,8.194
PPARG/PPARA,PGPA_004,A_only,6.97,5.5,9.088,8.981
PPARG/PPARA,PGPA_005,A_only,7.31,5.45,8.33,7.485
PPARG/PPARA,PGPA_006,A_only,7.75,5.38,8.02,7.277
PPARG/PPARA,PGPA_007,A_only,7.23,4.96,9.005,9.472
PPARG/PPARA,PGPA_008,A_only,8.33,5.44,8.621,10.293
PPARG/PPARA,PGPA_009,A_only,6.69,4.99,9.357,9.903
PPARG/PPARA,PGPA_010,A_only,6.59,5.0,8.961,9.32
PPARG/PPARA,PGPA_011,A_only,8.7,5.1,9.214,10.153
PPARG/PPARA,PGPA_012,A_only,8.4,5.48,8.539,9.024
PPARG/PPARA,PGPA_013,A_only,8.89,5.19,8.766,9.443
PPARG/PPARA,PGPA_014,A_only,8.3,4.94,8.429,7.617
PPARG/PPARA,PGPA_015,A_only,7.05,5.26,8.385,9.469
PPARG/PPARA,PGPA_016,A_only,7.52,5.0,8.454,8.894
PPARG/PPARA,PGPA_017,A_only,8.0,5.0,8.304,9.618
PPARG/PPARA,PGPA_018,A_only,6.8,5.49,8.962,9.005
PPARG/PPARA,PGPA_019,A_only,7.3,5.03,9.138,9.426
PPARG/PPARA,PGPA_020,A_only,7.52,5.0,7.686,8.093
PPARG/PPARA,PGPA_021,A_only,7.3,5.0,7.039,7.084
PPARG/PPARA,PGPA_022,A_only,6.7,5.0,8.016,8.52
PPARG/PPARA,PGPA_023,A_only,8.83,5.19,8.348,9.961
PPARG/PPARA,PGPA_024,A_only,6.51,5.0,9.843,9.157
PPARG/PPARA,PGPA_025,A_only,6.52,5.39,9.91,7.633
PPARG/PPARA,PGPA_026,A_only,7.55,5.14,8.429,8.452
PPARG/PPARA,PGPA_027,A_only,6.96,5.39,8.73,7.571
PPARG/PPARA,PGPA_028,A_only,6.7,5.26,8.996,8.014
PPARG/PPARA,PGPA_029,A_only,7.35,5.02,6.489,6.639
PPARG/PPARA,PGPA_031,A_only,7.21,5.17,8.521,8.7
PPARG/PPARA,PGPA_032,A_only,8.7,5.3,9.091,8.349
PPARG/PPARA,PGPA_033,B_only,5.46,7.33,8.444,9.586
PPARG/PPARA,PGPA_034,B_only,5.32,7.17,8.499,9.202
PPARG/PPARA,PGPA_035,B_only,5.4,6.96,8.814,9.102
PPARG/PPARA,PGPA_036,B_only,5.36,7.92,8.298,8.305
PPARG/PPARA,PGPA_037,B_only,5.34,7.39,9.099,9.52
PPARG/PPARA,PGPA_038,B_only,5.25,7.82,8.876,8.919
PPARG/PPARA,PGPA_039,B_only,5.31,8.0,8.393,9.314
PPARG/PPARA,PGPA_040,B_only,5.43,6.64,9.152,9.439
PPARG/PPARA,PGPA_041,B_only,4.63,8.33,8.539,9.437
PPARG/PPARA,PGPA_042,B_only,5.39,6.52,8.3,7.951
PPARG/PPARA,PGPA_043,B_only,5.26,7.0,8.049,8.448
PPARG/PPARA,PGPA_044,B_only,5.0,6.82,9.047,9.162
PPARG/PPARA,PGPA_045,B_only,5.0,6.71,9.321,9.305
PPARG/PPARA,PGPA_046,B_only,5.16,8.0,8.241,9.525
PPARG/PPARA,PGPA_047,B_only,5.0,7.52,7.931,8.888
PPARG/PPARA,PGPA_048,B_only,5.3,6.68,8.645,8.431
PPARG/PPARA,PGPA_049,B_only,5.09,8.22,9.259,9.655
PPARG/PPARA,PGPA_050,B_only,5.21,7.72,8.504,8.603
PPARG/PPARA,PGPA_051,B_only,4.82,8.4,8.768,9.763
PPARG/PPARA,PGPA_052,B_only,5.0,7.84,7.79,8.657
PPARG/PPARA,PGPA_053,B_only,5.04,7.03,7.719,8.848
PPARG/PPARA,PGPA_054,B_only,5.38,6.69,9.476,8.427
PPARG/PPARA,PGPA_055,B_only,5.04,6.89,8.87,9.818
PPARG/PPARA,PGPA_056,B_only,5.0,7.72,7.053,9.031
PPARG/PPARA,PGPA_057,B_only,5.19,7.62,8.731,8.972
PPARG/PPARA,PGPA_058,B_only,5.0,7.52,8.402,8.7
PPARG/PPARA,PGPA_059,B_only,5.46,6.7,9.36,8.837
PPARG/PPARA,PGPA_060,B_only,5.31,8.12,7.139,7.12
PPARG/PPARA,PGPA_061,B_only,5.41,7.96,8.23,8.412
PPARG/PPARA,PGPA_062,B_only,5.09,6.72,8.591,9.104
PPARG/PPARA,PGPA_063,B_only,5.26,6.65,9.278,9.549
PPARG/PPARA,PGPA_064,B_only,5.28,6.82,8.047,8.448
PPARG/PPARA,PGPA_065,dual,7.43,7.28,8.614,9.044
PPARG/PPARA,PGPA_066,dual,8.35,7.66,9.43,8.694
PPARG/PPARA,PGPA_067,dual,7.03,7.54,9.032,10.137
PPARG/PPARA,PGPA_068,dual,7.35,7.19,9.507,9.836
PPARG/PPARA,PGPA_069,dual,7.68,6.77,9.363,10.313
PPARG/PPARA,PGPA_070,dual,7.3,8.1,9.352,8.274
PPARG/PPARA,PGPA_071,dual,8.1,7.16,8.77,9.153
PPARG/PPARA,PGPA_072,dual,7.7,6.86,7.843,7.719
PPARG/PPARA,PGPA_073,dual,7.08,6.64,8.892,8.885
PPARG/PPARA,PGPA_074,dual,7.4,7.4,9.535,10.384
PPARG/PPARA,PGPA_075,dual,8.05,8.0,9.413,9.183
PPARG/PPARA,PGPA_076,dual,8.4,8.0,8.846,9.168
PPARG/PPARA,PGPA_077,dual,6.92,6.85,9.21,8.118
PPARG/PPARA,PGPA_078,dual,8.28,8.39,8.301,9.14
PPARG/PPARA,PGPA_079,dual,8.15,7.16,8.933,9.269
PPARG/PPARA,PGPA_080,dual,7.0,7.13,7.911,7.796
PPARG/PPARA,PGPA_081,dual,8.7,7.11,9.441,9.56
PPARG/PPARA,PGPA_082,dual,9.27,7.97,9.311,9.223
PPARG/PPARA,PGPA_083,dual,6.89,9.0,9.651,9.437
PPARG/PPARA,PGPA_084,dual,8.51,8.3,8.844,9.31
PPARG/PPARA,PGPA_085,dual,7.58,7.34,9.08,9.665
PPARG/PPARA,PGPA_086,dual,6.85,7.22,9.353,8.256
PPARG/PPARA,PGPA_087,dual,9.0,9.0,9.255,9.998
PPARG/PPARA,PGPA_088,dual,6.62,10.52,8.888,9.998
PPARG/PPARA,PGPA_089,dual,7.52,7.05,8.359,9.589
PPARG/PPARA,PGPA_090,dual,7.52,8.4,9.498,8.878
PPARG/PPARA,PGPA_091,dual,6.68,7.25,8.141,8.448
PPARG/PPARA,PGPA_092,dual,6.6,7.0,8.953,8.916
PPARG/PPARA,PGPA_093,dual,7.51,8.7,8.042,9.495
PPARG/PPARA,PGPA_094,dual,8.52,7.47,8.989,9.559
PPARG/PPARA,PGPA_095,dual,7.3,7.1,8.1,9.318
PPARG/PPARA,PGPA_096,dual,7.11,7.07,9.229,10.18
PPARG/PPARA,PGPA_097,neither,4.52,4.52,5.79,6.679
PPARG/PPARA,PGPA_098,neither,5.1,4.7,6.851,6.199
PPARG/PPARA,PGPA_099,neither,5.44,5.4,7.038,6.428
PPARG/PPARA,PGPA_100,neither,4.92,5.03,8.452,9.871
PPARG/PPARA,PGPA_101,neither,5.14,5.21,8.756,8.813
PPARG/PPARA,PGPA_102,neither,5.12,5.33,10.097,9.522
PPARG/PPARA,PGPA_103,neither,5.07,5.28,8.289,9.233
PPARG/PPARA,PGPA_104,neither,5.35,5.44,9.273,9.377
PPARG/PPARA,PGPA_105,neither,4.37,5.11,7.289,7.512
PPARG/PPARA,PGPA_106,neither,4.75,5.36,8.843,9.589
PPARG/PPARA,PGPA_107,neither,5.4,5.3,8.634,9.373
PPARG/PPARA,PGPA_108,neither,5.3,5.1,9.172,9.686
PPARG/PPARA,PGPA_109,neither,5.31,4.39,7.646,8.195
PPARG/PPARA,PGPA_110,neither,4.44,4.85,7.217,7.286
PPARA/PPARD,PAPD_001,A_only,7.7,5.22,9.366,9.77
PPARA/PPARD,PAPD_002,A_only,8.4,5.44,8.344,8.429
PPARA/PPARD,PAPD_003,A_only,8.22,5.12,9.217,10.283
PPARA/PPARD,PAPD_004,A_only,7.02,5.42,9.913,9.92
PPARA/PPARD,PAPD_005,A_only,7.38,5.33,8.173,8.311
PPARA/PPARD,PAPD_006,A_only,7.14,5.34,8.784,10.074
PPARA/PPARD,PAPD_007,A_only,6.9,5.46,8.757,9.568
PPARA/PPARD,PAPD_008,A_only,7.16,5.39,9.009,10.028
PPARA/PPARD,PAPD_009,A_only,8.4,5.34,7.303,10.035
PPARA/PPARD,PAPD_010,A_only,6.64,5.04,8.885,10.475
PPARA/PPARD,PAPD_011,A_only,6.52,4.7,7.951,8.74
PPARA/PPARD,PAPD_012,A_only,7.7,4.82,9.811,9.468
PPARA/PPARD,PAPD_013,A_only,7.7,5.1,8.392,8.425
PPARA/PPARD,PAPD_014,A_only,6.8,5.0,8.75,9.162
PPARA/PPARD,PAPD_015,A_only,7.11,5.22,8.403,10.738
PPARA/PPARD,PAPD_016,A_only,8.4,4.6,9.893,10.383
PPARA/PPARD,PAPD_017,A_only,7.21,5.3,10.052,10.991
PPARA/PPARD,PAPD_018,A_only,8.05,4.98,10.094,11.061
PPARA/PPARD,PAPD_019,A_only,8.4,5.08,8.558,10.85
PPARA/PPARD,PAPD_020,A_only,6.77,5.22,8.565,10.721
PPARA/PPARD,PAPD_021,A_only,7.22,4.89,8.099,8.395
PPARA/PPARD,PAPD_022,A_only,7.62,5.42,8.972,9.101
PPARA/PPARD,PAPD_023,A_only,7.3,5.35,8.747,9.602
PPARA/PPARD,PAPD_024,A_only,6.51,5.17,8.229,9.444
PPARA/PPARD,PAPD_025,A_only,7.4,5.3,9.233,10.116
PPARA/PPARD,PAPD_026,A_only,8.05,5.28,9.295,9.271
PPARA/PPARD,PAPD_027,A_only,6.8,5.1,9.178,9.366
PPARA/PPARD,PAPD_028,A_only,7.17,5.17,9.278,9.561
PPARA/PPARD,PAPD_029,A_only,7.89,5.1,9.176,9.798
PPARA/PPARD,PAPD_030,A_only,7.1,5.1,8.891,9.543
PPARA/PPARD,PAPD_031,A_only,7.7,5.1,8.8,9.699
PPARA/PPARD,PAPD_032,A_only,7.92,5.15,9.597,10.122
PPARA/PPARD,PAPD_033,B_only,5.28,7.28,10.138,10.995
PPARA/PPARD,PAPD_034,B_only,5.38,7.12,8.026,10.381
PPARA/PPARD,PAPD_035,B_only,4.8,7.2,5.718,8.65
PPARA/PPARD,PAPD_036,B_only,4.8,6.8,7.331,8.795
PPARA/PPARD,PAPD_037,B_only,4.7,7.1,6.382,9.927
PPARA/PPARD,PAPD_038,B_only,4.7,7.4,7.998,9.823
PPARA/PPARD,PAPD_039,B_only,4.7,6.9,6.45,9.436
PPARA/PPARD,PAPD_040,B_only,4.8,7.5,6.36,9.893
PPARA/PPARD,PAPD_041,B_only,5.07,7.0,9.682,10.745
PPARA/PPARD,PAPD_042,B_only,4.96,8.1,9.472,10.243
PPARA/PPARD,PAPD_043,B_only,5.4,7.6,9.224,9.34
PPARA/PPARD,PAPD_044,B_only,5.24,8.89,9.512,9.476
PPARA/PPARD,PAPD_045,B_only,5.28,8.66,9.642,10.265
PPARA/PPARD,PAPD_046,B_only,5.14,7.96,8.931,9.894
PPARA/PPARD,PAPD_047,B_only,5.03,8.34,9.246,8.904
PPARA/PPARD,PAPD_048,B_only,5.38,7.16,8.705,10.25
PPARA/PPARD,PAPD_049,B_only,5.42,8.11,8.502,9.742
PPARA/PPARD,PAPD_050,B_only,5.33,7.37,9.522,10.408
PPARA/PPARD,PAPD_051,B_only,5.3,6.92,9.382,9.574
PPARA/PPARD,PAPD_052,B_only,5.28,8.22,9.017,9.285
PPARA/PPARD,PAPD_053,B_only,5.0,7.55,8.896,9.604
PPARA/PPARD,PAPD_054,B_only,5.4,8.1,9.677,10.811
PPARA/PPARD,PAPD_055,B_only,5.0,7.9,9.429,11.359
PPARA/PPARD,PAPD_056,B_only,5.3,8.1,9.373,11.17
PPARA/PPARD,PAPD_057,B_only,5.4,7.5,8.653,11.421
PPARA/PPARD,PAPD_058,B_only,5.4,8.4,8.586,10.352
PPARA/PPARD,PAPD_059,B_only,5.5,7.9,9.249,10.825
PPARA/PPARD,PAPD_060,B_only,5.3,8.0,8.742,10.05
PPARA/PPARD,PAPD_061,B_only,5.44,6.92,8.641,10.338
PPARA/PPARD,PAPD_062,B_only,5.2,7.6,9.531,10.426
PPARA/PPARD,PAPD_063,B_only,5.5,7.8,8.754,10.897
PPARA/PPARD,PAPD_064,B_only,5.37,8.44,9.534,11.5
PPARA/PPARD,PAPD_065,dual,6.82,6.52,9.269,9.392
PPARA/PPARD,PAPD_066,dual,7.48,6.81,9.422,10.353
PPARA/PPARD,PAPD_067,dual,8.4,8.43,9.202,10.385
PPARA/PPARD,PAPD_068,dual,7.92,6.96,8.305,9.404
PPARA/PPARD,PAPD_069,dual,7.46,9.0,7.297,10.216
PPARA/PPARD,PAPD_070,dual,7.43,6.85,9.992,10.717
PPARA/PPARD,PAPD_071,dual,6.51,6.51,8.986,9.719
PPARA/PPARD,PAPD_072,dual,7.8,7.06,9.503,9.459
PPARA/PPARD,PAPD_073,dual,8.3,8.72,8.677,10.276
PPARA/PPARD,PAPD_074,dual,6.85,8.36,8.752,9.952
PPARA/PPARD,PAPD_075,dual,6.95,8.89,10.335,10.276
PPARA/PPARD,PAPD_076,dual,7.28,8.39,10.098,10.51
PPARA/PPARD,PAPD_077,dual,7.72,6.68,8.791,9.569
PPARA/PPARD,PAPD_078,dual,6.76,8.0,8.952,10.184
PPARA/PPARD,PAPD_079,dual,6.58,8.0,8.245,8.952
PPARA/PPARD,PAPD_080,dual,6.73,7.4,6.301,8.109
PPARA/PPARD,PAPD_081,dual,8.52,8.52,9.376,10.51
PPARA/PPARD,PAPD_082,dual,6.87,8.66,10.643,10.351
PPARA/PPARD,PAPD_083,dual,8.1,7.68,8.918,9.713
PPARA/PPARD,PAPD_084,dual,7.27,6.92,8.159,11.11
PPARA/PPARD,PAPD_085,dual,7.43,6.85,10.192,11.145
PPARA/PPARD,PAPD_086,dual,7.03,8.52,9.987,9.979
PPARA/PPARD,PAPD_087,dual,7.89,6.55,8.331,11.29
PPARA/PPARD,PAPD_088,dual,8.15,7.03,8.406,11.172
PPARA/PPARD,PAPD_089,dual,7.89,7.55,8.239,10.889
PPARA/PPARD,PAPD_090,dual,7.92,7.6,8.353,11.259
PPARA/PPARD,PAPD_091,dual,9.05,8.21,6.406,10.91
PPARA/PPARD,PAPD_092,dual,6.57,8.12,8.613,10.531
PPARA/PPARD,PAPD_093,dual,8.66,7.63,6.274,9.795
PPARA/PPARD,PAPD_094,dual,6.78,7.04,6.711,9.046
