pair,ligand,cls,pA,pB,score_A,score_B
EGFR/HER2,EH120_092,B_only,5.34,7.31,10.644,10.866
EGFR/HER2,EH120_093,B_only,5.86,7.71,10.452,10.71
EGFR/HER2,EH120_094,B_only,4.73,6.46,8.489,8.576
EGFR/HER2,EH120_095,B_only,5.96,7.64,10.233,10.532
EGFR/HER2,EH120_096,B_only,5.67,7.28,10.59,10.62
EGFR/HER2,EH120_097,B_only,5.68,7.16,9.965,10.406
EGFR/HER2,EH120_098,B_only,5.33,6.8,10.395,10.696
EGFR/HER2,EH120_099,B_only,4.82,6.21,10.287,9.877
EGFR/HER2,EH120_100,B_only,5.86,7.23,10.092,10.464
EGFR/HER2,EH120_101,B_only,5.38,6.67,10.699,10.642
EGFR/HER2,EH120_102,neither,4.16,4.18,6.794,6.923
EGFR/HER2,EH120_103,neither,4.33,4.28,8.688,9.134
EGFR/HER2,EH120_104,neither,4.35,4.24,10.207,11.154
EGFR/HER2,EH120_105,neither,4.35,4.28,9.242,9.18
EGFR/HER2,EH120_106,neither,4.4,4.33,9.05,9.574
EGFR/HER2,EH120_107,neither,4.35,4.42,7.699,8.04
EGFR/HER2,EH120_108,neither,4.35,4.42,7.858,7.77
EGFR/HER2,EH120_109,neither,4.44,4.33,4.447,5.03
EGFR/HER2,EH120_110,neither,4.45,4.32,6.888,7.083
JAK1/JAK2,J1J2_001,A_only,7.41,5.3,8.851,8.632
JAK1/JAK2,J1J2_002,A_only,6.64,5.25,8.97,9.958
JAK1/JAK2,J1J2_003,A_only,6.97,5.42,8.579,8.354
JAK1/JAK2,J1J2_004,A_only,7.1,5.5,7.713,7.58
JAK1/JAK2,J1J2_005,A_only,6.77,5.32,7.533,7.686
JAK1/JAK2,J1J2_006,A_only,7.16,5.33,7.367,7.129
JAK1/JAK2,J1J2_007,A_only,7.18,5.41,8.314,8.011
JAK1/JAK2,J1J2_008,A_only,6.96,5.37,7.118,7.401
JAK1/JAK2,J1J2_009,A_only,6.85,5.19,8.977,8.766
JAK1/JAK2,J1J2_010,A_only,6.92,5.33,8.85,9.742
JAK1/JAK2,J1J2_011,A_only,6.82,5.2,8.892,8.574
JAK1/JAK2,J1J2_012,A_only,6.74,5.32,9.322,9.722
JAK1/JAK2,J1J2_013,A_only,7.7,4.76,11.127,10.664
JAK1/JAK2,J1J2_014,A_only,8.13,4.92,9.87,9.718
JAK1/JAK2,J1J2_015,A_only,6.55,5.34,9.562,8.967
JAK1/JAK2,J1J2_016,A_only,8.05,5.19,9.597,9.805
JAK1/JAK2,J1J2_017,A_only,7.01,4.69,9.386,9.79
JAK1/JAK2,J1J2_018,A_only,6.55,4.96,10.219,9.68
JAK1/JAK2,J1J2_019,A_only,7.7,4.75,8.271,8.605
JAK1/JAK2,J1J2_020,A_only,7.62,5.05,9.128,9.05
JAK1/JAK2,J1J2_021,A_only,7.85,5.17,10.157,9.437
JAK1/JAK2,J1J2_022,A_only,7.25,5.48,7.584,7.881
JAK1/JAK2,J1J2_023,A_only,7.82,4.7,9.025,9.119
JAK1/JAK2,J1J2_024,A_only,7.72,5.21,9.512,8.9
JAK1/JAK2,J1J2_025,A_only,6.5,5.5,10.512,9.786
JAK1/JAK2,J1J2_026,A_only,7.4,4.68,11.639,10.158
JAK1/JAK2,J1J2_027,A_only,8.29,5.3,11.458,10.306
JAK1/JAK2,J1J2_028,A_only,8.4,5.32,10.451,10.773
JAK1/JAK2,J1J2_029,A_only,7.88,4.96,10.413,11.806
JAK1/JAK2,J1J2_030,A_only,7.15,5.44,8.443,8.267
JAK1/JAK2,J1J2_031,A_only,7.89,4.91,11.453,11.142
JAK1/JAK2,J1J2_032,A_only,8.44,5.31,8.267,8.214
JAK1/JAK2,J1J2_033,B_only,5.32,6.82,7.898,7.507
JAK1/JAK2,J1J2_034,B_only,5.1,6.66,6.571,6.507
JAK1/JAK2,J1J2_035,B_only,5.24,6.58,7.175,7.235
JAK1/JAK2,J1J2_036,B_only,5.44,7.39,7.806,7.75
JAK1/JAK2,J1J2_037,B_only,5.44,7.11,6.861,7.08
JAK1/JAK2,J1J2_038,B_only,5.46,7.62,6.685,6.929
JAK1/JAK2,J1J2_039,B_only,5.27,7.2,8.397,8.84
JAK1/JAK2,J1J2_040,B_only,5.23,8.42,8.503,8.478
JAK1/JAK2,J1J2_041,B_only,5.44,7.11,7.168,7.448
JAK1/JAK2,J1J2_042,B_only,5.23,6.72,8.84,8.881
JAK1/JAK2,J1J2_043,B_only,5.39,6.53,10.8,10.157
JAK1/JAK2,J1J2_044,B_only,5.26,7.26,8.024,8.474
JAK1/JAK2,J1J2_045,B_only,5.26,7.26,9.124,9.296
JAK1/JAK2,J1J2_046,B_only,5.26,7.26,9.048,9.36
JAK1/JAK2,J1J2_047,B_only,5.46,6.78,9.394,9.296
JAK1/JAK2,J1J2_048,B_only,5.26,7.26,9.15,9.484
JAK1/JAK2,J1J2_049,B_only,5.26,7.26,9.096,9.099
JAK1/JAK2,J1J2_050,B_only,5.26,7.26,9.011,8.784
JAK1/JAK2,J1J2_051,B_only,5.26,7.26,8.516,8.405
JAK1/JAK2,J1J2_052,B_only,5.43,6.69,9.974,9.685
JAK1/JAK2,J1J2_053,B_only,5.26,7.26,9.32,9.121
JAK1/JAK2,J1J2_054,B_only,5.26,7.26,9.05,8.556
JAK1/JAK2,J1J2_055,B_only,5.26,7.26,8.948,9.387
JAK1/JAK2,J1J2_056,B_only,5.26,7.26,9.596,9.106
JAK1/JAK2,J1J2_057,B_only,5.26,7.26,9.125,8.687
JAK1/JAK2,J1J2_058,B_only,5.26,7.26,9.043,8.978
JAK1/JAK2,J1J2_059,B_only,5.26,7.26,9.376,9.218
JAK1/JAK2,J1J2_060,B_only,5.48,7.14,10.89,10.051
JAK1/JAK2,J1J2_061,B_only,5.26,7.26,8.511,8.138
JAK1/JAK2,J1J2_062,B_only,5.26,7.26,8.943,8.988
JAK1/JAK2,J1J2_063,B_only,5.26,7.26,8.338,8.438
JAK1/JAK2,J1J2_064,B_only,5.08,6.84,10.382,10.252
JAK1/JAK2,J1J2_065,dual,8.52,8.0,8.792,9.128
JAK1/JAK2,J1J2_066,dual,9.82,9.0,8.997,9.125
JAK1/JAK2,J1J2_067,dual,8.54,7.84,8.592,8.592
JAK1/JAK2,J1J2_068,dual,8.77,7.62,8.756,9.152
JAK1/JAK2,J1J2_069,dual,9.35,7.96,8.917,9.266
JAK1/JAK2,J1J2_070,dual,10.4,8.7,9.335,9.248
JAK1/JAK2,J1J2_071,dual,7.62,7.92,8.975,9.173
JAK1/JAK2,J1J2_072,dual,7.9,7.9,11.78,10.97
JAK1/JAK2,J1J2_073,dual,9.06,9.11,9.92,9.521
JAK1/JAK2,J1J2_074,dual,7.9,7.6,11.65,12.073
JAK1/JAK2,J1J2_075,dual,7.9,7.9,11.385,10.994
JAK1/JAK2,J1J2_076,dual,8.7,7.66,9.491,9.222
JAK1/JAK2,J1J2_077,dual,8.3,8.3,9.073,9.334
JAK1/JAK2,J1J2_078,dual,7.95,7.0,9.432,9.158
JAK1/JAK2,J1J2_079,dual,8.6,9.18,10.624,10.296
JAK1/JAK2,J1J2_080,dual,9.1,8.4,9.165,9.732
JAK1/JAK2,J1J2_081,dual,7.9,7.9,11.316,11.481
JAK1/JAK2,J1J2_082,dual,8.96,8.02,8.524,8.129
JAK1/JAK2,J1J2_083,dual,7.5,8.7,8.668,8.08
JAK1/JAK2,J1J2_084,dual,7.38,6.55,9.162,8.737
JAK1/JAK2,J1J2_085,dual,7.4,6.6,10.197,10.039
JAK1/JAK2,J1J2_086,dual,8.47,7.82,9.225,8.52
JAK1/JAK2,J1J2_087,dual,9.17,9.59,10.974,9.516
JAK1/JAK2,J1J2_088,dual,8.8,8.6,11.19,10.536
JAK1/JAK2,J1J2_089,dual,7.11,6.83,9.319,9.403
JAK1/JAK2,J1J2_090,dual,6.88,6.69,8.421,7.989
JAK1/JAK2,J1J2_091,dual,8.25,8.59,9.138,8.687
JAK1/JAK2,J1J2_092,dual,9.0,9.0,7.95,8.1
JAK1/JAK2,J1J2_093,dual,7.22,6.85,10.05,9.786
JAK1/JAK2,J1J2_094,dual,9.2,9.62,10.667,10.297
JAK1/JAK2,J1J2_095,dual,9.82,9.72,10.251,10.126
JAK1/JAK2,J1J2_096,dual,9.36,9.03,11.523,10.777
JAK1/JAK2,J1J2_097,neither,4.62,5.38,9.878,8.703
JAK1/JAK2,J1J2_098,neither,4.77,5.18,9.079,9.374
JAK1/JAK2,J1J2_099,neither,5.3,5.0,8.798,8.708
JAK1/JAK2,J1J2_100,neither,4.3,4.38,7.593,7.329
JAK1/JAK2,J1J2_101,neither,4.3,4.71,7.859,7.361
JAK1/JAK2,J1J2_102,neither,4.92,4.32,9.056,9.105
JAK1/JAK2,J1J2_103,neither,5.26,5.26,7.831,7.889
JAK1/JAK2,J1J2_104,neither,5.05,5.43,10.259,9.832
JAK1/JAK2,J1J2_105,neither,4.85,4.52,9.742,10.947
JAK1/JAK2,J1J2_106,neither,5.13,4.38,9.019,8.836
JAK1/JAK2,J1J2_107,neither,5.18,4.85,8.16,7.739
JAK1/JAK2,J1J2_108,neither,5.29,4.68,7.984,7.978
JAK1/JAK2,J1J2_109,neither,4.72,4.75,7.935,7.607
JAK1/JAK2,J1J2_110,neither,5.47,5.48,10.45,10.217
JAK1/TYK2,J1TYK2_001,A_only,6.6,5.36,8.558,8.142
JAK1/TYK2,J1TYK2_002,A_only,7.51,5.28,9.102,8.216
JAK1/TYK2,J1TYK2_003,A_only,6.62,5.1,8.69,8.009
JAK1/TYK2,J1TYK2_004,A_only,7.17,5.44,7.422,7.786
JAK1/TYK2,J1TYK2_005,A_only,7.31,4.94,8.802,9.391
JAK1/TYK2,J1TYK2_006,A_only,8.29,4.44,10.968,10.45
JAK1/TYK2,J1TYK2_007,A_only,7.02,5.5,9.22,9.812
JAK1/TYK2,J1TYK2_008,A_only,7.04,5.47,9.599,10.027
JAK1/TYK2,J1TYK2_009,A_only,7.94,5.38,10.218,10.048
JAK1/TYK2,J1TYK2_010,A_only,7.38,5.38,9.43,8.745
JAK1/TYK2,J1TYK2_011,A_only,7.92,5.29,9.306,8.831
JAK1/TYK2,J1TYK2_012,A_only,7.38,5.43,7.784,8.777
JAK1/TYK2,J1TYK2_013,A_only,7.11,5.26,8.416,7.459
JAK1/TYK2,J1TYK2_014,A_only,6.52,5.24,10.285,9.093
JAK1/TYK2,J1TYK2_015,A_only,7.38,5.21,9.162,9.995
JAK1/TYK2,J1TYK2_016,A_only,7.21,5.32,8.838,8.333
JAK1/TYK2,J1TYK2_017,A_only,7.02,5.07,9.326,8.436
JAK1/TYK2,J1TYK2_018,A_only,7.38,5.43,9.202,9.055
JAK1/TYK2,J1TYK2_019,A_only,7.04,5.27,8.094,8.083
JAK1/TYK2,J1TYK2_020,A_only,7.03,5.15,8.435,7.815
JAK1/TYK2,J1TYK2_021,A_only,7.25,5.38,8.686,7.819
JAK1/TYK2,J1TYK2_022,A_only,7.7,5.44,8.85,9.24
JAK1/TYK2,J1TYK2_023,A_only,6.69,5.37,10.033,10.386
JAK1/TYK2,J1TYK2_024,A_only,7.3,5.25,9.895,9.709
JAK1/TYK2,J1TYK2_025,A_only,8.15,5.09,8.702,8.173
JAK1/TYK2,J1TYK2_026,A_only,7.07,5.44,8.284,8.833
JAK1/TYK2,J1TYK2_027,A_only,7.25,5.32,8.374,7.914
JAK1/TYK2,J1TYK2_028,A_only,7.59,5.0,9.412,8.819
JAK1/TYK2,J1TYK2_029,A_only,7.66,5.45,7.715,8.516
JAK1/TYK2,J1TYK2_030,A_only,7.17,5.2,9.959,9.974
JAK1/TYK2,J1TYK2_031,A_only,7.16,5.22,8.195,8.319
JAK1/TYK2,J1TYK2_032,A_only,7.26,5.06,9.393,8.535
JAK1/TYK2,J1TYK2_033,B_only,5.32,6.82,7.898,7.613
JAK1/TYK2,J1TYK2_034,B_only,5.44,6.72,7.806,7.862
JAK1/TYK2,J1TYK2_035,B_only,5.27,7.1,8.397,8.707
JAK1/TYK2,J1TYK2_036,B_only,5.47,8.4,9.11,9.617
JAK1/TYK2,J1TYK2_037,B_only,5.26,8.3,9.765,10.052
JAK1/TYK2,J1TYK2_038,B_only,4.75,8.05,9.057,9.307
JAK1/TYK2,J1TYK2_039,B_only,5.44,7.15,7.168,7.296
JAK1/TYK2,J1TYK2_040,B_only,5.23,6.7,8.84,8.23
JAK1/TYK2,J1TYK2_041,B_only,5.06,6.63,9.307,9.397
JAK1/TYK2,J1TYK2_042,B_only,5.39,7.38,10.8,10.248
JAK1/TYK2,J1TYK2_043,B_only,5.26,7.26,9.124,9.029
JAK1/TYK2,J1TYK2_044,B_only,5.26,7.26,8.798,8.385
JAK1/TYK2,J1TYK2_045,B_only,5.01,6.54,9.616,9.512
JAK1/TYK2,J1TYK2_046,B_only,5.16,7.15,10.472,10.165
JAK1/TYK2,J1TYK2_047,B_only,5.07,7.09,9.097,8.785
JAK1/TYK2,J1TYK2_048,B_only,5.48,6.76,10.111,9.548
JAK1/TYK2,J1TYK2_049,B_only,5.26,7.26,8.162,8.279
JAK1/TYK2,J1TYK2_050,B_only,5.25,6.75,10.464,9.579
JAK1/TYK2,J1TYK2_051,B_only,5.26,7.26,9.145,9.1
JAK1/TYK2,J1TYK2_052,B_only,5.2,6.71,9.614,9.427
JAK1/TYK2,J1TYK2_053,B_only,5.06,7.28,9.274,9.439
JAK1/TYK2,J1TYK2_054,B_only,5.26,7.26,9.05,8.909
JAK1/TYK2,J1TYK2_055,B_only,5.26,7.26,8.948,8.746
JAK1/TYK2,J1TYK2_056,B_only,5.2,7.11,10.764,10.111
JAK1/TYK2,J1TYK2_057,B_only,5.23,6.62,9.762,9.35
JAK1/TYK2,J1TYK2_058,B_only,5.4,6.95,10.783,10.02
JAK1/TYK2,J1TYK2_059,B_only,5.43,6.78,9.89,9.743
JAK1/TYK2,J1TYK2_060,B_only,5.3,7.12,10.637,9.792
JAK1/TYK2,J1TYK2_061,B_only,5.19,6.51,10.374,9.741
JAK1/TYK2,J1TYK2_062,B_only,5.26,7.26,8.943,8.526
JAK1/TYK2,J1TYK2_063,B_only,5.17,6.77,10.343,10.035
JAK1/TYK2,J1TYK2_064,B_only,5.18,6.63,10.765,10.466
JAK1/TYK2,J1TYK2_065,dual,6.7,7.39,7.039,7.059
JAK1/TYK2,J1TYK2_066,dual,8.62,7.07,9.144,9.61
JAK1/TYK2,J1TYK2_067,dual,8.23,7.1,7.969,8.477
JAK1/TYK2,J1TYK2_068,dual,7.82,7.36,9.119,8.744
JAK1/TYK2,J1TYK2_069,dual,8.37,6.92,10.273,10.281
JAK1/TYK2,J1TYK2_070,dual,7.96,6.7,8.259,7.457
JAK1/TYK2,J1TYK2_071,dual,8.72,7.0,8.315,8.831
JAK1/TYK2,J1TYK2_072,dual,9.0,8.15,8.292,8.175
JAK1/TYK2,J1TYK2_073,dual,8.0,6.54,8.829,9.719
JAK1/TYK2,J1TYK2_074,dual,8.72,7.35,8.478,7.631
JAK1/TYK2,J1TYK2_075,dual,9.3,7.68,9.179,9.682
JAK1/TYK2,J1TYK2_076,dual,8.44,7.34,9.398,9.746
JAK1/TYK2,J1TYK2_077,dual,8.77,7.26,8.892,10.003
JAK1/TYK2,J1TYK2_078,dual,6.92,6.77,9.035,8.575
JAK1/TYK2,J1TYK2_079,dual,8.17,6.92,8.766,8.428
JAK1/TYK2,J1TYK2_080,dual,6.78,6.96,8.143,8.148
JAK1/TYK2,J1TYK2_081,dual,10.0,8.14,8.784,9.306
JAK1/TYK2,J1TYK2_082,dual,8.91,9.04,8.283,8.957
JAK1/TYK2,J1TYK2_083,dual,7.26,7.26,8.204,8.32
JAK1/TYK2,J1TYK2_084,dual,10.0,9.15,9.847,9.357
JAK1/TYK2,J1TYK2_085,dual,9.26,7.3,10.684,9.513
JAK1/TYK2,J1TYK2_086,dual,8.06,6.64,9.543,9.663
JAK1/TYK2,J1TYK2_087,dual,9.26,7.3,8.899,10.021
JAK1/TYK2,J1TYK2_088,dual,7.26,7.26,9.224,8.447
JAK1/TYK2,J1TYK2_089,dual,10.07,8.6,9.424,9.606
JAK1/TYK2,J1TYK2_090,dual,8.49,6.89,9.837,9.662
JAK1/TYK2,J1TYK2_091,dual,6.66,7.22,9.721,9.757
JAK1/TYK2,J1TYK2_093,dual,9.26,9.26,9.59,8.592
JAK1/TYK2,J1TYK2_094,dual,9.26,7.3,9.172,9.318
JAK1/TYK2,J1TYK2_095,dual,9.26,7.3,10.162,9.352
JAK1/TYK2,J1TYK2_096,dual,7.34,7.28,9.552,9.381
JAK1/TYK2,J1TYK2_097,neither,5.33,5.03,9.519,10.351
JAK1/TYK2,J1TYK2_098,neither,5.21,5.19,6.773,7.221
JAK1/TYK2,J1TYK2_099,neither,5.37,5.48,7.869,7.981
JAK1/TYK2,J1TYK2_100,neither,4.74,5.12,8.215,8.648
