pair,ligand,class,score_A_available,score_B_available,heavy_atoms,mw,clogp,tpsa,formal_charge,rotatable_bonds,status_reason,note
AChE/BChE,AB_001,dual,0,0,85,1151.423,8.884,234.11,0,29,ACHE:fail:skip_torsdof=31_ge_25;BCHE:fail:skip_torsdof=31_ge_25,largest organic/heavy-atom fragment; descriptive coverage audit
AChE/BChE,AB_053,A_only,0,0,56,801.058,10.736,40.62,2,27,ACHE:fail:skip_torsdof=31_ge_25;BCHE:fail:skip_torsdof=31_ge_25,largest organic/heavy-atom fragment; descriptive coverage audit
AChE/BChE,AB_054,A_only,0,0,48,666.992,7.646,65.56,0,27,ACHE:fail:skip_torsdof=29_ge_25;BCHE:fail:skip_torsdof=29_ge_25,largest organic/heavy-atom fragment; descriptive coverage audit
AChE/BChE,AB_056,A_only,0,0,50,693.118,9.315,40.62,2,27,ACHE:fail:skip_torsdof=29_ge_25;BCHE:fail:skip_torsdof=29_ge_25,largest organic/heavy-atom fragment; descriptive coverage audit
AChE/BChE,AB_097,neither,1,0,54,728.974,9.393,75.38,0,17,BCHE:fail:timeout_600s_torsdof=18_E=8,largest organic/heavy-atom fragment; descriptive coverage audit
PIK3CA/PIK3CB,PAB_034,A_only,0,1,60,957.696,4.96,170.48,0,22,PIK3CA:fail:timeout_900s_torsdof=23_E=4,largest organic/heavy-atom fragment; descriptive coverage audit
