target,pdb,exhaustiveness,n_modes_deposited,pose_rank,rmsd_A,best_top1_A,best_top3_A,best_all_deposited_A,pass_top1_lt2,pass_top3_lt2,pass_all_deposited_lt2,mapping_method,mapping_max_distance_A,rmsd_method
AChE,4EY7,8,8,1,0.3385,0.3385,0.3385,0.3385,1,1,1,Meeko topology reconstruction,,RDKit symmetry-aware CalcRMS; no superposition
AChE,4EY7,8,8,2,2.3289,0.3385,0.3385,0.3385,1,1,1,Meeko topology reconstruction,,RDKit symmetry-aware CalcRMS; no superposition
AChE,4EY7,8,8,3,8.9504,0.3385,0.3385,0.3385,1,1,1,Meeko topology reconstruction,,RDKit symmetry-aware CalcRMS; no superposition
AChE,4EY7,8,8,4,1.7848,0.3385,0.3385,0.3385,1,1,1,Meeko topology reconstruction,,RDKit symmetry-aware CalcRMS; no superposition
AChE,4EY7,8,8,5,2.7982,0.3385,0.3385,0.3385,1,1,1,Meeko topology reconstruction,,RDKit symmetry-aware CalcRMS; no superposition
AChE,4EY7,8,8,6,4.5106,0.3385,0.3385,0.3385,1,1,1,Meeko topology reconstruction,,RDKit symmetry-aware CalcRMS; no superposition
AChE,4EY7,8,8,7,10.2338,0.3385,0.3385,0.3385,1,1,1,Meeko topology reconstruction,,RDKit symmetry-aware CalcRMS; no superposition
AChE,4EY7,8,8,8,4.23,0.3385,0.3385,0.3385,1,1,1,Meeko topology reconstruction,,RDKit symmetry-aware CalcRMS; no superposition
BChE,4BDS,8,9,1,4.7941,4.7941,0.3856,0.3856,0,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
BChE,4BDS,8,9,2,5.3496,4.7941,0.3856,0.3856,0,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
BChE,4BDS,8,9,3,0.3856,4.7941,0.3856,0.3856,0,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
BChE,4BDS,8,9,4,6.5742,4.7941,0.3856,0.3856,0,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
BChE,4BDS,8,9,5,6.5113,4.7941,0.3856,0.3856,0,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
BChE,4BDS,8,9,6,2.6756,4.7941,0.3856,0.3856,0,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
BChE,4BDS,8,9,7,2.4807,4.7941,0.3856,0.3856,0,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
BChE,4BDS,8,9,8,7.3524,4.7941,0.3856,0.3856,0,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
BChE,4BDS,8,9,9,3.16,4.7941,0.3856,0.3856,0,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
EGFR,3POZ,8,9,1,1.0194,1.0194,1.0194,1.0194,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
EGFR,3POZ,8,9,2,9.2969,1.0194,1.0194,1.0194,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
EGFR,3POZ,8,9,3,9.529,1.0194,1.0194,1.0194,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
EGFR,3POZ,8,9,4,8.9202,1.0194,1.0194,1.0194,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
EGFR,3POZ,8,9,5,9.9495,1.0194,1.0194,1.0194,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
EGFR,3POZ,8,9,6,8.7192,1.0194,1.0194,1.0194,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
EGFR,3POZ,8,9,7,5.5954,1.0194,1.0194,1.0194,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
EGFR,3POZ,8,9,8,9.8892,1.0194,1.0194,1.0194,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
EGFR,3POZ,8,9,9,6.9324,1.0194,1.0194,1.0194,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
HER2,3RCD,8,9,1,1.9468,1.9468,1.9468,1.9468,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
HER2,3RCD,8,9,2,2.7232,1.9468,1.9468,1.9468,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
HER2,3RCD,8,9,3,4.0198,1.9468,1.9468,1.9468,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
HER2,3RCD,8,9,4,4.6851,1.9468,1.9468,1.9468,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
HER2,3RCD,8,9,5,3.8149,1.9468,1.9468,1.9468,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
HER2,3RCD,8,9,6,5.0861,1.9468,1.9468,1.9468,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
HER2,3RCD,8,9,7,9.0983,1.9468,1.9468,1.9468,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
HER2,3RCD,8,9,8,5.3218,1.9468,1.9468,1.9468,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
HER2,3RCD,8,9,9,6.2182,1.9468,1.9468,1.9468,1,1,1,element-constrained crystal-coordinate map to reference SDF,0.0,RDKit symmetry-aware CalcRMS; no superposition
