chembl_id,smiles
CHEMBL1824807,O=C(NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)c1ccc(-c2ccc(F)cc2)cc1
CHEMBL1824808,O=C(NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)c1ccc(-c2cc(Cl)cc(Cl)c2)cc1
CHEMBL1824809,O=C(NS(=O)(=O)c1ccc(OCc2ccccc2)cc1)c1ccc(-c2cc(Cl)cc(Cl)c2)cc1
CHEMBL1824811,O=C(NS(=O)(=O)c1ccc(COc2ccccc2)cc1)c1cccc(-c2ccc(C(F)(F)F)cc2)c1
CHEMBL1824812,O=C(NS(=O)(=O)c1ccc(COc2ccccc2)cc1)c1cccc(-c2cc(Cl)cc(Cl)c2)c1
CHEMBL1824813,O=C(NS(=O)(=O)c1ccc(OCc2ccccc2)cc1)c1cccc(-c2cc(Cl)cc(Cl)c2)c1
CHEMBL1824814,O=C(NS(=O)(=O)c1ccc(COc2ccccc2)cc1)c1cccc(-c2ccc(Cl)cc2Cl)c1
CHEMBL1824815,O=C(NS(=O)(=O)c1ccc(COc2ccccc2)cc1)c1cccc(-c2ccc(Cl)c(Cl)c2)c1
CHEMBL1824816,O=C(NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)c1cccc(-c2ccccc2)c1
CHEMBL1824817,O=C(NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)c1cccc(-c2cc(Cl)cc(Cl)c2)c1
CHEMBL1824818,O=C(NS(=O)(=O)c1ccc(Oc2ccccc2)nc1)c1cccc(-c2cc(Cl)cc(Cl)c2)c1
CHEMBL1824819,O=C(NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)c1cccc(-c2cccc(Cl)c2Cl)c1
CHEMBL1824820,O=C(NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)c1cccc(-c2ccc(Cl)cc2Cl)c1
CHEMBL1824821,O=C(NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)c1cccc(-c2ccc(Cl)c(Cl)c2)c1
CHEMBL1824823,O=C(NS(=O)(=O)c1ccc2ccccc2c1)c1cccc(-c2ccc(Cl)c(Cl)c2)c1
CHEMBL1824824,CCCCOc1ccc(S(=O)(=O)NC(=O)c2cccc(-c3ccc(Cl)c(Cl)c3)c2)cc1
CHEMBL1824825,O=C(NS(=O)(=O)c1ccc(OCc2ccccc2)cc1)c1cccc(-c2ccc(Cl)c(Cl)c2)c1
CHEMBL1824826,O=C(NS(=O)(=O)c1ccc(OCC2CCCCC2)cc1)c1cccc(-c2ccc(Cl)c(Cl)c2)c1
