pair,contrast,estimator,n_groups,n_documents,auroc_point,ci_lo,ci_hi,n_valid_boot,note
EGFR/HER2,D_vs_A,document_cluster_bootstrap,28,156,0.6607,0.4611,0.7989,2000,"resamples document-connected ligand groups, not individual ligands"
EGFR/HER2,D_vs_B,document_cluster_bootstrap,23,113,0.3237,0.2138,0.5761,2000,"resamples document-connected ligand groups, not individual ligands"
AChE/BChE,D_vs_A,document_cluster_bootstrap,40,97,0.6524,0.5026,0.8081,2000,"resamples document-connected ligand groups, not individual ligands"
AChE/BChE,D_vs_B,document_cluster_bootstrap,41,95,0.6058,0.4286,0.7528,2000,"resamples document-connected ligand groups, not individual ligands"
PIK3CA/mTOR,D_vs_A,document_cluster_bootstrap,8,138,0.7143,0.4,0.8864,1946,"resamples document-connected ligand groups, not individual ligands"
PIK3CA/mTOR,D_vs_B,document_cluster_bootstrap,9,129,0.6921,0.0,0.8179,1949,"resamples document-connected ligand groups, not individual ligands"
