pair,step,stage_key,stage_label,n_ligands,n_dual,n_A_only,n_B_only,n_neither
EGFR/HER2,1,native_paired_theta6,raw / θ=6.0 paired BindingDB,468,371,30,54,13
EGFR/HER2,2,drop_shared_literature,after literature exclusion,380,303,16,51,10
EGFR/HER2,3,drop_shared_structure,after structure exclusion,346,284,11,44,7
EGFR/HER2,4,drop_neighbors_lt_0.70,after ECFP4 < 0.70 exclusion,216,180,10,20,6
EGFR/HER2,5,eligible_pairs,pairs meeting primary external gate,0,0,0,0,0
AChE/BChE,1,native_paired_theta6,raw / θ=6.0 paired BindingDB,318,159,46,37,76
AChE/BChE,2,drop_shared_literature,after literature exclusion,225,93,32,27,73
AChE/BChE,3,drop_shared_structure,after structure exclusion,170,62,19,23,66
AChE/BChE,4,drop_neighbors_lt_0.70,after ECFP4 < 0.70 exclusion,85,4,8,14,59
AChE/BChE,5,eligible_pairs,pairs meeting primary external gate,0,0,0,0,0
PIK3CA/PIK3CB,1,native_paired_theta6,raw / θ=6.0 paired BindingDB,296,114,29,4,149
PIK3CA/PIK3CB,2,drop_shared_literature,after literature exclusion,296,114,29,4,149
PIK3CA/PIK3CB,3,drop_shared_structure,after structure exclusion,199,81,11,4,103
PIK3CA/PIK3CB,4,drop_neighbors_lt_0.70,after ECFP4 < 0.70 exclusion,112,9,0,3,100
PIK3CA/PIK3CB,5,eligible_pairs,pairs meeting primary external gate,0,0,0,0,0
PIK3CA/mTOR,1,native_paired_theta6,raw / θ=6.0 paired BindingDB,1193,1000,115,30,48
PIK3CA/mTOR,2,drop_shared_literature,after literature exclusion,1192,999,115,30,48
PIK3CA/mTOR,3,drop_shared_structure,after structure exclusion,958,888,41,16,13
PIK3CA/mTOR,4,drop_neighbors_lt_0.70,after ECFP4 < 0.70 exclusion,98,91,4,1,2
PIK3CA/mTOR,5,eligible_pairs,pairs meeting primary external gate,0,0,0,0,0
MCL1/Bcl-xL,1,native_paired_theta6,raw / θ=6.0 paired BindingDB,90,32,22,6,30
MCL1/Bcl-xL,2,drop_shared_literature,after literature exclusion,90,32,22,6,30
MCL1/Bcl-xL,3,drop_shared_structure,after structure exclusion,16,11,1,3,1
MCL1/Bcl-xL,4,drop_neighbors_lt_0.70,after ECFP4 < 0.70 exclusion,3,1,0,2,0
MCL1/Bcl-xL,5,eligible_pairs,pairs meeting primary external gate,0,0,0,0,0
